标题,投诉对象,投诉要求,投诉内容,投诉时间,投诉链接,投诉进度
金牛电商卖的口罩，19.9块钱50个,快手小客服,"退款,赔偿,作出处罚,下架产品",这个商家卖的是白色3D口罩，结果拆开一看是蓝色的普通口罩，和实物不符合，本来期待口罩到来，结果满满的失望,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354448229/,已回复
买的口罩和图片不符，快手客服刚八哥，联系不回话，商品下架了，图片显示是立体,快手小客服,"退款,赔偿",图片显示立体的口罩，回来是普通口罩，现在联系客服不回，商品下架，退款退不回来，不处理，我感觉是骗子，主要是不想买普通口罩，普通口罩30快钱120个我就不买了,2021/8/20,https://tousu.sina.com.cn/complaint/view/17354538750/,已回复
买到不符合标准的假口罩,抖音短视频,"退款,赔偿,解释,作出处罚,道歉,改善服务",为孩子买的口罩到货后，发现口罩，不符合国家儿童口罩的执行标准要求退一赔三。,2021/8/31,https://tousu.sina.com.cn/complaint/view/17354716794/,已完成
蓝色风暴,饿了么客户关怀,"改善服务,退款",明明已经带了口罩，显示口罩缺失，扣了15元，要求客服补款.,2021/8/22,https://tousu.sina.com.cn/complaint/view/17354565674/,已完成
京东商城，美丽义饰饰品官方旗进店，售卖假的奥运口罩,京东客服,"赔偿,道歉,作出处罚,退货,下架产品",因公司需要，我在2021年8月6号在京东商城，美丽义饰饰品官方旗舰店，采购2000只奥运口罩，当时公司高层领导告知我，要求订购奥运同款口罩，支持中国队，购买时明确的咨询商家是不是奥运同款口罩，商家告知我是的，商品页面和商品购买页面都明确标识了是奥运同款，当我收到货的时候发现包装里的产品合格证写着一次性防护...,2021/8/9,https://tousu.sina.com.cn/complaint/view/17354374597/,已回复
同程旅游少发货，客服入口一直繁忙,同程旅行官方微博,补发,8月22号下单3份口罩，同程旅游只发1份口罩,2021/8/30,https://tousu.sina.com.cn/complaint/view/17354700229/,已完成
江西省升聚医疗器械有限公司,阿里客服,邮寄一个新的给我,非要退给我差价，我不要差价，我就要口罩他们口罩的问题我为什么要钱,2021/8/25,https://tousu.sina.com.cn/complaint/view/17354622741/,处理中
生产销售不合格口罩,江苏汇诚医疗科技有限公司,退款,收到网购的口罩，打开后发现口罩表面有明显污渍，很明显为不合格口罩，现要求退款,2021/8/9,https://tousu.sina.com.cn/complaint/view/17354379086/,待分配
这个是奥运口罩，国家禁止卖的奥运口罩,京东客服,"退款,赔偿,道歉,作出处罚",商家售卖奥运口罩，骗人说是普通的口罩结果到货是奥运口罩，国家禁止卖奥运口罩，所有电商平台全部都是假货而且可以要求赔10退款,2021/8/9,https://tousu.sina.com.cn/complaint/view/17354369614/,已回复
发的货与下单的商品不一样且少发,阿里健康客户服务,"退款,作出处罚",下单了200只灭菌型口罩，商家发货的是50只非无菌型口罩，且商品详情页是可孚口罩，发来的口罩上并无可孚logo，合理怀疑是假货,2021/8/7,https://tousu.sina.com.cn/complaint/view/17354344717/,处理中
虚假宣传卖假货 欺骗消费者,拼多多客户服务,赔偿,说是奥运同款口罩可是奥运口罩提供方声明网上卖的全都是假货 口罩仅供运动员使用,2021/8/8,https://tousu.sina.com.cn/complaint/view/17354358859/,处理中
商家出售假的奥运会口罩,拼多多客户服务,"退款,赔偿,道歉,作出处罚",因本人需要，我在2021年8月4号在拼多多商城，邻里拼旗舰店，采购3000只奥运口罩，当时因为疫情原因准备屯点口罩，正巧赶上奥运会，想着准备去买中国奥运会口罩，算是支持中国队，购买时，商品标题说 正品中国奥运会专用口罩，我当时一看标题说是正品的，又看到商品服务哪里有假一赔十的服务保障，我就觉得这家店挺靠谱的...,2021/8/11,https://tousu.sina.com.cn/complaint/view/17354402697/,处理中
下单的是3D儿童立体口罩，收到的是一包发了霉的，一次性口罩，敢给孩子用吗？,快手小客服,"退款,作出处罚,下架产品",下单的是3D儿童立体口罩，收到的是一包发了霉的，一次性口罩，敢给孩子用吗？商家这是挂羊头卖狗肉，最主要的是孩子的口罩发了霉，哪个家长敢给孩子用发了霉的口罩？！要求对这种无良商家做出处罚，下架垃圾产品。,2021/8/18,https://tousu.sina.com.cn/complaint/view/17354504583/,已回复
挂羊头，卖狗肉,快手小客服,赔偿,我买的是3D口罩，结果给我的是普通口罩，想联系商家，信息也不回，电话也打不通,2021/8/18,https://tousu.sina.com.cn/complaint/view/17354501505/,已完成
买到假货了然后对方不按国家法律赔偿我,拼多多客户服务,赔偿,我买了一款奥运口罩上面印有国旗 后来官方辟谣说奥运口罩都是假的,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354460972/,处理中
