标题,投诉对象,投诉要求,投诉内容,投诉时间,投诉链接,投诉进度
通过微信在我不知情的情况下，扣费298元,magic手机,退款,由于误操作，我不知道何时安装了这个magic手机助手软件，在我不知情的情况下，他们于5、7、8三个月，每月扣走了我298元，经与苹果公司客服联系，退还了我7、8二个月的钱，但是5月20日扣走我的298元，让我自己联系软件开发者，邮件联系多次根本无人回应，我要求退还被盗的298元,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354618356/,待分配
无缘无故扣我的钱，还没有提示，因为我手机失免密支付的,手机定位,"退款,赔偿",2019年六月通过支付宝直接扣我298，因为我的手机是免密支付，扣的时候，我连知都不知道。后来我有去申请投诉对此订单有异议，然后没有用。,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354826140/,待分配
一直每月都在扣我的钱,乐视手机,退款,乐视视频每月都在扣我的g费用，从不提醒一下，已经在我不知情的情况下扣了8个人月了，试问如果不一直发现不了，是不是就一直扣下去，这种行为，如同盗窃，我没有看享受乐视服务。为什么还一直扣钱，我要得到相应的赔偿。,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354969926/,处理中
乐视手机客户端会员取消订阅服务还在继续扣费,乐视手机,还每月扣除,本人2020年4月份孩子玩手机点击了链接就开通了会员，在本人不知道的情况下连续扣了18个月的会员 ，（在本人不知情的情况下并未使用和观看）近期发现扣款记录，取消订阅后还继续扣费，账户没显示会员，希望可以帮我解决一下问题,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354903729/,处理中
屏幕底部偏黄,realme手机,赔礼道歉，换新！,新手机底部明显偏黄，服务中心检测说没有问题！换个新手机回来，黄的更严重，照片都能拍出来的，质量问题特别严重！又是叫我邮寄到服务中心检测，就一句有三包政策！三包政策就是你们可以给消费者有问题的手机，反复邮寄检测，浪费时间的理由吗？快递费用说登记后3-5个工作日内补给我，现在一个礼拜了还没有到账！,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568943/,已完成
骗子说他们是手机贷催收的,手机贷,提供结清证明,骗子说是手机贷催收的，说1200块处理结清，现在转了1200，那边客户总是在拖不处理，现在已经把我微信删除了,2021-08-20,https://tousu.sina.com.cn/complaint/view/17354526880/,处理中
realme真我京东自营旗舰店未履行承诺发赠品,realme手机,"作出处罚,发货",7月27于京东平台，购入realme手机大师探索版一台，当时店铺学生下单有送赠品电动牙刷(介绍是赠品是签收后根据订单地址发货)。我于29号签收，5号找客服要运单号，告知我需要24小时核实学生信息。8号进线找客服告知要再次核实地址信息。15号进线告知正在备货15天内发货，20号进线告知之前信息没有登记。还欺骗我说之前不是...,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354646533/,已回复
手机优化大师在我不知情的情况下扣了我的钱。,手机优化大师,退款,手机优化大师在我不知情的情况下扣了我的钱。,2021-08-31,https://tousu.sina.com.cn/complaint/view/17354708506/,处理中
自动扣费,手机优化大师,退款,在我完全不知情的情况下 自动扣费 产生费用,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739455/,处理中
手机存在严重质量问题,realme手机,"退款,赔偿,退货,换货",手机正常使用，突然出现故障屏幕失灵，尔后出现破裂，寄到售后，认定为人为，跟客服多次沟通，对方均拒绝，认为为人为，从他们表述可以看出对方，以牺牲消费者权益，来维护公司利益。不管是人为还是质量问题，一类化分为人为，划分为客户责任。,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354692317/,已回复
我要求平台退款,手机优化大师,退款,手机优化大师未经过我本人同意，私自在我绑定的银行卡里扣了两次268元,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781132/,处理中
手机优化大师,手机优化大师,退款,没有下载过这个软件，恶意捆绑下载，恶意扣费,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781741/,处理中
手机优化大师这个软件存在欺诈行为，进行扣费,手机优化大师,"退款,赔偿",因为家人都使用了苹果手机，我的父亲年龄也比较大，不小心误点了手机优化大师免费试用，但是试用试用期后他们默认进行会员续费，但是偏偏给默认的续费是金钱数额最大的一个选项，9月4日下午两点半在我毫不知情的轻快下对我进行了会员续期扣费，我这才发现，希望平台给处理这笔交易，我的意愿是给我取消这个交易，进行退...,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354784055/,处理中
手机优化大师，在我不知道的时候扣除了我268元钱，我要求退款,手机优化大师,退款,你们不能这样做人，如果不赶紧退款，我会一直投诉你们,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354831861/,处理中
下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。,手机清理大师,退款,下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354642401/,待分配
不明扣费,Magic手机助手,"退款,作出处罚,下架产品",我父亲不会下载任何软件的人，在5.23号被莫名扣了298，在8.23二次扣费时他才反应过来，需要你们给出一个合理解释,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354583160/,处理中
手机优化大师-相册优化管家，恶意收费,手机优化大师,"退款,下架产品",下载后并没有特意去订阅，莫名其妙收到扣款通知,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354952515/,处理中
我要退款,手机优化大师,退款,不知道客服咋联系 在网上查的有这个软件 所以下了这个希望有用,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354955929/,处理中
扣款订单详情是手机优化大师软件,手机优化大师,极速退款,这款手机优化大师软件扣款实际和他详情描述不符，都是乱扣用户费用，我们要求他退款，快点退款，不然我天天投诉,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354856150/,处理中
骗子公司,手机优化大师,退款,优化大师有欺诈乱收费、完全是不知道的情况下扣费呀、大骗子公司、严查无良心商家,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354883009/,处理中
未下载手机优化大师却自动扣费,手机优化大师,退款,本人使用苹果手机未安装手机优化大师，昨夜忽然显示购买手机优化大师季度会员并自动扣费268元，十分困惑并气愤，希望商家可以原款退回。,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354902000/,处理中
手机中框裂了其他地方完好无损不给保修,realme手机,保修,手机其他地方完好无损一点损伤没有中框裂了在保不给我保修,2021-08-14,https://tousu.sina.com.cn/complaint/view/17354442187/,已回复
