	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	20210706	【安徽】安徽吉奥塑业有限公司召回部分200ml航空杯	中国	安徽	200ml航空杯	50000	安徽吉奥塑业有限公司按照《消费品召回管理暂行规定》的要求，主动向安徽省市场监督管理局、滁州市市场监管局报告了召回计划，将自即日起，召回2020年12月20日至2020年12月22日期间制造的200ml航空杯，涉及数量为50000包。 本次召回范围内的航空杯，由于在生产过程中工艺设置不合理，导致负重性能不达标，可能存在烫伤使用者的安全隐患。对于召回范围内的航空杯，安徽吉奥塑业有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为客户退换符合要求的航空杯，以消除安全隐患。 安徽吉奥塑业有限公司将自即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系安徽吉奥塑业有限公司或其经销商进行免费更换。	黑猫召回	日用杂品	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202107/t20210706_98678.html	烫伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	20210629	【重庆】重庆迪丰电器有限公司召回室内加热器	中国	重庆	室内加热器	1	重庆迪丰电器有限公司按照《消费品召回管理暂行规定》的要求，向重庆市市场监督管理局备案召回计划，将自即日起，召回2019年10月生产的室内加热器（型号NSB-9）以及室内加热器（型号NSB-12），涉及数量分别为260台、52台。 室内加热器（型号NSB-9）存在对触及带电部件的防护、输入功率和电流、非正常工作、电源连接和外部软线、接地措施项目不符合相关国家标准室内加热器（型号NSB-12）输入功率、电源连接和外部软线、接地措施项目不符合相关国家标准，以上缺陷容易造成触电及着火危险。对于召回范围内的室内加热器，重庆迪丰电器有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，将采用“退货或换货”的方式予以处理。 重庆迪丰电器有限公司提示购买了上述产品的消费者停止使用，并电话（书面）通知经销商进行退货或换货。 	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98661.html	烧伤,电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知		无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	20210629	【重庆】重庆迪丰电器有限公司召回台扇	中国	重庆	台扇	32	重庆迪丰电器有限公司按照《消费品召回管理暂行规定》的要求，向重庆市市场监督管理局备案召回计划，将自即日起，召回2020年4月生产的台扇（型号FT-30），涉及数量为32台。 台扇（型号FT-30）存在电源连接和外部软线项目不符合相关国家标准，该缺陷容易造成触电及着火危险。对于召回范围内的台扇，重庆迪丰电器有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，将采用“修理”的方式予以处理。 重庆迪丰电器有限公司提示购买了上述产品的消费者停止使用，并电话（书面）通知经销商进行修理。 	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98660.html	烧伤,电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知		无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	20210629	【福建】福州海韵防护用品有限公司召回部分日常防护型口罩（非医用）	中国	福建	日常防护型口罩（非医用）	1200	 福州海韵防护用品有限公司按照《消费品召回管理暂行规定》的要求，向福建省市场监督管理局报告了召回计划，将自即日日起，召回2020年4月28日至2020年5月15日期间制造的日常防护型口罩（非医用），型号为17.5cm*9.5cm（±5%)，涉及数量为1200包(10只/包)。 本次召回范围内的日常防护型口罩（非医用），由于产品非油性颗粒过滤效率不符合GB/T 32610-2016标准要求。可能导致口罩过滤细菌、病毒，阻隔飞沫等侵入的能力受影响，防护效果达不到预期要求，存在一定安全隐患。对于召回范围内的日常防护型口罩（非医用），福州海韵防护用品有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，为消费者提供免费退换货服务，以消除安全隐患。 福州海韵防护用品有限公司将自2021年6月25日起在门店发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系福州海韵防护用品有限公司或其经销商进行免费退换货。	黑猫召回	卫生用品	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98670.html	生物性感染	2	生物危害	致病微生物危害	原生微生物危害,真核细胞微生物危害,原核微生物危害	空	未知	未知	未知	未知	17.5cm	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	有	无	无	无	无	无	无	无	无	有	无	无	无	无	无	有
4	20210629	【广西】南宁市玉龙泡沫制品厂召回部分井甜加厚航空杯	中国	广西	井甜加厚航空杯	780	南宁市玉龙泡沫制品厂按照《消费品召回管理暂行规定》的要求，主动向广西壮族自治区市场监督管理局报告了召回计划，将自即日起，召回生产批号/批次为2020-04-05、规格为100只装170ml的井甜加厚航空杯产品，涉及数量为780袋。 本次召回范围内的井甜加厚航空杯产品在盛装了一定量的液体之后会出现较大变形甚至倒塌，导致消费者在使用过程中将难以拿捏住，手握时易变形，如盛装热水，可能会造成烫伤，存在安全隐患。对于召回范围内的井甜加厚航空杯产品，南宁市玉龙泡沫制品厂将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并为客户免费退货，以消除安全隐患。 南宁市玉龙泡沫制品厂已通知销售商停止销售该批产品，并在销售门店张贴召回公告，提示持有受影响产品的消费者停止使用该产品，并联系南宁市玉龙泡沫制品厂进行免费退换货，	黑猫召回	日用杂品	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98666.html	烫伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	100只装170ml	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	20210629	【江苏】西维亚电子（苏州）有限公司召回SAVIA牌D005、D008A、D012、D020C型嵌入式灯具	中国	江苏	SAVIA牌D005、D008A、D012、D020C型嵌入式灯具	8974	 西维亚电子（苏州）有限公司按照《消费品召回管理暂行规定》的要求，向江苏省市场监督管理局报告了召回计划，将自2021年6月30日起，召回2018年4月至2020年12月期间制造的SAVIA牌D005、D008A、D012、D020C型嵌入式灯具，涉及数量为8974件。 本次召回范围内的嵌入式灯具存在以下问题1、来源标记和型号标注未标注在灯具外表面，消费者在安装、使用、维修时，可能会因操作不当而导致触电及火灾事故。2、罩子上无“警告，触电维修”符号，	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98662.html	烧伤,电击伤	2	物理危害	警示标识缺失,高/低温物质危害,电气危害	警示标识缺失,高温物质危害,触电危害	空	未知	未知	未知	未知		无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否		无	无	无	无	无	无	是	未知	未知	是	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	20210629	【江苏】常州市长城风行电器有限公司召回“长城风行”牌CF-2108型延长线插座（立式插座）	中国	江苏	“长城风行”牌CF-2108型延长线插座（立式插座）	68	 常州市长城风行电器有限公司按照《消费品召回管理暂行规定》的要求，向江苏省市场监督管理局报告了召回计划，将自即日起，召回2019年8月制造的“长城风行”牌CF-2108延长线插座（立式插座），涉及数量为68只。 本次召回范围内的延长线插座（立式插座），由于带保护门的插座在不插入插头的情况下，探针能触及带电部位，如果消费者或儿童持尖锐导电物体穿过安全门接触到带电部件，会导致触电事故。对于召回范围内涉及的延长线插座（立式插座），常州市长城风行电器有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，并进行免费退货、退款，以消除安全隐患。 常州市长城风行电器有限公司将自即日起在官方网站（ccfxdq.1688.com）、经销商门店发布召回计划，提示持有受影响产品的消费者停止使用该产品，并联系常州市长城风行电器有限公司或其经销商进行免费退货、退款。	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98658.html	电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	20210629	【江苏】常州市长城风行电器有限公司召回部分长城风行牌B-215C防雷USB转换器	中国	江苏	长城风行牌B-215C防雷USB转换器	130	 常州市长城风行电器有限公司按照《消费品召回管理暂行规定》的要求，向江苏省市场监督管理局报告了召回计划，将自即日起，召回2014年8月期间制造的长城风行牌B-215C防雷USB转换器，涉及数量为130只。 本次召回范围内的转换器存在以下问题1、产品本体及包装无最大允许功率的警告标识，如果使用者使用超过最大允许功率的设备，会导致温升超过正常范围，从而引发绝缘损坏或短路，产生触电伤害。2、插座无保护门，消费者或儿童如果使用螺丝刀或其他金属棒触及带电部件，会产生触电伤害。对于召回范围内的转换器，常州市长城风行电器有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，并进行免费退货、退款，以消除安全隐患。 常州市长城风行电器有限公司将自即日起在官方网站（ccfxdq.1688.com）、经销商门店发布召回计划，提示持有受影响产品的消费者停止使用该产品，并联系常州市长城风行电器有限公司或其经销商进行免费退货、退款。	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98657.html	电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	20210629	【江苏】江苏凯艺照明电器有限公司召回“灿之宝”牌 CZBLK-LED18W型LED吸顶灯	中国	江苏	“灿之宝”牌 CZBLK-LED18W型LED吸顶灯	7	 江苏凯艺照明电器有限公司按照《消费品召回管理暂行规定》的要求，向江苏省市场监督管理局报告了召回计划，将自即日起召回2020年8月制造的灿之宝牌CZBLK-LED18W型LED吸顶灯，涉及数量为7台。 本次召回范围内的LED吸顶灯存在以下问题1、灯具无接地措施，如果漏电，极端情况可能造成触电危险2、灯具的塑料外壳耐热性能差，在较高环境温度下使用和长期使用后，塑性材料可能发生变形或融化，会引起电器短路，导致火灾。对于召回范围内的LED吸顶灯，江苏凯艺照明电器有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，并进行免费退货、退款，以消除安全隐患。 江苏凯艺照明电器有限公司将自即日起在电商平台官方网站 （canzhibao.tmall.com）上发布召回计划，提示持有受影响产品的消费者停止使用该产品，并联系江苏凯艺照明电器有限公司进行退货、退款。	黑猫召回	家用电器及电器附件	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98656.html	烧伤,电击伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	是	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	20210629	【江苏】常州市宝德电器科技有限公司召回“宝德驰”牌48V3A型电动车专用充电器	中国	江苏	“宝德驰”牌48V3A型电动车专用充电器	50	 常州市宝德电器科技有限公司按照《消费品召回管理暂行规定》的要求，向江苏省市场监督管理局报告了召回计划，将自即日起，召回2020年4月7日至2020年4月10日期间制造的“宝德驰”牌48V3A型电动车专用充电器，涉及数量为50只。 本次召回范围内的电动车专用充电器，其变压器初级端与次级端之间Y电容短路后，电压超过峰值42.4V，易触及部件成为带电件，有触电危险。对于召回范围内的电动车专用充电器，常州市宝德电器科技有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，并免费退货、换货，以消除安全隐患。 常州市宝德电器科技有限公司将自即日起在官方网站（www.boadc.cc）上发布召回计划，提示持有受影响产品的消费者停止使用该产品，并联系常州市宝德电器科技有限公司或其经销商进行免费退货、换货。	黑猫召回	交通工具及相关产品	未知	https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98655.html	电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
