Column1	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	伤害类别	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体_1	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
13	2021/6/8	【四川】四川众博教学设备有限公司召回部分学生用桌椅	中国	四川	学生用课桌椅	200	安全性要求中所有无覆盖的孔洞直径不符合标准要求，儿童手指伸入孔洞有可能会被卡住受伤。	召回	儿童用品	其他儿童用品	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210609_98318.html	挤压伤	1	人身安全	物理危害	机械危害	形状和表面性能危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	有	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
14	2021/6/10	【江苏】心倍爱儿童用品（南京）有限公司召回Singbail牌（T1248)儿童T恤	中国	江苏	儿童服装	70	1、该产品面料中pH值超标，可能对儿童皮肤产生刺激，危害儿童身体健康2、耐湿摩擦色牢度不足，染料分子等化学物质可能会被皮肤吸收，对儿童身体造成伤害3、耐久性标签缝制于皮肤直接接触的位置，与皮肤直接接触容易刺激皮肤甚至造成磨伤皮肤等危险。	召回	儿童用品	儿童衣服	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210611_98351.html	擦伤	1	人身安全	化学危害	无机毒物危害	有毒酸碱类危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	有	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
15	2021/6/10	【江苏】江苏船之宝医疗科技有限公司召回儿童围兜	中国	江苏	儿童服装	757	1、围兜pH值偏高，容易破坏皮肤的酸碱度平衡，引起儿童皮肤过敏2、围兜背部有绳带伸出，儿童玩耍时可能会被家具、电梯、交通工具或滑梯等物体上的突出物、缝隙缠住或夹住，有导致儿童因无法自由行动而摔倒或被缠绕、勒伤甚至窒息的危险。	召回	儿童用品	儿童衣服	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210611_98349.html	"勒伤,砸伤,窒息,过敏反应"	3	人身安全	化学危害	无机毒物危害	有毒酸碱类危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	有	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
16	2021/6/10	【安徽】灵璧县教育印刷厂召回部分语文簿	中国	安徽	语文簿	6000	由于危险锐利尖端项目不合格，消费者在使用该语文簿时存在划伤手的风险。	召回	儿童用品	其他儿童用品	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210611_98352.html	擦伤	1	人身安全	物理危害	机械危害	形状和表面性能危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	有	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
22	2021/6/21	【安徽】安徽三元实鑫防护用品有限公司召回儿童一次性防护口罩（非医用）	中国	安徽	儿童一次性防护口罩（非医用）	800	过滤效率（盐性介质）不符合国家相关标准要求，可能导致消费者使用该产品时达不到正常防护效果，危害消费者健康安全。	召回	儿童用品	其他儿童用品	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210622_98478.html	生物性感染	2	人身安全	生物危害	致病微生物危害	"原生微生物危害,真核细胞微生物危害,原核微生物危害"	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	有	无	无	无	无	无	无	无	无	有	无	无	无	无	无	有
5	2021/5/28	【四川】四川冰欣制冷设备有限公司召回部分陈列柜	中国	四川	陈列柜	4000	对触及带电部件的防护、稳定性和机械危险、电源连接和外部软线、接地措施不符合标准要求，可能导致消费者触电及机械损伤。	召回	家具及建筑装饰装修材料	空	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210601_98094.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	是	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
26	2021/6/22	【江苏】常州百莱特照明器材有限公司召回BL-03-30W型防水30W投光灯	中国	江苏	投光灯	50	　1、产品电源线入线口用环氧胶封死，非破坏不可拆卸，应分类为Z型连接，但说明书中给出的说明为Y型连接，不符合产品实际结构特征。灯具说明书没有正确标示灯具的连接型式，消费者在安装或维修灯具时可能会将电线极性接错，使灯具外壳带电，有触电危险。　　2、说明书中缺少“提供不可替换光源和非用户替换光源”相关内容警示说明。消费者在安装、使用、维修时可能会因缺乏相关提示而误触及带电部件，导致电击伤害。　　3、该灯具防护等级为IP65，属于非普通灯具，外部接线截面积为0.75mm²，小于标准要求的1.0mm²，导致机械性能和导电性能降低，在恶劣环境下外部接线的绝缘层会加速老化，产生短路，有引发触电事故的危险。　　对于召回范围内的防水30W投光灯，常州百莱特照明器材有限公司将积极落实企业主体责任，开展缺陷产品召回和安全技术改进工作，并免费为客户维修及更换说明书，或退货、退款，以消除安全隐患。	召回	家具及建筑装饰装修材料	空	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98654.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
0	2021/5/26	【上海】上海从乐网络科技有限公司召回部分从乐电蚊拍	中国	上海	电蚊拍	10	电蚊拍内的锂离子电池，由于在生产过程中混入杂物，使用过程中可能存在过热起火的安全隐患。漏电，过热起火。	召回	家用电器及电器附件	空	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202105/t20210528_98031.html	"烧伤,烫伤,电击伤"	2	人身安全	物理危害	"高/低温物质危害,电气危害"	"高温物质危害,触电危害"	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	"锂离子电池,电池"	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	是	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	2021/5/26	【上海】上海满秀灵国际贸易有限公司召回部分料理机	中国	上海	料理机	500	接地措施项目不符合检测标准。可能造成线路松脱，接触不良导致无法启动，极端情况下，可能会引起触电的风险。	召回	家用电器及电器附件	空	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202105/t20210528_98032.html	电击伤	2	人身安全	物理危害	电气危害	"触电危害,电气爆炸"	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	2021/5/28	【四川】四川金冠制冷设备有限公司召回部分制冷操作台	中国	四川	制冷操作台	50	接地措施不符合标准要求，无有效防松措施，接地不可靠，内部结构损坏时可能导致消费者触电内部布线不符合标准要求，开口处未处理，有锐利棱边，可能导致消费者划伤。	召回	家用电器及电器附件	空	http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210601_98092.html	"擦伤,电击伤"	2	人身安全	物理危害	"电气危害,机械危害"	"触电危害,形状和表面性能危害"	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	有	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
