召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20211014,韩国,韩法 DS7 汽车,,"召回发布日期：2021/10/13 召回发布国家或地区：韩国 制造商：韩法汽车销售有限公司 车型：DS7 Crossback 1.5 BlueHDi, DS7 Crossback 2.0 BlueHDi 召回数量：134 缺陷及后果：召回原因为装配尾灯的过程中未安装防水防异物的垫片套件，雨天或洗车时水汽可能通过尾灯照明混入，从而导致尾灯、转向灯、刹车灯、倒车灯异常，行驶中对后车和驾驶员造成安全影响。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】韩法 DS7 汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100565.html
20211014,日本,久保田装载机铲车,,召回发布日期：2021/10/12 召回发布国家或地区：日本 制造商：久保田 车型：R430E、6SDTL8、R530E、6SDTL10、R630E、6SDTL12 召回数量：1975 缺陷及后果：冬季在寒冷环境中使用轮式装载机时，发动机机油分离器的管路可能会被冰堵塞。堵塞时，发动机内压力上升，发动机机油回流至发动机的燃烧室。因此，发动机超过最大转速运转，如果产生异常推力，液压油未充分升温，车辆可能无法停止。当发动机超过最大转速运转时，发动机内部损坏，并且在行驶过程中停止工作，导致车辆停止，可能会无法重新启动。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】久保田装载机铲车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100570.html
20211014,日本,雅马哈摩托车,,召回发布日期：2021/10/12 召回发布国家或地区：日本 制造商：雅马哈发动机株式会社 车型：XVS950CU BOLT-R(A)、XVS950CU BOLT(A) 召回数量：324 缺陷及后果：由于发动机曲轴箱的铸造工作不正确，可能会产生与发动机机油的管道相通的铸造孔洞。因此，在车辆行驶过程中发动机机油可能会从该孔洞泄漏。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】雅马哈摩托车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100569.html
20211014,澳大利亚,五十铃汽车,,召回发布日期：2021/10/12 召回发布国家或地区：澳大利亚 制造商：五十铃澳大利亚有限公司 车型：N 系列 召回数量：307 缺陷及后果：由于自动变速器中软管的制造问题，液体可能从变速器泄漏，这可能导致动力损失。失去动力可能会增加事故造成车辆乘员和其他道路使用者受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】五十铃汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202110/t20211014_100567.html
20211014,澳大利亚,沃尔沃汽车,,召回发布日期：2021/10/12 召回发布国家或地区：澳大利亚 制造商：沃尔沃汽车澳大利亚公司 车型：S60、S80 召回数量：1469 缺陷及后果：驾驶员的安全气囊充气机可能在发生碰撞展开安全气囊时破裂。如果有缺陷的安全气囊充气机破裂，金属碎片可能会穿过安全气囊垫飞向车辆乘员，造成重伤或死亡。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】沃尔沃汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202110/t20211014_100568.html
20211014,澳大利亚,马自达汽车,,召回发布日期：2021/10/12 召回发布国家或地区：澳大利亚 制造商：马自达澳大利亚私人有限公司 车型：Mazda6MPS（GG）、RX-8（FE） 召回数量：2506 缺陷及后果：由于燃料泵挡圈安装不当，可能会破裂并导致燃料泄漏。由于 RX-8 型号的发动机和排气管的热量暴露，存在额外的损坏风险。 燃料箱的燃料泄漏可能导致车身底部起火。车辆着火可能会增加车辆乘员、道路使用者或旁观者受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】马自达汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202110/t20211014_100566.html
20211014,韩国,梅赛德斯-奔驰汽车,,"召回发布日期：2021/10/11 召回发布国家或地区：韩国 制造商：梅赛德斯-奔驰汽车（韩国）有限公司 车型：350 D, S 400 D 4MATIC, S 500 4MATIC, S 580 4MATIC, Maybach S 580 4MATIC 召回数量：5797 缺陷及后果：召回原因为紧急通信模块的软件错误而造成与配置不符，无法自动或手动使用紧急通话功能，也无法传送车辆定位数据，当事故发生时，可能造成初期救助活动延迟，增加乘客受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100556.html
20211014,日本,奥迪汽车,,召回发布日期：2021/10/8 召回发布国家或地区：日本 制造商：奥迪株式会社 车型：奥迪RSQ3、奥迪Q3 35TDIQ 召回数量：1323 缺陷及后果：对于带有安装在副油箱的燃油液位传感器的吸入式喷射泵，由于泵的燃油管道和燃油液位传感器之间的间距不当，燃油液位传感器可能会挂在燃油管道上。因此，实际燃料量与燃油计的显示值不一样，会比实际燃油显示更多，如在此状态下继续行驶，燃油耗尽可能会导致车辆无法行驶。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】奥迪汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100557.html
20211014,德国,梅赛德斯-奔驰汽车,,召回发布日期：2021/10/8 召回发布国家或地区：德国 制造商：梅赛德斯-奔驰汽车公司 车型：X级 召回数量：7554 缺陷及后果：X级车型的后窗可能会破裂。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【德国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/deg/202110/t20211014_100555.html
20211014,欧盟,丰田汽车,,"召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：丰田 车型：Prius, Prius PHEV 召回数量：不详 缺陷及后果：由于不正确的编程，混合动力车辆的电子控制单元 (ECU) 可能会错误地确定变速器选挡杆的位置，这可能导致混合动力系统关闭。可能会失去动力，增加事故风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】丰田汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100545.html
