召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20211011,欧盟,Crystal Creations发饰,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Crystal Creations Crystal Creations Hair Accessories Crystal Creations发饰 产地中国 具体型号或识别特征款号6272653 缺陷及后果由于包装上的警告以及关于如何使用涂胶器的指示不足，胶水可能会粘到使用者的眼睛上，导致眼睛受伤。 ,【欧盟】Crystal Creations发饰召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211011_100358.html
20211011,欧盟,Folding stool折叠凳,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Folding stool折叠凳 产地中国 具体型号或识别特征HM-D33 缺陷及后果凳子没有锁定装置，因此用户可能会因夹紧点而受伤。 ,【欧盟】Folding stool折叠凳召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211011_100357.html
20211011,欧盟,ICON LENGÖHOSSZABITÓ延长线,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称ICON LENGÖHOSSZABITÓ延长线 产地中国 具体型号或识别特征EP10001-20 缺陷及后果电源线内的电缆太细。当电缆延长套件与I类设备一起使用时，用户可能会遭受烧伤或触电的危险。 ,【欧盟】ICON LENGÖHOSSZABITÓ延长线召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211011_100356.html
20211011,欧盟,Vancrystals配施华洛世奇水晶的Arais Rosado项链,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Vancrystals配施华洛世奇水晶的Arais Rosado 项链 产地未知 具体型号或识别特征 缺陷及后果该产品释放出过量的镍（检测值高达86μg/cm2/周），并含有过量的铅（按重量计的检测值高达65％）。镍是一种强致敏物，如果存在于长期与皮肤直接接触的物品中，会引起过敏反应。铅对人体健康有害，且能在人体内累积，还可能会影响哺乳期婴儿或胎儿。该产品还含有过量的镉（按重量计的检测值达 0.013%）。镉对人体健康有害，因为它积聚在体内，会损害肾脏和骨骼，并可能致癌。 ,【欧盟】Vancrystals配施华洛世奇水晶的Arais Rosado项链召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211011_100355.html
20211012,欧盟,Fashion 塑料娃娃,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Fashion 塑料娃娃 产地中国 具体型号或识别特征LY350 缺陷及后果娃娃头部的塑料材料含有邻苯二甲酸二(2 -乙基己基)酯（DEHP）（按重量计的检测值高达38.3%）。这种邻苯二甲酸酯可能会损害儿童生殖系统，不利于儿童健康。 ,【欧盟】Fashion 塑料娃娃召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100372.html
20211012,欧盟,Masa 玩具史莱姆,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Masa galaktyczna w beczce玩具史莱姆 产地中国 具体型号或识别特征61936，BZES9111 缺陷及后果玩具史莱姆中硼元素的迁移量过高（检测值高达721.08 mg/kg）。儿童摄入或接触过量的硼可能会损害生殖系统而危害健康。 ,【欧盟】Masa 玩具史莱姆召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100371.html
20211012,欧盟,Slime M玩具史莱姆,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Slime M玩具史莱姆 产地中国 具体型号或识别特征7262，BPLA3024 缺陷及后果玩具史莱姆中硼元素的迁移量过高（检测值高达2273.18 mg/kg）。儿童摄入或接触过量的硼可能会损害生殖系统而危害健康。 ,【欧盟】Slime M玩具史莱姆召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100370.html
20211012,欧盟,Ballet Twinkle Toes塑料娃娃,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Ballet Twinkle Toes塑料娃娃 产地中国 具体型号或识别特征LY-2310 缺陷及后果玩具含有双（2-乙基己基）邻苯二甲酸二酯 (DEHP) （按重量计的检测值高达 19.4%）。此邻苯二甲酸酯可能会对生殖系统造成伤害，不利于儿童健康。 ,【欧盟】Ballet Twinkle Toes塑料娃娃召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100369.html
20211012,欧盟,Next Oakley Mirror镜子,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称Next Oakley Mirror镜子 产地中国 具体型号或识别特征688055 缺陷及后果由于将玻璃镜子粘在背衬上的胶水不足，镜子可能会脱落并破裂，产生玻璃碎片，从而导致划伤。 ,【欧盟】Next Oakley Mirror镜子召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100368.html
20211012,欧盟,灯饰链,,召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称LED 100 BOMBILLAS / beltéri LED karácsonyi égősor灯饰链 产地中国 具体型号或识别特征LED-GSK-100参考号1101379 缺陷及后果电缆没有正确固定且太细它可能会过热，导致火灾或烧伤的风险。可触及电线的绝缘不足。用户可能会碰到可触及的带电部件，遭到电击。 ,【欧盟】灯饰链召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100367.html
20211012,欧盟,LED模块电子控制设备,,"召回发布日期2021/10/8 召回发布国家或地区欧盟 产品名称eurolite电子变压器24V 8,3A LED模块电子控制设备 产地欧盟（德国） 具体型号或识别特征编号51402263 缺陷及后果电气绝缘不足，而且初级电路和可触及次级电路之间以及电路板上的通电电路和接地电路之间的电气间隙/爬电距离不够。可接触部件可能会带电，用户可能会受到电击。 ",【欧盟】LED模块电子控制设备召回,https://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202110/t20211012_100364.html
