Column1,日期,事件标题,国家,区域,消费品名称,涉及的消费品数量,伤害事件,事件来源,消费品一级类别,消费品二级类别,链接,伤害类型,严重程度,伤害类别,消费品危害类型,消费品一级危害类型,消费品二级危害类型,消费者年龄,消费者受教育程度,消费者职业,健康状况,消费品问题部件,尺寸,绳索及类似物,不透气,填充物,锐利边缘,部件空隙或开口,尖角,光滑表面,粗糙表面,小零件,昼夜,温度,湿度,海拔,稳定性,腐蚀性,速度,腐蚀物,坎坷,爬坡,下坡,地面摩擦,斜坡,楼梯,灰尘,静电,辐射,警示标识缺失,高温表面,高温液体,高温气体,低温表面,低温液体,低温气体,明火,高低电压,过热,漏电,短路,接触不良,铁芯发热,散热不良,稳定性噪音危害,变动性噪音危害,脉冲性噪音危害,爆炸性气体,爆炸性粉尘,爆炸性喷雾,聚合爆炸,蒸发爆炸,液体混合爆炸,爆炸性化合物,固体爆炸性物质,爆炸性气体_1,旋转部件牵扯,飞行物体撞击,移动部件挤压,机械稳定性,机械强度,弹性组件失控,压力空间失控,热辐射危害,激光辐射,紫外线辐射,X光线辐射,高频电磁辐射,低频电磁辐射,甲醛,乙醛,丙烯醛,其它有毒醛类,蒽类化合物,菲类化合物,芘类化合物,其它有毒芳香稠环类化合物类,N-杂环化合物,S-杂环化合物,O-杂环化合物,其它有毒杂环类化合物,有机氟化物,有机氯化物,有机溴化物,其它有毒有机氯化物,一氧化氮,一氧化碳,氯气,臭氧,氯化氢,硫化氢,其它有毒气体,砷,镉,铬,铜,汞,镍,铅,其它有毒重金属及其化合物,硫酸,盐酸,氢氧化钠,其它有毒酸碱类物,氢氰酸,氰化钾,氰化氢,其它无机氰化物,尘螨,蛔虫卵,绦虫卵,其它寄生虫危害,甲肝病毒,甲型流感病毒,轮状病毒,禽流感病毒,其它原生微生物危害,皮肤癣真菌,着色真菌,孢子丝菌,新生隐球菌,假丝酵母菌,曲霉,毛霉,卡氏肺孢菌,其它真核细胞微生物危害,大肠杆菌,沙门氏菌,副溶血性弧菌,金黄色葡萄球菌,腊样芽孢肝菌,其它原核细胞微生物危害
6570,2019/2/25 16:53:52,刺眼闪光会导致视力损伤,中国,218.26.55.203(山西-太原),儿童玩具,5,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],2,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,大,无,,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6571,2019/2/25 17:12:09,刺眼闪光会导致视力损伤,中国,112.224.22.11(山东-泰安),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],2,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,无,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,差,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6572,2019/2/25 17:12:10,刺眼闪光会导致视力损伤,中国,183.39.169.133(广东-深圳),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6573,2019/2/25 17:12:11,刺眼闪光会导致视力损伤,中国,139.196.185.175(上海-上海),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6574,2019/2/25 17:12:12,刺眼闪光会导致视力损伤,中国,139.213.125.92(吉林-吉林),儿童玩具,20,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6575,2019/2/25 17:12:13,刺眼闪光会导致视力损伤,中国,223.104.63.115(广东-广州),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6576,2019/2/25 17:12:14,刺眼闪光会导致视力损伤,中国,61.178.220.157(甘肃-兰州),儿童玩具,20,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6577,2019/2/25 17:12:15,刺眼闪光会导致视力损伤,中国,116.28.236.187(广东-湛江),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6578,,刺眼闪光会导致视力损伤,中国,114.242.248.16(北京-北京),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
6579,,刺眼闪光会导致视力损伤,中国,183.162.4.135(安徽-合肥),儿童玩具,10,刺眼闪光会导致视力损伤,问卷调查,儿童用品,儿童家具,,[视力损伤],1,人身安全,[物理危害],[辐射危害],[热辐射危害],未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,空,空,空,空,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,有,有,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
