序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,口罩内有异物,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355276775/,投诉,河南康宸医疗器械有限公司,"赔偿,道歉,作出处罚,解释",忘了在什么地方买的那包口罩，口罩中有异物（感觉血块之类），口罩后面写着联系厂家，联系后厂家说不是他们产的。,待分配
2,恶意扣款,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355278986/,投诉,菜鸟客服,"退款,道歉,作出处罚,解释",提醒面部检测，不需要带口罩，但是事后表示要求带口罩，不带口罩扣款15元，要求退还15元,已回复
3,口罩夹层有虫子尸体,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355044828/,投诉,阿里客服,赔偿,在淘宝购买的振德旗舰店的口罩，要带口罩下楼的时候，打开口罩发现其上面有虫子，是在口罩夹层里，口罩夹层有虫子尸体，具体请见图,处理中
4,商家虚假宣传,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355436727/,投诉,项城市梦远医疗科技有限公司,退款,买口罩机时说只需要扫码支付即可出口罩，而+机器到手时需要打开蓝牙和定位然后才能扫码链接机器出口罩 ++卖家没有说明是蓝牙款式的口罩机，直接宣传扫码支付便可出口罩，这是误导性的宣传，诱导买家认为是物联卡款式的口罩机 ++在收到货之后卖家夜拒绝退货退款，理由是不影响使用，此款口罩机并非定制产品，应该享受三包...,待分配
5,中国移动前台服务人员态度极差，言语辱骂客户,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355048016/,投诉,中国移动10086,"改善服务,道歉",这个中国移动的前台接待自己上班期间不戴口罩在那里玩手机，客户进门之后她才自己拉上口罩，而且态度很差的说不带口罩就立即出去，不戴口罩就不要来办业务，不戴口罩就不要进门。完全不以客户为服务中心，而且言语辱骂来办业务的客户,已完成
6,三无产品口罩,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355459393/,投诉,抖音短视频,"退款,赔偿",三无口罩不赔偿不解释 商家也提供不出来口罩属于正规产品,已完成
7,口罩是假的,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354450/,投诉,阿里客服,"退款,赔偿",《消费者权益保护法》第55条，经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍；增加赔偿的金额不足五百元的，为五百元。,处理中
8,恬苑旗舰店 口罩售假,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355034872/,投诉,阿里客服,"退款,赔偿,道歉",产品连接第一个是医用级没错 备案号也可以查到 ，剩下的口罩跟第一个口罩不是同一个产品挂着一样的备案号打着医用级口罩备案号来售卖，实际收到货后不是医用级口罩,处理中
9,阿里健康大药房客服处理不合理,2021-11-01,https://tousu.sina.com.cn/complaint/view/17355690380/,投诉,阿里健康客户服务,赔偿,本人于2021年2月在阿里健康大药房购买维德口罩，于2021年10月27日发现其中一个新开封的口罩绳有一个结，疑似二次使用（伪劣口罩），于是询问客服。客服先是以“查询”为由，不积极回复消息，在本人多次询问后，客服提出赔偿一个口罩的价格。本人觉得极度不合理，因为这不仅是一个口罩的问题，如果该口罩确实属于二次使用，...,处理中
10,强制消费+哄抬物价,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355193867/,投诉,博纳影业集团,"退款,赔偿,作出处罚",来看电影说要口罩，就去这个影院前台买口罩，结果告诉我口罩不卖，只能消费才给？？？强制消费也就算了一瓶4.5的果粒奶优要卖12元，真的第一次见，欺骗消费者！,处理中
11,滴滴出行包庇司机不戴口罩接单,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355207502/,投诉,滴滴出行客服,"退款,解释道歉,赔偿",司机在行程途中把口罩脱了擦鼻涕，司机讲话听得出司机感冒了，擦药鼻涕还不把口罩带回去，车内有安装录像，滴滴客服说车内录像无法提供，证明不了司机没带口罩,已回复
12,振德旗舰店 发破口罩给客户,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355264488/,投诉,振德医疗用品股份有限公司,"退款,赔偿,道歉,作出处罚",如图所示 振德旗舰店发过来的口罩是破损的 而且有包外包装是灰色的 我有理由怀疑这一批口罩是否安全,待分配
13,滴滴不把司机当人不把国家规定放在眼里,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355675063/,投诉,滴滴出行客服,恢复账号,接一单乘客没带口罩我取消订单。国家疫情这么严重乘客不带口罩我取消订单。滴滴判我责任。今天跑呢34单只有五个乘客带口罩呢！现在乘客不带口罩我也不敢取消！滴滴现在不把国家防疫规定当回事。不把我们司机当人看，它是美国公司过来害我们中国的吗？,已回复
14,万达影城检票员买卖不符合标准的一次性口罩从中谋利！！,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355282230/,投诉,常州市武进万达影城,"赔偿,道歉,作出处罚,影城违法售卖口罩！查",万达影城入口检票员和门口卖棒米花的非法出售不合格垃圾口罩，卖给消费者2元每个，质量太差了，有关部门尽快查实！！！还给消费者一个公道！门口也没有明确不带口罩不可以入内！可检票口小姑娘明确不带口罩不让进，哪怕买了口罩不带，拿在手上都让进去！！有关部门这属于什么行为？？,待分配
15,抖音售卖假冒伪劣口罩,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354987073/,投诉,抖音短视频,"退款,赔偿,道歉,下架产品",2021年9月9日我在抖音平台购买口罩，地推时使用，9月13日收到货后，感觉口罩包装简陋，于是就认真查看了口罩的合格证，该口罩是防护口罩，使用的是团体标准，但该团体标准并查不到，而且合格证上也没有产品规格，因此该口罩是假冒伪劣口罩，我非常愤怒，且该口罩厂家为湖北省仙桃市，但商品详情页却是江苏省的一个公司，...,已完成
16,拼多多上的商家售卖国旗口罩,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355232132/,投诉,拼多多客户服务,"赔偿,作出处罚,下架产品",20201年9月28日在拼多多购买口罩，2021年10月2日发现是带有国旗的口罩，违法了国旗法，要求商家赔偿,处理中
17,我是花小猪司机，花小猪平台罚了我318元，我觉得不合理所以要投诉他,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355700720/,投诉,花小猪打车官方客服,退款,我开车拉活时，乘客没有带口罩，平台说的乘客不戴口罩司机有权拒绝乘客上车。所以我碰到没戴口罩的乘客就跟他们说了我有权取消行程。我取消行程后，关闭花小猪平台，我也有权利拉其它不戴口罩的乘客对吧？为什么花小猪就判定我是私下交易了，并且罚我318那？,已回复
18,京东MILKON旗舰店口罩有虫,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355700798/,投诉,京东客服,"赔偿,作出处罚",2021年6月12购买的京东店铺MILKON旗舰店购买了100只口罩（单独包装）使用中发现口罩有虫。商家拒绝赔付说自己质量合规。京东平台过售后处理期不处理纠纷。 口罩质量不合规，无菌环境怎么会有虫子。疫情期间生产这样的口罩良心何在？,已回复
19,蓝色风暴，随意扣款，霸王条款不给申诉。,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355499372/,投诉,饿了么客户关怀,"道歉,改善服务,作出处罚,退款,解释",本人注册蜂鸟众包刚开始跑单两天时间，就提示被扣除15的一个处罚，我当时戴口罩拍照说是面部有遮挡，我就把口罩拉下来拍照，完了后就接到处罚，说是装备不合格，我看了条款1-2级不需要装备，现在随意扣款，戴口罩拍照片提示有遮挡不戴口罩就罚款。,已完成
20,蜂鸟众包。抽查罚单。,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355582170/,投诉,饿了么客户关怀,退款,无缘无故被罚了15块钱很冤枉。我口罩也戴了，只是拍照的时候他没法通过，要遮掉口罩才能通过。我送外卖都是戴的口罩送外卖的。15块钱是小钱，可是我们15块钱要送两三个小时才能赚15块钱一单才两三块钱。,已回复
21,司机不带口罩,2021-10-29,https://tousu.sina.com.cn/complaint/view/17355640747/,投诉,携华出行,赔偿,疫情这么严重司机还不带口罩，高德地图打的车也有责任，携华出行的司机,已回复
22,滴滴乱判责任,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355303619/,投诉,滴滴出行客服,解释道歉,2021年10月5号接了个从家和生活馆生活超市到东莞市的定单，乘客未带口罩，我拒绝上车，乘客身上也未有口罩，为了我人生安全，我肯定不能接，我家有小孩，有老婆，现在特殊时期，拒载一切未有绿码和未带口罩的乘客,已回复
