序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,口罩夹层有虫子尸体,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355044828/,投诉,阿里客服,赔偿,在淘宝购买的振德旗舰店的口罩，要带口罩下楼的时候，打开口罩发现其上面有虫子，是在口罩夹层里，口罩夹层有虫子尸体，具体请见图,处理中
2,中国移动前台服务人员态度极差，言语辱骂客户,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355048016/,投诉,中国移动10086,"改善服务,道歉",这个中国移动的前台接待自己上班期间不戴口罩在那里玩手机，客户进门之后她才自己拉上口罩，而且态度很差的说不带口罩就立即出去，不戴口罩就不要来办业务，不戴口罩就不要进门。完全不以客户为服务中心，而且言语辱骂来办业务的客户,已回复
3,口罩内有异物,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355276775/,投诉,河南康宸医疗器械有限公司,"赔偿,道歉,作出处罚,解释",忘了在什么地方买的那包口罩，口罩中有异物（感觉血块之类），口罩后面写着联系厂家，联系后厂家说不是他们产的。,待分配
4,恬苑旗舰店 口罩售假,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355034872/,投诉,阿里客服,"退款,赔偿,道歉",产品连接第一个是医用级没错 备案号也可以查到 ，剩下的口罩跟第一个口罩不是同一个产品挂着一样的备案号打着医用级口罩备案号来售卖，实际收到货后不是医用级口罩,处理中
5,恶意扣款,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355278986/,投诉,菜鸟客服,"退款,道歉,作出处罚,解释",提醒面部检测，不需要带口罩，但是事后表示要求带口罩，不带口罩扣款15元，要求退还15元,已回复
6,抖音售卖假冒伪劣口罩,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354987073/,投诉,抖音短视频,"退款,赔偿,道歉,下架产品",2021年9月9日我在抖音平台购买口罩，地推时使用，9月13日收到货后，感觉口罩包装简陋，于是就认真查看了口罩的合格证，该口罩是防护口罩，使用的是团体标准，但该团体标准并查不到，而且合格证上也没有产品规格，因此该口罩是假冒伪劣口罩，我非常愤怒，且该口罩厂家为湖北省仙桃市，但商品详情页却是江苏省的一个公司，...,已完成
7,强制消费+哄抬物价,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355193867/,投诉,博纳影业集团,"退款,赔偿,作出处罚",来看电影说要口罩，就去这个影院前台买口罩，结果告诉我口罩不卖，只能消费才给强制消费也就算了一瓶4.5的果粒奶优要卖12元，真的第一次见，欺骗消费者,处理中
8,口罩是假的,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354450/,投诉,阿里客服,"退款,赔偿",《消费者权益保护法》第55条，经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍增加赔偿的金额不足五百元的，为五百元。,处理中
9,滴滴出行包庇司机不戴口罩接单,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355207502/,投诉,滴滴出行客服,"退款,解释道歉,赔偿",司机在行程途中把口罩脱了擦鼻涕，司机讲话听得出司机感冒了，擦药鼻涕还不把口罩带回去，车内有安装录像，滴滴客服说车内录像无法提供，证明不了司机没带口罩,已回复
10,在抖音平台上商家三兄弟供应链2店买东西乱扣钱要求退款,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354917130/,投诉,抖音短视频,"退款,赔偿",在抖音上看见广告卖口罩，买了口罩绑了卡半夜扣钱，还查不到任何的订单信息，什么都看不到，买的口罩订单号也查不到，虚假信息，要求把钱退回来，给我个合理的解释,已完成
