序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,东芝智能马桶盖无法售后,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323700/,投诉,东芝家电,"退/换新机,维修,赔偿解释",本人今年7月份在淘宝购买东芝T5-86D6型智能马桶盖一个，购买之时即存在喷水只有3秒的问题，后与售后联系维修，维修了近1个月没有修好，回复是无配件，随后售后建议换新，但是售后这边无法换新，要求找卖家，现在卖家要求找售后，马桶盖无法使用，也没有人管！这种情况应该由售后负责，申诉由售后申请换新。,已回复
2,博世安装工没有安装好烟管导致家里要拆橱柜,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355501133/,投诉,博世家电,"维修,赔偿解释",博世安装工在管道预埋阶段没有安装好烟管，在我家全部装修完之后使用油烟机出现了油烟倒灌现象。致电博世售后之后，他们已经安排了两个师傅上门查看，均无法有效解决，第一个师傅说无法检查，第二个师傅在检查之后发现其实是安装阶段没有连接好的烟管，但是博世的售后一直以没有检修口为由在推脱责任,已回复
3,商家不发货,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355235264/,投诉,磊诺家电,"退款,赔偿,道歉,作出处罚",9月11下午购买冰箱此产品 一直到现在不发货,待分配
4,天猫东芝电冰箱专卖店承诺退差价又反悔,2021-11-01,https://tousu.sina.com.cn/complaint/view/17355686693/,投诉,东芝家电,退赔差价,购买该店冰箱时，门店承诺付定金后再付尾款可以在收货后退1000元差价，期间既没有提及不能用该店的1000元卷，也没有说1000元卷与返现有冲突，该卷门店根本没有给我发过，是我自己找到的，包括我下定金时的交易快照也可以证明无关于该情况的描述，包括付款后，我还与客服确认什么时候返现，对方表示可以返现1000，但是后...,已完成
5,产品外壳质量差,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355127141/,投诉,博世家电,"赔偿解释,道歉",博世6系活氧干衣机，第一次送货侧板明显运输变形瘪进去一块，申请换机。第二次送的机器底部掉漆磨损，底下盖板松松垮垮盖不严实。售后说是正常情况，并且扬言说没有完美的机器，真的是这样的吗？还是博世品牌所谓的进口机器都是有瑕疵的垃圾？请博世官方给一个解释。大货退换货已经经历一次太麻烦，并且我不相信下次换的...,已回复
6,上门维修工人额外骗取维修费,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355101025/,投诉,博世家电,赔偿解释,家里博世洗衣机坏了需要维修，联系了官方售后维修部。2021年9月18日，师傅上门查看以后告知要先收取300元的定金。9月19日，师傅再携带配件上门维修，维修过后索要450元上门费，并强调“这是公司规定的价格，希望我们下次私下联系他可以优惠”。 9月22日，察觉蹊跷的我再次拨打售后服务电话，官方告知本次维修费总金额300元...,已完成
7,农村天然气交钱配发的燃气灶不能用，厂家客服不予处理！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355375385/,投诉,神州联保家电,"发货,换货,维修",农村天然气改造后，交钱配发的燃气灶不能用，刚开始厂家有维修人员过来查看后说需要从厂家配发零件，从8月份发货至今，没再联系，也联系不到厂家！欺骗消费者！只知道电话是神州联保家电售后！020-81819***,待分配
8,西门子洗碗机内部发霉,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355326428/,投诉,西门子家电,退货退款,本人2021年6月在西门子家电天猫官方旗舰店购买了一台西门子洗碗机，到货后一直没有拆，9月西门子售后人员来我家设计现场时拆开了洗碗机，发现洗碗机有轻微破损，随后联系西门子售后，经过多次沟通，与售后协商后支付运费换了一台新洗碗机。可新洗碗机到货让我大吃一惊，洗碗机内部竟然发霉了，背板还有大量水滴、水渍，...,处理中
9,西门子的微蒸烤机修了2个月，期间客服态度恶劣，设备质量问题要求全款退货,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355331384/,投诉,西门子家电,"退货退款,退/换新机,赔偿解释,延保",2018年11月7日在天猫商城的苏宁易购官方旗舰店购买了1台西门子CO565AGS0W嵌入式微蒸烤一体机，消费金额 6999 元，由于家里装修，实际于 2019 年 3 月 22 日送货安装，使用期间发现烧烤、蒸的功能效果很差，蒸鱼、烤肉都是半生的，所以全家仅使用它微波炉热菜、饭功能。2021 年 7 月发现机器无法正常加热食物，致电西门子...,已完成
10,冰箱冷冻异味严重，影响使用,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355676829/,投诉,卡萨帝高端家电,退/换新机,海尔的卡萨帝BCD-622WDCAU1这个冰箱，冷冻室一直有异味，我一直以为是我储存食品的问题，后来我清空了，还是有异味，刚放进去的馒头，第二天拿出来就有难闻的异味，没办法解决，影响正常使用，而且制冷声音很大，一点也不静音,已完成
11,短短三年时间出现了两次质量问题，最近出现了漏气的情况。,2021-10-29,https://tousu.sina.com.cn/complaint/view/17355635708/,投诉,西门子家电,"退货退款,退/换新机,赔偿解释,延保",短短三年时间出现了两次质量问题，最近出现了漏气的情况，客服说18年6月买的已经过保，需要付费维修，漏气这么严重的问题要不是我自己闻到发现了出现了生命安全怎么办？太可怕了,处理中
12,海尔卡萨帝冰箱，买不到一年压缩机就坏了，产品质量没有保障,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355592402/,投诉,卡萨帝高端家电,退/换新机,海尔卡萨帝冰箱，买不到一年压缩机就坏了，质量实在太差了，维修师傅说需要把冰箱搬走维修，请问我一冰箱的东西全部丢掉吗？这一搬走都不知道几天才能送回来了，号称高端品牌根本没有相应的高端服务,已完成
13,西门子洗衣机 双十一！,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355704400/,投诉,西门子家电,"退货退款,改善服务",为了避免双十一拥挤我提前在淘宝西门子旗舰店购买一台洗衣机，当时客服承诺的是保价双十一。双十一我买的价格比之前便宜500，店铺只退还200差价。我请求重新拍，却以已签收理由拒绝，双方没有损失却不解决问题。,处理中
