序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,商家不发货,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355235264/,投诉,磊诺家电,"退款,赔偿,道歉,作出处罚",9月11下午购买冰箱此产品 一直到现在不发货,待分配
2,产品外壳质量差,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355127141/,投诉,博世家电,"赔偿解释,道歉",博世6系活氧干衣机，第一次送货侧板明显运输变形瘪进去一块，申请换机。第二次送的机器底部掉漆磨损，底下盖板松松垮垮盖不严实。售后说是正常情况，并且扬言说没有完美的机器，真的是这样的吗还是博世品牌所谓的进口机器都是有瑕疵的垃圾请博世官方给一个解释。大货退换货已经经历一次太麻烦，并且我不相信下次换的...,已回复
3,上门维修工人额外骗取维修费,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355101025/,投诉,博世家电,赔偿解释,家里博世洗衣机坏了需要维修，联系了官方售后维修部。2021年9月18日，师傅上门查看以后告知要先收取300元的定金。9月19日，师傅再携带配件上门维修，维修过后索要450元上门费，并强调“这是公司规定的价格，希望我们下次私下联系他可以优惠”。 9月22日，察觉蹊跷的我再次拨打售后服务电话，官方告知本次维修费总金额300元...,已完成
4,东芝智能马桶盖无法售后,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323700/,投诉,东芝家电,"退/换新机,维修,赔偿解释",本人今年7月份在淘宝购买东芝T5-86D6型智能马桶盖一个，购买之时即存在喷水只有3秒的问题，后与售后联系维修，维修了近1个月没有修好，回复是无配件，随后售后建议换新，但是售后这边无法换新，要求找卖家，现在卖家要求找售后，马桶盖无法使用，也没有人管这种情况应该由售后负责，申诉由售后申请换新。,已回复
5,冰箱冷冻室结霜多次换货依然未解决,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354864110/,投诉,博世家电,"退货退款,赔偿解释",购买博世冰箱一台，全新通电24h出现结霜。宣传为风冷无霜。申请换货后，再次结霜。,已完成
6,硬盘损坏，寄回厂家维修后又原路返回,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354763508/,投诉,东芝家电,维修,2020年2月在淘宝的苏宁易购上买了一个东芝硬盘，保修3年，结果在2021年8年硬盘突然读取错误，导致里边所有数据丢失，然后联系了淘宝的客服，得不到解决，让我联系东芝的厂家，联系后说是让我寄回厂家去检测，我在纸条上写上了购买日期，SN码，产品问题，并把地址联系人都标明了，结果七个工作日后厂家又原封不动将硬盘给...,已完成
7,农村天然气交钱配发的燃气灶不能用，厂家客服不予处理！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355375385/,投诉,神州联保家电,"发货,换货,维修",农村天然气改造后，交钱配发的燃气灶不能用，刚开始厂家有维修人员过来查看后说需要从厂家配发零件，从8月份发货至今，没再联系，也联系不到厂家欺骗消费者只知道电话是神州联保家电售后020-81819***,待分配
8,西门子洗碗机内部发霉,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355326428/,投诉,西门子家电,退货退款,本人2021年6月在西门子家电天猫官方旗舰店购买了一台西门子洗碗机，到货后一直没有拆，9月西门子售后人员来我家设计现场时拆开了洗碗机，发现洗碗机有轻微破损，随后联系西门子售后，经过多次沟通，与售后协商后支付运费换了一台新洗碗机。可新洗碗机到货让我大吃一惊，洗碗机内部竟然发霉了，背板还有大量水滴、水渍，...,处理中
9,西门子的微蒸烤机修了2个月，期间客服态度恶劣，设备质量问题要求全款退货,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355331384/,投诉,西门子家电,"退货退款,退/换新机,赔偿解释,延保",2018年11月7日在天猫商城的苏宁易购官方旗舰店购买了1台西门子CO565AGS0W嵌入式微蒸烤一体机，消费金额 6999 元，由于家里装修，实际于 2019 年 3 月 22 日送货安装，使用期间发现烧烤、蒸的功能效果很差，蒸鱼、烤肉都是半生的，所以全家仅使用它微波炉热菜、饭功能。2021 年 7 月发现机器无法正常加热食物，致电西门子...,已完成
10,卡萨帝冰箱用了不到一年冷藏温度38度降不下来,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355105861/,投诉,卡萨帝高端家电,退/换新机,9月22号的晚上打开冰箱，发现放在冷藏室的可乐爆了，爆的整个冰箱都是可乐，很愕然为什么好端端的可乐放在冷藏会爆呢看了一下面板的温度显示冰箱温度是38度，然后还发现放在冰箱的饮料和水果都结了冰，之后马上联系销售网点派了售后上门检测，检测说是面板坏了要换，然后隔天来换了面板还是显示38度，售后说要拆机换传...,已完成
11,博西华家用电器服务不给退换冰箱,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354923666/,投诉,西门子家电,退/换新机,本人的西门子冰箱于2019年11月购买，于2020年2月开始使用，使用期间多次致电西门子售后服务请求修理冰箱，但售后服务委派的修理人员多次上门维修找不出问题原因，便不予维修，一直拖延，直到2021年2月才同意将西门子冰箱拉修处理，在拉修修理时未能发现问题产生的原因，无法维修，只进行管路清堵和加注制冷液，治标不治...,处理中
12,冰箱冷冻室结霜多次换货依然未解决,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354864110/,投诉,博世家电,"退货退款,赔偿解释",购买博世冰箱一台，全新通电24h出现结霜。宣传为风冷无霜。申请换货后，再次结霜。,已完成
13,西门子洗衣机严重质量问题,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354851257/,投诉,西门子家电,退/换新机,西门子洗衣机使用几个月异响并且自动进水，申请维修师傅说是进水阀问题，换完以后还是接着响去年12月安装，新房装修完4月份才入住，才用了4个多月就出现这问题，淘宝西门子官方旗舰店买的，客服说错过了换机时间不予更换，我不想再修了要求更换新机,已回复
14,硬盘损坏，寄回厂家维修后又原路返回,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354763508/,投诉,东芝家电,维修,2020年2月在淘宝的苏宁易购上买了一个东芝硬盘，保修3年，结果在2021年8年硬盘突然读取错误，导致里边所有数据丢失，然后联系了淘宝的客服，得不到解决，让我联系东芝的厂家，联系后说是让我寄回厂家去检测，我在纸条上写上了购买日期，SN码，产品问题，并把地址联系人都标明了，结果七个工作日后厂家又原封不动将硬盘给...,已完成
15,西门子旗舰店出售翻新机给客户,2021-08-31,https://tousu.sina.com.cn/complaint/view/17354700841/,投诉,西门子家电,赔偿解释,在天猫西门子旗舰店购买的洗衣机，师傅在上门安装的时候表示机器已经被拆封，非全新机器，要求商家按照消法进行赔偿,处理中
