序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,显示的试用三天，然后就扣了，我238元钱。,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355581935/,投诉,手机清理,退款,希望能退款，真的很需要这笔钱，就不小心点了一下，说了是有3天却扣了238,待分配
2,一直每月都在扣我的钱,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354969926/,投诉,乐视手机,退款,乐视视频每月都在扣我的g费用，从不提醒一下，已经在我不知情的情况下扣了8个人月了，试问如果不一直发现不了，是不是就一直扣下去，这种行为，如同盗窃，我没有看享受乐视服务。为什么还一直扣钱，我要得到相应的赔偿。,处理中
3,下载了个文档手机版要做作业 然后发现不好用 就没用 然后过了两天他给我自动扣费了,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355293379/,投诉,文档手机版,退款,下载了手机文档版原本想做作业 结果发现不会用 就没动它了 今天发现莫名其妙扣费了,待分配
4,前置摄像头和闪光灯无法使用,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355363033/,投诉,realme手机,免费售后维修,更新完系统，前置摄像头和闪光灯无法使用，摄像头能正常升起，但显示被占用，现在手机已过了一年质保，但这个问题很可能是更新系统导致，而且在你们社区里也有很多人有相同情况，我认为不应让消费者承担这样的后果，希望你们能给个说法和有效的解决方案,已完成
5,下载使用重复扣费年费2次,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355526429/,投诉,文档手机版,退款,十月七日扣费298作为年费，十月二十一日又扣一次年费298,待分配
6,下载软件后自动选择最高价格388元扣费，不征得客户选择和同意进行恶意扣费！,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355420661/,投诉,Cleaner手机管家,退款,发现扣费后，根据设置中订阅提示，取消订阅不能解决退费问题，选择98元根据提示可以退还388元订阅未到期的费用，但点击98元订阅后迅速扣款98元，但就是未见前订阅388退款，性质太恶劣，请黑猫平台一定主持正义，谢谢,待分配
7,暴力催收,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355419058/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚",一直在骚扰家里人和爱人单位及爱人领导的电话。,处理中
8,手机安全管家恶意软件扣款,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355389099/,投诉,手机安全管家,退款,10月11号下午17点50晚上本人突然收到多条银行卡扣款信息，经查询，为手机安全管家订阅扣款，但本人不知道，此软件，是怎么订阅的，未经过本人同意，没有通知，怎么就直接扣款了，关键还关联多家银行卡扣款，没有任何通知提示，该软件怎么做到没有密码可以自动下载的？又是怎么自动订购的，还扣季度的，这是什么恶意软件...,待分配
9,realme手机前置摄像头仅升降预览可弹起，相机无法弹起，人脸识别不可用,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355360247/,投诉,realme手机,帮我修好前置摄像头,升级最新系统后，摄像头无法弹起，人脸识别提示相机被占用，客服给出方案是清除相机数据并且重启，和恢复系统设置，没有任何效果，而且官方社区有我跟我一样遇到这个问题的群体，而realme官方却没有给出任何有效解决问题，以及这个问题发生的原因，是不是你们的系统更新导致了 硬件损坏？,已回复
10,realme X前置弹出式摄像头刚过2年延保期，就出故障无法使用。,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355378868/,投诉,realme手机,免费更换摄像头,realme X前置弹出式摄像头刚过2年延保期，就出故障无法使用。 官网设置2年延保的意思是，这个弹出式结构最多用两年？超过两年一律自费维修？这和计划性报废有什么区别，我买个手机只准我用两年，然后两年以后必须换新手机，不然就无法继续使用？ 如果当时这款手机写明弹出式摄像头平均寿命两年，谁还会买？,已回复
11,Cleaner手机管家。恶意扣费388元,2021-10-29,https://tousu.sina.com.cn/complaint/view/17355636829/,投诉,Cleaner手机管家,退款,退还所扣款；退还所扣款；退还所扣款；退还所扣款,待分配
12,5g有信号没网,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355588622/,投诉,realme手机,解决信号问题,玩家版，每次更新更新一堆bug，售后不能退回出厂版本，信号满格没有网！每次更新耍猴。,已回复
13,5g网络频段,2021-10-23,https://tousu.sina.com.cn/complaint/view/17355551195/,投诉,realme手机,要求核实,realmegtneo2参数写着支持n28A的5g网络频段，当地覆盖了n28A频段的5g网络，但是我打开手机5g网络开关还是显示4g网络，要求核实当前最新软件版本是否支持n28a频段的网络，还是后续通过软件升级支持？,已回复
14,realme+gt+neo2屏幕失灵断流,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355428322/,投诉,realme手机,退款,真我+realme+gt+neo2屏幕失灵断流+买了一个月不到,已回复
15,手机定位他迹无法定位要求退款,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355664950/,投诉,手机定位他迹,退款,我花了196元充了两部手机永久会员，结果发现必须要双方都打开才可以定位不说，人都跑出去很远了，定位还在原地。后台运行也无法定位，一直显示最后位置！我要这个软件有什么用？卸了不甘心！放着又占地方！客服跟死了一样一点动静没有！谁挣分钱容易？我有这些钱不如给孩子买点好吃的！强烈要求退款！,已完成
16,侵犯个人隐私，联系单位同事,2021-10-30,https://tousu.sina.com.cn/complaint/view/17355639635/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚,销账",通过非法手段，查取个人社保单位，联系单位同事，已经造成很大的影响，还一直联系单位,处理中
17,不给退款,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355707924/,投诉,位寻手机客服,退款,因为家人反对我使用位寻手机软件，故要求我退出改系统，但是我购买了会员98元，且一次都没用过，故要求退还给我，然后我就退出该系统。,待分配
18,系统更新后前置摄像头无法使用,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355252649/,投诉,realme手机,维修赔偿,本人的realme gt neo手机于近期更新系统后，前置摄像头立刻无法使用，且一个月过去后官方仍未发表声明，也并未提供新的版本包修复此问题，论坛有许多人出现同样情况，若此现象为软件升级导致的硬件损坏，用户有权得到一个合理的解释。,已回复
19,realmeX手机升降摄像头故障,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355209887/,投诉,realme手机,解决摄像头问题,正常使用手机的情况下，人脸解锁手机手机的时候提示摄像头被占用，进入拍张应用，切换到前置，直接闪退，偶尔出现用微信扫一扫，无法进行扫码，摄像头画面是黑的。联系客服，按照提示（如果您有遇到类似情况，请您长按相机APP，点击应用信息-存储情况-清除数据；并将手机重启后再打开相机尝试。）操作，仍无法解决。在官...,已完成
20,手机定位他迹诱导付费,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355295834/,投诉,手机定位他迹,"退款,下架产品",诱导付费，付费后要定位别人需另一个人注册并开通会员，没有客服 一打开客服窗口就是几百秒等待时间 等待后进入还是不予理会，也不回复 且定位一点都不准确，我在家里待着哪里都没有去，定位上我在跑来跑去的到另一个地方 如果这样我买这个定位会员的意义是什么，本身就是非常不准的 联系不到客服,待分配
21,word文档手机版,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355351824/,投诉,word文档手机版,"退款,作出处罚,改善服务",app闪退 在打开pdf文件的时候闪退 我冲了会员 就是为了在这个app上打开pdf文件 结果冲完会员客服说不支持打开pdf文件 既然是app的错误 而且解决不了我的问题 我就打算在当天退款 结果客服一直重复一句话 也不解释为什么不能退款 一直不予退款,待分配
22,老年人在电视广告上面定了一台康佳419型号的手机 不合适退掉客服态度恶劣不处理,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355353434/,投诉,康佳手机,15天内解锁,家里老人在电视广告定了一台康佳手机，因为手机是老式的，还带电池不方便用，并且他们送了¥1000的手机充值卡，其中有七到八张都已经过期，不能用了。我查了一下送的充值卡，必须要下载一个软件必须冲到软件里面从软件里面打电话，而且需要流量才能打电话。但是对于老年人来说一点用处都没有。反而感觉被骗了。于是打电话...,处理中
23,钱付了内存没有增加,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355357608/,投诉,cleaner手机管家,退款,广告宣传的说什么加手机内存结果没用现在只要求钱退回来,待分配
24,真我手机客服拒绝三包,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355557800/,投诉,realme手机,手机质量问题,手机主板有问题一直重启，要求真我客服换新处理或者增加保修时长，真我客服以过了一个月换新时间为由。我说买回来以后一直重启一直重启，他们拒不承认，说未及时拿到售后检测，我说主板又不可能用着用着成这样，他们拒绝。,已回复
25,客服不回复,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355547030/,投诉,realme手机,"改善服务,解释,维修",系统bug成堆，整天就知道发布新机，bug不知道修复，之前的bug都忍了，昨天重启手机后，QQ飞车竟然不见了，不见了就不见了，游戏数据还占着内存，客服还不回复，都几天了，客服就是不回复， 今天清出来快5个G的内存，清楚后，剩余内存还才不到700MB，这怎么回事？,已回复
26,UI2.0申请通过不给推送升级,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355417904/,投诉,realme手机,手机系统升级,手机realmex2pro，2.0内测申请早都通过了，但是没收到升级的推送，找客服只会说等后续会推送，但一次都没收到过，要求工程师发送升级包,已回复
27,实体店不修给我新手机拆装两三次，不予修理，而且把我手机寄回来,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355580957/,投诉,realme手机,售后不予修理,我手机10月10号拼多多官方买的，正品，到手后第二天手机下雨掉地上进了点水，后镜片和摄像头直接碎了，脆弱到这种程度，而且屏幕也进水，我没办法自己跑到5公里多外的南山南新路oppe售后进行修理，后面售后开价600多将近700，我一个手机才1100，我觉得价格太高了，售后店手机修理师见我不给他转账，便把我的新手机多次拆...,已回复
28,优化大师,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355370542/,投诉,手机优化大师,"退款,赔偿,解释,道歉",为什么乱扣费，老子要投诉，我要求退款，好吧,处理中
29,真我GT大师版,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355375458/,投诉,realme手机,打开应用自动弹出插件,手机出现打开软件自动弹出快应用插件！严重影响本人在使用手机过程中体验！影响心情！一直以来找不到原因，后面打电话给客服关闭此应用插件也没有用，手机系统真辣鸡。要求给我道歉并且保证以后不会弹出此类插件！,已回复
30,希望手机贷把私人信息透漏给第三方的事情解决一下。停止对单位及家人朋友骚扰。,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355507294/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚,撤销征信问题,不要在骚扰单位及家人",恶意骚扰单位，同事及家人朋友，并电话短信骚扰。,处理中
31,通过电视广告购买康佳手机要求退货不予处理,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355437959/,投诉,康佳手机,退货,家里老人通过电视购物广告，花598元购买了一部康佳智能老年机，快递包裹上没有发货方信息，验货时不让开机，货款由顺丰快递代收。开机后发现运行很慢，手机性能与价格不成正比，且拨打电话必须开流量，关闭流量后就无法拨打电话，怀疑商家捆绑销售，且没有明确告知消费者，对于未开通流量包的老年人存在消费陷阱。拨打客...,处理中
32,开封市真我手机售后服务问题,2021-10-28,https://tousu.sina.com.cn/complaint/view/17355620426/,投诉,realme手机,"作出处罚,改善服务",别的市区的真我手机售后服务+别人进去都倒茶让坐那+服务特别热情+而开封市的这个真我售后+我去了让我站在那+我说我手机屏幕上有一个不明坏点+他们用肉眼看不出+我让他们去黑暗的地方才能看出来+他们不去我都说了晚上才能看得出你非要用灯光照着看+本来就是白色的+你怎么能看到+我一直在那等+他们也不管我去处理其他的事+...,已回复
33,realme有瑕疵，拒更换,2021-10-22,https://tousu.sina.com.cn/complaint/view/17355540516/,投诉,realme手机,需更换屏幕,购买了一个realme的手机，七月份购买，购买以后家里老人一直使用，自己没太在意，现在自己用发现屏幕和中框有很大的缝隙，和朋友的进行对比，朋友的连糖纸都塞不下，我的却可以塞进去张A4纸，寄到realme售后，他跟我说缝隙大，属于正常现象，多方进行对比，发现并非正常现象，客服说，这种如果是30天以内，可直接申请退...,已完成
34,恶意扰乱市场价格,2021-10-29,https://tousu.sina.com.cn/complaint/view/17355645759/,投诉,realme手机,要求补偿,手机出现质量问题检测不出来不给换，现在不知道怎么办真的是很甘草,已完成
35,realme手机不退差价,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355587162/,投诉,realme手机,退款,20日在官网直播间买了realme gt大师探索版。直播间客服说可以买现货，收到货之后可以直接找客服退差价（即退双十一预售差价），我就直接买了现货。收到手机后，客服说48小时会有退款。 但是现在还没有退款。 我今天又找了客服，客服以“该型号颜色的手机缺货不予退款”为理由不给我退。还说同样型号颜色不同也不能退。让我...,已完成
