序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,一直每月都在扣我的钱,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354969926/,投诉,乐视手机,退款,乐视视频每月都在扣我的g费用，从不提醒一下，已经在我不知情的情况下扣了8个人月了，试问如果不一直发现不了，是不是就一直扣下去，这种行为，如同盗窃，我没有看享受乐视服务。为什么还一直扣钱，我要得到相应的赔偿。,处理中
2,乐视手机客户端会员取消订阅服务还在继续扣费,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354903729/,投诉,乐视手机,还每月扣除,本人2020年4月份孩子玩手机点击了链接就开通了会员，在本人不知道的情况下连续扣了18个月的会员 ，（在本人不知情的情况下并未使用和观看）近期发现扣款记录，取消订阅后还继续扣费，账户没显示会员，希望可以帮我解决一下问题,处理中
3,无缘无故扣我的钱，还没有提示，因为我手机失免密支付的,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354826140/,投诉,手机定位,"退款,赔偿",2019年六月通过支付宝直接扣我298，因为我的手机是免密支付，扣的时候，我连知都不知道。后来我有去申请投诉对此订单有异议，然后没有用。,待分配
4,前摄像头被占用,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355056940/,投诉,realme手机,尽快处理,前摄像头被占用，怎么也用不了，重启手机也不管用,已回复
5,买的手机质量问题不给换货维修,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355044703/,投诉,realme手机,赔偿,明显手机是劣质品，突然自己屏幕花了，售后说是我压坏的，我除了玩游戏按屏幕就没压过。手机没有任何受压痕迹，我让售后出具受力检测报告没有，出具屏幕生产质量报告也没有。劣质屏幕容易坏，在这骗维修费。,已回复
6,恶意扣费,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355078861/,投诉,手机优化大师,"退款,赔偿",家里人自己不会玩手机 被误导下载了手机优化大师 而且恶意扣费金额共达1118元,处理中
7,手机优化大师自动扣费3个月,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355195005/,投诉,手机优化大师,退款,Apple支持，手机优化大师自动扣费3个月，我不需要，请立即停止服务并退款,处理中
8,恶意催收 已还完利息与本金,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355139528/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚,调整利率,下架产品",以前在手机贷借了5800，到账只有4900，砍了9007的服务费。分了6期还。每期还了1000多，还了5期已还完本金利息。还天天恶意骚扰，立即停止。,处理中
9,老年人在电视广告上面定了一台康佳419型号的手机 不合适退掉客服态度恶劣不处理,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355353434/,投诉,康佳手机,15天内解锁,家里老人在电视广告定了一台康佳手机，因为手机是老式的，还带电池不方便用，并且他们送了¥1000的手机充值卡，其中有七到八张都已经过期，不能用了。我查了一下送的充值卡，必须要下载一个软件必须冲到软件里面从软件里面打电话，而且需要流量才能打电话。但是对于老年人来说一点用处都没有。反而感觉被骗了。于是打电话...,处理中
10,钱付了内存没有增加,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355357608/,投诉,cleaner手机管家,退款,广告宣传的说什么加手机内存结果没用现在只要求钱退回来,待分配
