序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,商家没有品牌的授权,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354849591/,投诉,京东客服,"赔偿,道歉,退货",在京东平台购买的水晶泥，买回来发现不起胶，因为是给小朋友玩的所以就很注意，在网上查了一下品牌，发现商家并没有magicmslime 品牌的任何授权，并且商家态度非常恶劣，说我是什么职业打假人，我不明白的是，就算是我是那个什么职业打假人，她不也是假货吗，而且商家居然说什么退货要扣我80元钱是因为我是恶意购买，根...,已回复
2,58同城防水补漏骗局 58拒绝全额退款，坚决投诉到底,2021-08-28,https://tousu.sina.com.cn/complaint/view/17354661631/,投诉,58同城客服,"退款,赔偿,作出处罚,改善服务",8月27日，因厨房渗水到楼下，一直找不到原因，然后在58同城，搜索防漏不漏关键词，首页广告排名第二咨询了一家叫“雨宏”的防水补漏公司，就留了手机号码，58同城平台推荐了一位师傅过来查勘，没有对水管进行任何检查，就判定是因防水未做好而导致渗漏。推荐了一种目前最先进的“微创”方法，通过在地砖打两个孔往地下注入胶...,已完成
3,苏宁易购中后天母婴专卖店售卖三无产品,2020-08-25,https://tousu.sina.com.cn/complaint/view/17350632147/,投诉,苏宁客服中心,"退款,赔偿,道歉,作出处罚",本人在苏宁易购平台中一家名为后天母婴专卖店中购买了一个水晶泥，但是到货之后商品中什么也没有属于三无产品，联系客服和商家，但是他们并不承认，我严重怀疑苏宁包庇，我这里也有实物图和开箱视频，我要求根据消费者权益法第55条，退一赔三，不足五百为五百。并且商家需要对我做出道歉和赔偿,已完成
4,快递暴力损坏物品,2020-08-12,https://tousu.sina.com.cn/complaint/view/17350522734/,投诉,圆通速递,赔偿,一次性寄了30个快递 里面都是水晶泥玩具 就这一个快递破了 而且全漏出来了 麻烦赔偿给买家,已完成
5,未成年人快手打赏消费，提交所有材料却一直驳回,2020-07-21,https://tousu.sina.com.cn/complaint/view/17350343666/,投诉,快手小客服,"退款,改善服务",2020.7.17号发现闺女（11）岁在快手平台上给一个玩水晶泥的主播在观看其直播时打赏2500元左右。主播直播过程中让闺女给她刷礼物，她送给我闺女水晶泥（也没有给送）。多次在快手客服那里填写材料，三五分钟就给驳回，他们都没有深入了解调查就给驳回，十分不负责任，客服一直跟我打太极，让我感到跟憋屈。驳回理由竟然是...,已回复
6,买到三无产品，商家态度不好，淘宝投诉无用。,2020-05-16,https://tousu.sina.com.cn/complaint/view/17349759861/,投诉,阿里客服,"退款,赔偿,道歉,作出处罚,改善服务",我在5.3号给我的表妹买了个水晶泥，到货发现是个三无产品，而且水晶泥一股异味而且拿出来就变色了，变黑了还难看，我当时便寻找商家要个说法 但是寻得未果，商家并不给予理会，并不当回事，只是打字告诉我企业名字，我也看不到营业执照等情况，这样的三无产品要是小孩用出来情况了谁负责。我请求对商家严重批评，并且对...,处理中
7,小礼当家礼品专营店,2020-04-30,https://tousu.sina.com.cn/complaint/view/17349596955/,投诉,京东客服,"退款,赔偿",假货，材料与水晶泥材料不一样，有异味，而且玩起来手感很不好,已回复
8,快手官方给予退款。,2020-03-11,https://tousu.sina.com.cn/complaint/view/17349013322/,投诉,快手小客服,"退款,解释",因为疫情情况，10小孩拿着外婆的手机上网课同时偷偷看直播刷了5000多块钱的礼物给直播，密码是她偷偷记住的，问她为啥要刷，当时主播说刷什么礼物给他，就会送水晶泥，她以为那个刷那个礼物是不需要钱的，然后就拼命送。发现的第一时间就给快手后台客服和打赏最多的主播取得了联系，主播说退不了，立马就把我们拉黑了。...,已完成
9,三五产品,2019-09-26,https://tousu.sina.com.cn/complaint/view/17347837397/,投诉,拼多多客户服务,"赔偿,道歉,解释",我在拼多多上给孩子买的水晶泥，谁想到到货拿到的缺是个三无产品没有任何保证，去找商家也只会逃避，如果我在拼多多上也肆无忌惮的卖三无产品是不是也可以，我希望给我个合理的处理方法,已完成
10,卖家出售三无水晶泥，卖家名：小雨051***,2019-10-07,https://tousu.sina.com.cn/complaint/view/17347881698/,投诉,阿里客服,"赔偿,道歉",卖家出售三无水晶泥，他说是手工货，但手工货也得有生产日期啥的吧,处理中
