序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,立马电动车客服经销商服务态度差,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355303920/,投诉,立马电动车,"改善服务,维修",经销商服务态度差，给客服打电话也是没有礼貌，直接把电话给我挂断，不给我处理问题。,处理中
2,绿缘电动车及专卖店卖假电池不更换,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355600033/,投诉,绿缘电动车,更换原装电池,车主黄小姐，2018年买绿缘电动车，2021年8月26日被绿缘专卖店骗装绿缘牌坏电池翻新电池。才使用1个多月就坏了。2018年黄小姐在井岸镇井湾路300号左右的绿源电动车购买电动车。黄小姐在2021 年8月26号更换电池。使用1个多月就坏了。2021年10月18日，蒙生骑电动车到绿源专卖店检查电池，并让年轻师傅员工检查并骑行，他们...,待分配
3,锦州小刀电动车服务敷衍，电动车质量差,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355353000/,投诉,小刀电动车,"作出处罚,换货",刚到家，不到3天去了，售后2次，一次找店长，服务敷衍，不解决问题，骑着前轮异响，后轮特别晃，找当地修车看了后轮有毛病，不敢快骑. 新电动车质量差,已完成
4,霸王条款先收货后给发票,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355155549/,投诉,立马电动车,"赔偿解释,费用赔偿",我在9月20日购买立马电动车，我要发票时要我先收货在给发票不符合消费者协定，不止我一个,处理中
5,天之行电动车,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355025099/,投诉,天之行电动车,"退款,赔偿,道歉,作出处罚",于20219月一号在天之行租一个电瓶车 说的是一个月550租不满按天算 在9月19日联系商家不住租了 给俺一个月的租金扣 请对商家做出相应惩罚,待分配
6,价格太高,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354974430/,投诉,泉意电动车,"赔偿,有4个月没用电瓶退钱",价格不一样，本来是3980.上面是49999。,已完成
7,绿源电动车质量问题,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355500851/,投诉,绿源电动车,"召回,退货退款",我是2021.6.18在京东绿源旗舰店下单买的绿源向往的生活同款inno7智能款，单价4199。 2021.9.26早上上班还剩百分之三十七的电毫无预兆半路黑屏关了！！启动是百分之四十多电量，有提示，重启又好了。第一次我在想可能是意外 充满电后来正常骑了几次，10.19还剩百分之五十以上电量出门的，上班五公里最多了，晚上下班回家...,已回复
8,商家违规操作，爱玛官方客服不作为,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355593407/,投诉,爱玛电动车,"赔偿解释,维修",商家违规操作，不给与维修更换，客服投诉无人回应，17号打电话过去，客服承诺48小时，今天26号至今无人回复，爱玛客服也向我说明该电商小店多次违规却不作为，没有处理结果，电商工作人员无回复,处理中
9,售后不积极解决问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355433792/,投诉,台铃电动车,维修,3599买的电动车，在买之前口口声声什么都说好，号称售后多么多么好，但是买完车之后，态度冷淡，实际上一些小配件都“没有”。 图1零件不知道什么时候掉了，去到售后处答复说一车只有一块，没有配，也没有卖。 希望商家补发零件。,已回复
10,爱玛电动车刹车系统故障,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355290131/,投诉,爱玛电动车,"赔偿解释,改善服务,维修",2020年9月16号到爱玛门店买的电动三轮车，然后半年时间不到，2020年12月20号，电动车出现质量问题，刹车异响故障，到2021年9月16号之前，维修过三次，每次维修后好不到一星期，又开始异响，然后门店人说他们也没办法，打爱玛客服电话，不承认质量问题，态度强硬，售后不明确！,已完成
11,爱玛电动车经营店虚假销售！欺瞒消费者！属于欺诈行为！,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355558880/,投诉,爱玛电动车,"费用赔偿,召回,退款",本人于2021年6月16日在河北省邯郸市永年区临洺关镇107国道路西爱玛电动车销售处购买一辆爱玛电动车，该门店销售时承诺可跑大约60公里，后期因没有进行过测试所以无法确定其公里数，直到2021年10月份左右作为上下班（固定路程）的交通工具，经过测算一次路程为2.6公里，共来回骑行四趟就需要充电，折合公里数20.8公里，与...,处理中
12,淘宝爱玛电动车自营店虚假活动并且售后极差,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355671378/,投诉,爱玛电动车,"赔偿解释,道歉,改善服务",淘宝爱玛电动车自营店售后服务非常差，咨询问题半天无人回复，并且该店铺虚假活动，宣传前30名付款有奖励，结果问他们要名单的时候，第一次发给我其他店铺的名单，第二次发给我自己制作的名单，我质疑名单的真实性，要求他们发给我当天订单截图，可以打码消费者信息，但是他们拒绝发送，我说要投诉他们，打电话来给我说...,处理中
13,京东平台上的台铃官方旗舰店购买了一辆电动自行车,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355704541/,投诉,台铃电动车,"赔偿解释,道歉",台铃是深圳的公司，详情页面也有写深圳有仓库，发货后发现是东莞仓库发货，就去咨询客服，咨询没两句，客服就让去退款。现在申请退款了又说已经发货产生运费了，需要我承担来回运费。而发货时间是8点20分，我是8点58分去咨询的，客服主动要求我退款也并未告知需要承担运费，现在又说退款可以，要我出来回运费。投诉他们...,处理中
14,爱玛电瓶车售后更换新的48v24a星恒锂电池或者全款退车退钱,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355704522/,投诉,爱玛电动车,"召回,维修,退款",本人于2021年9月24日在江苏省南京市秦淮区银龙路银龙花园一期爱玛电动车销售处购买一辆爱玛小乔q160电动车，该门店销售时承诺可跑大约100公里，后期因没有进行过测试所以无法确定其公里数，直到2021年10月份左右作为上下班（固定路程）的交通工具，经过连续骑行测算，实际里程只有45公里与销售人员承诺的100公里相差甚远...,已回复
15,因电池禁运不履行质保服务,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355707585/,投诉,新日电动车,维修,京东购买电动自行车，该电动自行车主打汽车级锂电池，质保5年。但我买了4个月电池续航由号称的60公里降到约34公里。联系商家后同意寄回检测，最初售后联系物流上门取件，但因锂电池为违禁品，物流不收；而后我自己联系多家物流也不收。对方售后称不寄回就不负责售后。+投诉一下几点：1）宣称5年质保，而且售后方式为返厂...,处理中
16,绿源电动车质量问题,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355500851/,投诉,绿源电动车,"召回,退货退款",我是2021.6.18在京东绿源旗舰店下单买的绿源向往的生活同款inno7智能款，单价4199。 2021.9.26早上上班还剩百分之三十七的电毫无预兆半路黑屏关了！！启动是百分之四十多电量，有提示，重启又好了。第一次我在想可能是意外 充满电后来正常骑了几次，10.19还剩百分之五十以上电量出门的，上班五公里最多了，晚上下班回家...,已回复
17,商家违规操作，爱玛官方客服不作为,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355593407/,投诉,爱玛电动车,"赔偿解释,维修",商家违规操作，不给与维修更换，客服投诉无人回应，17号打电话过去，客服承诺48小时，今天26号至今无人回复，爱玛客服也向我说明该电商小店多次违规却不作为，没有处理结果，电商工作人员无回复,处理中
18,售后不积极解决问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355433792/,投诉,台铃电动车,维修,3599买的电动车，在买之前口口声声什么都说好，号称售后多么多么好，但是买完车之后，态度冷淡，实际上一些小配件都“没有”。 图1零件不知道什么时候掉了，去到售后处答复说一车只有一块，没有配，也没有卖。 希望商家补发零件。,已回复
19,爱玛京东自营旗舰店不退款,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355238918/,投诉,爱玛电动车,退款,因为收到的电动车前车轮歪，前叉一高一低，车把下方螺母损坏，申请退款，开始是拒绝退换货，只给补发配件，找了京东客服才同意退货，9月30晚上爱玛客服找的物流公司前来将电动车取走，10月1日询问能否退款，客服说需要物流将物流信息上传才能退款，10月2日上午询问能否退款，上午11点26分回复可以退款已收到物流信息，下...,处理中
20,购买未满一年的爱玛电动车正常使用情况下电池鼓包，商家给换了一个二手电池。要求更换,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355456251/,投诉,爱玛电动车,"维修,延保",购买未满一年的爱玛电动车正常使用情况下锂电池鼓包，商家以不在三包范围内给换了一个二手电池，想问怎么才算三包内的,已回复
21,京东的爱玛电动车官方旗舰店存在虚假宣传，高价低配的情况,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355437988/,投诉,爱玛电动车,"赔偿,作出处罚,修改宣传内容",我在2021年8月15号在京东上爱玛官方旗舰店购买了一款爱玛（AIMA）壹号A500石墨烯电池时尚长续航电动车摩托车电瓶车，介绍里面说的是百公里，实际续航只能存在40-55公里左右，我试驾了两个多月发现这辆电动车远远不值这个价格，不仅售后问题比较严重，而且我过去指定运维点让保养的时候他们说这辆车都没有进行官方app绑定...,处理中
22,新郑市华南城小刀，服务问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355452233/,投诉,小刀电动车官方,"改善服务,维修",刚买，没三个月就，好像是哪里烧掉了，车也没法骑 让他来修，他说远，让自己去，现在刚开学，车子买了七个月不到，还在保修期，电池有问题，也不看，一口认定是个人问题，现在让来换电池，三番四次不接电话，定好几回时间等人来，又往后推。,处理中
23,爱玛质量问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355449706/,投诉,爱玛电动车,"赔偿,解释,维修",9月份购买电动车 之前完全没有症状 刚超出一年就没有办法行驶了 说电瓶坏了 爱玛电动车不止我一个这样情况,处理中
24,台铃电动车服务态度差骗消费者买车后不顾消费者权益,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355488970/,投诉,台铃电动车,"赔偿解释,道歉,改善服务,费用赔偿,维修,延保",在台铃买到一台国标新款电动车，一个月修车修了三次 救援6次 台铃师傅打电话给我说叫我去拿车，拿车的时候客服什么都不会，车找不见 一问三不知 还要我打电话给师傅问我的车在哪里，我不懂客服的作用是什么？拿车之后开到售后旁边就开始出问题了，师傅叫我自己推上去 第一我是女生 第二我不懂什么叫道路救援了，师傅叫我...,处理中
