序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,立马电动车客服经销商服务态度差,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355303920/,投诉,立马电动车,"改善服务,维修",经销商服务态度差，给客服打电话也是没有礼貌，直接把电话给我挂断，不给我处理问题。,处理中
2,天之行电动车,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355025099/,投诉,天之行电动车,"退款,赔偿,道歉,作出处罚",于20219月一号在天之行租一个电瓶车 说的是一个月550租不满按天算 在9月19日联系商家不住租了 给俺一个月的租金扣 请对商家做出相应惩罚,待分配
3,价格太高,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354974430/,投诉,泉意电动车,"赔偿,有4个月没用电瓶退钱",价格不一样，本来是3980.上面是49999。,已完成
4,锦州小刀电动车服务敷衍，电动车质量差,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355353000/,投诉,小刀电动车,"作出处罚,换货",刚到家，不到3天去了，售后2次，一次找店长，服务敷衍，不解决问题，骑着前轮异响，后轮特别晃，找当地修车看了后轮有毛病，不敢快骑. 新电动车质量差,已完成
5,霸王条款先收货后给发票,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355155549/,投诉,立马电动车,"赔偿解释,费用赔偿",我在9月20日购买立马电动车，我要发票时要我先收货在给发票不符合消费者协定，不止我一个,处理中
6,补电动车轮胎被敲诈58元修补费,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354715290/,投诉,小鸟电动车,赔偿,去年在小鸟电动车店铺购买的电动车，当时说的挺好，终身免费保修，今天下雨天后轮胎被扎去补胎收我58，典型的敲诈,待分配
7,理赔，不售后,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354848459/,投诉,立马电动车,"赔偿解释,维修",前一个月买的电动车，买的第一天电动车刹车就装坏了，我就联系了他，他说等上牌照的时候给你修下，隔一个礼拜牌照到了但他代理上牌，她就说修不好，要直接换到，要格外收费，我说不是买了保险，我付了钱他跟我说我没买保险的，现在一个月零05天电动车被偷了，报案了说我没买保险不理赔,处理中
8,绿源电动车上路三天出现问题,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355080610/,投诉,绿源电动车,换新,京东旗舰店买的车子，车座是破损的，我没说什么，同意换零件，喇叭只使用过一次，今天第三天就不响了，后车骑行时会有异响，去了两个修车铺都维修成功，要求京东旗舰店换新，不给换，让我去检测，有重大质量问题才给换，才三天车子就有问题，严重怀疑车子质量，怕自己我行时出现事故,已回复
9,电动车连锁商家只骗顾客购买，其他问题都不关他们的事,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124279/,投诉,小刀电动车官方,"赔偿解释,开票",我在2020年12月陪残疾的爸爸去买电动三轮车，当时前往的成都市锦江区经华南路小刀电动车店看车，第一次购车3800元购买了一辆无电池的三轮车，之后由于车辆问题，于2021年7月加价1000元更换了另一辆车。2次购买都没有一个正规发票，并且车辆多次出现问题。现在9月份，因为新下达的新国标电动车的法规，我们前往店里更换发...,处理中
10,新郑市华南城小刀，服务问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355452233/,投诉,小刀电动车官方,"改善服务,维修",刚买，没三个月就，好像是哪里烧掉了，车也没法骑 让他来修，他说远，让自己去，现在刚开学，车子买了七个月不到，还在保修期，电池有问题，也不看，一口认定是个人问题，现在让来换电池，三番四次不接电话，定好几回时间等人来，又往后推。,处理中
11,虚假宣传，偷梁换柱，问题车,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355290116/,投诉,绿源电动车,"赔偿解释,改善服务,维修",2021年5月11日晚购买，看的是小龟王那款，店主推荐的是48v 24a 400瓦电机这款，骑了3天，跟老板反馈动力太小，老板答复国标车就是这样。还有就是这个零时支架松动，造成翻车。左边车把中控喇叭接触不良，维修要收80，昨天400客服说可以免费修，今天的400客服跟店主一样，以各种理由拒绝维修。我们现在跟爱玛合作的同款电...,已回复
12,购买未满一年的爱玛电动车正常使用情况下电池鼓包，商家给换了一个二手电池。要求更换,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355456251/,投诉,爱玛电动车,"维修,延保",购买未满一年的爱玛电动车正常使用情况下锂电池鼓包，商家以不在三包范围内给换了一个二手电池，想问怎么才算三包内的,已回复
13,爱玛质量问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355449706/,投诉,爱玛电动车,"赔偿,解释,维修",9月份购买电动车 之前完全没有症状 刚超出一年就没有办法行驶了 说电瓶坏了 爱玛电动车不止我一个这样情况,处理中
