序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,大羚子严选童装,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355225318/,投诉,大羚子严选童装,"退款,赔偿,道歉,作出处罚,改善服务,下架产品",商家不给退货，强行要求选择七天无理由退货，顾客没有选择余地,已完成
2,嘻哈xiao子哈哈童装 嘻哈xiao子嘻嘻童装,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355196109/,投诉,拼多多客户服务,"退款,赔偿,道歉,退货,修改宣传内容",1.从商家购买的四件件套有污渍，运费要我自理，还得负担他们发货的运费5元，商家商品描述是长绒棉的，收到商品根本就不是面与商家描述严重不符。 2.收到的打底裤，拆开包装里边的打底裤包装是已经拆封的，皱巴巴的明显是别人试穿过退回去的，又发给我的。 3.从商家购买的其他商品没有物流信息的拒绝退款。 4.处理售后客...,处理中
3,拼多多虚假发货,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355077155/,投诉,拼多多客户服务,"退款,赔偿,道歉,作出处罚",9月10日，在拼多多商铺名称安若贝贝童装店买了一件女童装，9月18日显示快递已签收，本人未收到包裹，韵达快递提供证明，商铺虚假发货，发空包裹,处理中
4,优派童装源头工厂,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355458296/,投诉,快手小客服,"赔偿,作出处罚",买的保暖衣套装 尺码是120邮回来以后上衣比正常120尺码大一码 裤子比正常120小一码 孩子穿上上衣大的不能穿 裤子短的不能穿 但商家以厂家不同为由拒绝承担退货运费 但我把所有120尺码的衣服裤子都拿出来对比了 他这套就完全不符合规格,已回复
5,在淘宝买的商品从拼多多发货,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354900662/,投诉,阿里客服,"赔偿,道歉,作出处罚",我在淘宝买的童装，结果手机短信发来拼多多的商品已发出，我经查询，我买的童装运单号和拼多多一模一样，淘宝卖家欺诈消费者,处理中
6,吉祥童装，不退运费,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355307503/,投诉,抖音短视频,退款,吉祥童装说的退换货包运费，店家收到货了不退运费,已完成
7,商品页面未标注童装，客服也不清楚导致我买错物品,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354956133/,投诉,别样折扣小打手,退款,购买时商品页面只有图一一张商品图，没有上身图也没有标注童装。购买后商品已经售罄，页面出现了才出现一张儿童上身图。 客服说商品已经发出不能退换，却在我已经收到物品之后质疑“怎么确定是童装”，并表示退款后的手续费等需要我个人承担。 由于是没有标注是童装以及服装尺寸导致我实际付款6200元退款5800元是不合理的...,已回复
8,退货价格不一,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354883556/,投诉,拼多多客户服务,"退款,赔偿,道歉",我买了一个童装没货了我想退结果49块钱变成46块钱了,处理中
9,19年看到元典科技，想开个淘宝店铺，挣点钱，交完钱只装扮了个店铺，,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355046729/,投诉,元典科技,退款,上架了些童装，说童装好卖。然后就是让学习，之后就不了了之了。现在只有个售后qq联系方式3007296***，之前服务的人都没了，搜了下百度，感觉被骗了，跟很多其他人说的都一样，没旅行到合同上说的那些，要求退钱,处理中
10,江南布衣童装拒不退款退货,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355161465/,投诉,江南布衣,退货退款,众所周知的江南布衣童装事件，我从代购处购买了一件江南布衣童装，但代购拒绝给我退款，理由是公司不给退。我要投诉江南布衣公司，为什么不给退款，明明是她家衣服有问题，损失却要消费者承担,处理中
11,史蒂珀童装旗舰店,2021-09-17,https://tousu.sina.com.cn/complaint/view/17355002736/,投诉,京东客服,"退款,赔偿,道歉,作出处罚",虚假宣传 宣传称京东配送 购买小孩衣服 京东配送两包纸巾 商家自行顺风发货衣服 与京东显示配送时间严重不符（购买衣服是用来小孩2021年10月18日学校中秋活动结 结果至今未到 ）,已完成
12,优衣库童装裤质量问题,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355145514/,投诉,优衣库_UNIQLO,"退货退款,退款",昨天买的裤子，晚上洗了，今天第二天穿了一天，今天下雨，孩子没户外，结果丝全起来了，根本没法穿了，二十元的裤子也不至于这样要求退款,处理中
13,米多多软件嫁接在别的品牌之上在不知情的情况下诱导输入银行卡和实名强制放款,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354892353/,投诉,米多多,"道歉赔偿/解释,下架产品,提供结清证明",2021年9月10日上午九点多在抖音平台看到个批发童装的叫多多童装扫码下载可进货，扫码下载的时候名字叫多多童装 需要实名认证 银行卡认证 说用于后期进货用，下午两点三十一分的时候我的银行卡突然有个名为王欢的人给我转账1058.50元，再看那个多多童装app已经成为了米多多借钱app，打开里面有个订单显示我九月十号上午借...,处理中
14,puma童装旗舰店,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355388939/,投诉,阿里客服,"退款,赔偿,道歉,作出处罚,改善服务",退货拒收，诬陷破损，鞋子完好，9号收到12号拒收。买家态度反差大，买鞋子的时候态度很好，退货态度极差，我寄出去的鞋子鞋盒完好无损，只是忘了拍照片，让他们钻了空子，找了淘宝的淘小蜜他们和商家就是一伙的，根本不给你解决问题。店铺收到就说内鞋盒损坏，鞋子完好。不难看出来店铺评价也是很差劲出现问题也不处理。...,处理中
15,依平方童装专卖店,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355019422/,投诉,拼多多客户服务,恢复退货退运费权益，,购买的商品当时说了有运费险，结果产生退货却拒绝理赔，欺骗消费者,处理中
16,实体店买的童装,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354919128/,投诉,申通快递官微,"赔偿解释,改善服务,退费",三岁跟五岁孩子穿的 一共六件衣服 两条灰色牛仔裤 两件白色上衣 一件灰色上衣 一件天蓝色上衣 丢件 找客服处理 每天都说等消息,已完成
17,客服态度差，发错货,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354713203/,投诉,阿里客服,"退款,赔偿",在他们家买了童装，发错货了，要我们自行处理，客服态度非常差，真的忍无可忍了,处理中
18,Tz好依家童装,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354897918/,投诉,拼多多客户服务,"道歉,作出处罚",最先给我保证预计时间可以到，然后不能到，后面我说星期五不能到我就申请拒收，结果客服私自代替客户拒收了，并且语气强硬，态度极端不好，如果稍微态度能好一点都能接受。,处理中
19,宝比龙母婴童装,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354907945/,投诉,抖音短视频,"赔偿,发货",9月2号在抖音该店铺购买一件衣服，一直不发货，联系商家不回复。后来9号联系抖音平台客服说48小时处理，11号回我一个短信，说是商家没回复，就没有下文，12号再次咨询平台客服要求我退款，我不同意，就又让我继续等待，且不给准备的解决办法，意思就是让我等但不一定能处理好。我正常下单，商家不发货，违约在先，但是抖...,已完成
20,通过拼多多平台买的有运费险的毛衣，收到有破洞申请退货退款后，拼多多取消运费险赔付,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781113/,投诉,拼多多客户服务,赔偿,通过拼多多平台，在千衣阁童装买的有运费险的毛衣，收到货后发现有破洞申请退货退款后，然后到快递公司寄件把单号也传上平台运费补贴上了，在千衣阁童装收到货退款后，拼多多平台取消运费险赔付，拼多多平台写着9元钱的运费补贴没有收到,处理中
21,淘宝卖家（心宝童话镇）拒绝提供退货地址,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355215765/,投诉,阿里客服,退款退货,该卖家商品均为代买形式，我购买了8件童装，都是卖家去给我从别的店铺下单发货到我这，8件童装发了8个快递，然后退货也要我分别退到不同的地址。我是找（心宝童话镇）买东西，不是另外8家店铺，为什么要我分别退货，这明显不是我的问题，要我来给你擦屁股，你卖家想这种模式经营店铺赚钱，那你就自己承担这个责任，客户...,处理中
22,松松童装小店货不对版,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354819005/,投诉,抖音短视频,"解释,退换货拍什么发什么",在直播间拍的19.9宝宝衣服，发来和拍的不一样，和商家联系，商家意思返五块钱让我留下，是给发错了，我不同意，要求退换货，商家就说我拍的没有货，让我退货退款，这不是欺骗消费者吗而且我消费者没事儿在这儿退货玩呢吗，我没那个时间，没有货发货的时候不应该联系我买家吗，欺骗，联系抖音客服两次，给我打过电话说...,已完成
23,山东国元童装专营店虚假发货,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354632214/,投诉,拼多多客户服务,作出处罚,2021年8月17日，在拼多多平台上一家名为“山东国元童装专营店”下单了两款童装，我留的地址和他们的发货然后不是要收货吗地址不一致，我打快递派送员电话说这个快递是一个快递单号两个地址,处理中
24,店宝宝客服打电话欺骗消费者,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354728553/,投诉,店宝宝,"退款,赔偿,解释,作出处罚,道歉",7月底在店宝宝咨询，8月四号买的尊享套餐，在这段时间里店宝宝客服打多个电话吹嘘他们公司又承诺给我一堆福利结果付款后什么也没有办到，我付款前明确告知他们我要卖童装，他的承诺是童装怎么怎么好，结果他们手机版没有童装，必须要用电脑版的，而且电脑版的童装没有更新也不对季节，后来没有办法只能在他们建议下卖母...,已回复
25,在快手小美人童装自产的店下单,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354751110/,投诉,韵达速递官微,"退款,赔偿",快递从8月29号迟迟不动 客服不解决 商家催促没有解决,已完成
26,拼多多童装掉色非常严重,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355246127/,投诉,拼多多客户服务,"退款,赔偿,作出处罚",国庆节前买的印有中国两字的童装，收到商品后按照标准手洗的衣物，发现衣物掉色非常严重，显然已经超过了婴幼儿褪色标准，卖家拒绝退款，也拿不出质检报告,处理中
27,圆通快递不赔偿丢失件,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355125464/,投诉,圆通速递,赔偿,2021.09.14我在圆通快递下单，寄了一件价值58元的童装。9月20日取件员微信联系我，告知快递丢失，承诺赔偿58元。我已投诉给圆通快递公司，但至今未收到赔偿款。,已完成
28,淘宝店铺（胖爸爸家童装）实际发货物品与描述物品严重不符,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354880297/,投诉,阿里客服,"退款,赔偿,作出处罚,退货",店铺（胖爸爸家童装）实际发货物品与描述物品严重不符，店家只催促退货，店家态度乖张，不以所然。,处理中
29,卖童装的小男孩818,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354693650/,投诉,快手小客服,"退款,赔偿,解释,作出处罚,道歉,改善服务,恢复账号,撤销处罚,下架产品,修改宣传内容,开发票",实物与描述的不一致，号码还不对，不给退。,已完成
30,拼多多酷奇童装,2021-08-28,https://tousu.sina.com.cn/complaint/view/17354672111/,投诉,拼多多客户服务,"退款,道歉",地址错了 不给改地址 也不做拦截 这是卖家该做的 非要顾客拒收 根本拒收不了,处理中
31,江南布衣童装血腥暴力文字,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355393140/,投诉,江南布衣,"退款,赔偿,道歉,作出处罚",大概在2018或者2019年在万象城江南布衣童装店购买一件上衣，直到昨天老师说衣服上有暴力血腥的语言，喊我们不要穿了，我们很气愤就和万象城工作人员联系，他们也查到说这是召回款。我就去万象城专柜退货，但工作人员说没有购买凭证就5折退。我不接受5折，我要求全额退款，并道歉赔偿。,处理中
32,快手主播大羚子严选童装,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355225451/,投诉,快手小客服,"退款,赔偿,解释,作出处罚,道歉,改善服务,下架产品,修改宣传内容",商家强迫我选择七天无理由退货，不能根据实际情况填写，顾客没有选择权否则不给退款侵犯顾客合法权益,已完成
33,快团团客服，微信加宝韩衣童装店,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355193663/,投诉,拼多多客户服务,退款,退货多次沟通不理人，退货寄回签收后5天沟通多次不理人不退款。,处理中
34,京东的Boy london童装旗舰店购买到了劣质衣服,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354768369/,投诉,上海会港服饰有限公司,"退款,赔偿",本人在京东的Boy London童装旗舰店购买的黑色短袖，穿了之后衣服褪色，掉黑色短棉条，导致孩子上身皮肤染到黑色，联系客服不予处理要求退款赔偿3倍,待分配
35,退货运费问题（灰太狼童装优品店）,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354988045/,投诉,快手小客服,"赔偿,道歉",裤子有质量问题，有瑕疵，客服说让我先垫付运费，现在裤子已经退回，商家拒绝赔付退回的运费，衣服退回客服说不属于质量问题，一开始图片视频都拍给客服了，客服说补偿我3元，没有质量问题你补偿我钱干嘛补钱我没有同意，我要求商家出运费我退货，商家也同意了，现在裤子寄回去了，不承认了，还说不是一个客服处理的问...,已完成
36,在小沐童精品童装店给家里买了6套童装，收到货是塑料梳子，商家拒绝退款并且将我拉黑,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354906808/,投诉,阿里客服,"退款,赔偿,道歉,作出处罚,改善服务,解释",8月31日在淘宝上购买小沐童精品童装6套，花费422元，9.6号家里人签收后发现是小梳子，而后接到商家电话，说是很抱歉发错货了，需要我签收好评才能补发或者退款，第一次出现这个问题，我看商家销量挺高就没有在意，好评后商家就不回复了，不补发也不退款，甚至把我拉黑，投诉无门，失望至极，我查了物流商品重量只有仅仅0...,处理中
37,拼多多运费险无故取消，退我运费,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349312/,投诉,拼多多客户服务,"道歉,退款退货运费",在拼多多购买童装，退货回去后运费险被取消，就怕买的不合适才挑有运费险的，取消是凭什么，找客服只有机器人，要求退还运费，运费险是虚设的吗联系商家，商家让我找拼多多客服，联系客服只有机器人,处理中
38,拼多多商家，纹迪美童装店,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354831175/,投诉,拼多多客户服务,赔偿,购买的商品给我发来空包裹，属于zha。pian行为，现在要求赔偿,处理中
39,抖音平台小猪班纳PEPCO童装官方旗舰店虚假宣传产品A类安全标准，实际是B类,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354920191/,投诉,抖音短视频,"赔偿,假一赔三，保底500",2021年8月13日，在抖音平台小猪班纳童装官方旗舰店买了儿童贴身内衣，买前询问客服安全级别，客服回复A类，但是收到货实际是B类，与之前说的不符，因为用红包购买，红包有时效要求，所以无法给我退款，商家当时也没有承诺给我补偿，所以投诉，涉及虚假宣传，假一赔三，不足500补偿500,已完成
40,在快手小店名为 童诗芸童装店 的店铺购买的衣服,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354839459/,投诉,快手小客服,退款,8月27日下单至今未收到商品，店铺客服一直是机器人，电话也打不通，给快手客服打电话也一直是打不通，商品已经自动确认收货，现阶段退款需要填写退货物流信息，但我并没有收到任何商品，通过之前的订单物流单号091290637***，在浏览器查看发现快递自始至终没有出揭阳市，与我的收货地址严重不符,已完成
41,拼多多商家，纹迪美童装店,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354831175/,投诉,拼多多客户服务,赔偿,购买的商品给我发来空包裹，属于zha。pian行为，现在要求赔偿,处理中
42,在快手小店名为“童诗芸童装店”的店铺购买衣服,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354816981/,投诉,快手小客服,退款,在该店购买一件卫衣，显示8月27日已发货，然而到今天9月6日在快手小店看不到物流信息，客服电话无人接听，和客服聊天也一直是机器人，目前商品已经自动确认收货，在浏览器查询物流发现9月1日快递在揭阳市签收，且并不是我的收货地址,已完成
43,品诚唯创旗舰店，虚假宣传，错发漏发，不予退款,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354792941/,投诉,阿里客服,"退款,道歉,作出处罚,修改宣传内容",买了一件童装，销售页面上宣传的俩件装，结果买来就一件颜色图案都不对，还发了一个110码的不能穿的劣质产品，虚假宣传，我退货，本来就是发错了，非让我选七天无理由，我选了错发的退货选项，就给我拒绝退款。,处理中
44,买家收到了我邮寄的三件成人女装，诬陷说收到的是一件童装,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354635447/,投诉,闲鱼官方客服,退款,柯女士在闲鱼网买了我三件成人女装(一件白色外套，一件黑色半裙，一件小香风半裙)8月19日我用一个大塑料袋装了6件衣服，其中三件是给我妈妈和妹妹邮寄的，柯女士的三件女装我用白色超市袋子装的，有快递公司出示的打包发货的监控录像为证。快递员已经将这三件衣服打包完毕。重量1.2公斤。8月24日，柯女士在闲鱼上联系我...,处理中
45,木窗流萤童装淘特店铺被罚没保证金,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355405725/,投诉,阿里客服,"赔偿,道歉,撤销处罚",2021年8月10日注册了淘宝特价版店铺，注册过程非常简单，并在没看到任何规则的情况下，就注册完成。 2021年8月13日，在淘宝特价版的诱导下，为了不冻结货款，缴纳了1000元保证金。 2021年9月6日，在没有得到任何通知的情况下，店铺商品全部被下架，一直以来正常交易，没有接到任何消费者的投诉，却被下架商品，这也没什...,处理中
46,快手主播超级丹和主播带货品牌方大M童装,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355096404/,投诉,快手小客服,退款,以前一直在她家买东西 感觉质量都还可以 人气也挺高 所以挺信任她家 上个月买的童装裤子 8月22号签收 看了一下裤子表面没有残觉得可能还行 因为天气热的原因孩子也一直没穿开学了一直穿校服 直到中秋节放假 孩子把裤子穿了一天裤裆都扒开了 是一条卫裤 裤型也挺肥 我家孩子也瘦 要是孩子胖可能会把裤子撑开 就是裤子质量...,已回复
47,聚浩远童装专营店,2021-08-18,https://tousu.sina.com.cn/complaint/view/17354500992/,投诉,京东客服,"退款,赔偿,道歉,作出处罚",因本人今天发现购买的女童汉服有没收过，也没退款，问商家货返回为什么不退款，居然拒绝了人家的退货退款你就要给人家货，我货没收到返回了你就要退款，商家不给于处理，态度极其恶劣，虽然时间已过，但作为消费者的我很无语，货没收返回了你商家应第一时间退款，这至少是你们商家最起码的责任，是我们消费者的信任,已完成
48,申请退款退货,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354752090/,投诉,快手小客服,"退款,退货",金牛电商，在这童诗芸童装店商家买的东西一直没有收到货，等了将近5天的时间了，现在我想要要想申请退款，就必须确认收货，确认收货就必须默认是收到货，但实际上快递一直没有把货送到，联系客服，没有人回答，想得到的解决方案就是直接申请退款。,已回复
49,赫卡恩童装旗舰店，商家虚假发货,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355486427/,投诉,拼多多客户服务,退款,商家虚假发货，发空包，快递重量0.01千克，自动签收，我申通退款被拒绝，官方介入关闭我的退款通道，我上传了快递公司给我提供的凭证，还是拒绝给我退款（图二是快递公司提供的证明）客服可以去核实单号是否是空包，请核实完给我退还货款,处理中
50,酷酷树童装旗舰店漏发换货商品,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354702507/,投诉,拼多多客户服务,"退款,赔偿,道歉,作出处罚,退货",买了两件童装，买大了，收到货后申请换货，两件都换，商家只补发一件，质量还有问题，第一张图是订单信息，第二张图是申请换货的截图，第三第四两张图是卖家补发的货，最后一张图是退回去的包裹物流信息，视频是补发到货拆包视频,处理中
51,投诉商家:黑蛋童装的小店 我要求改地址重新发，商家擅自退回包裹，并让我申请退款,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355288791/,投诉,快手小客服,"道歉,作出处罚,改善服务,发货",我在黑蛋童装的小店买了一套童装，9月25日晚上8点59下单，直到9月28日12点，商家给我发货，由于商家发货比我预期慢，在发货之前我向客服申请修改新地址，并与客服核对完信息。然后商家给我的包裹送错了，找商家客服处理，迟迟不予处理，找借口说停电了，态度敷衍了事，最后我让客服给我改地址，包裹就退回去了，我让客服...,已回复
52,嘟嘟童装优选卖假货，存在严重质量问题，售后问题，骗人钱财,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355461916/,投诉,杭州芭蔻服饰有限公司,"退款,赔偿,作出处罚,退货",嘟嘟童装优选，发假货，发货前说是品牌撕标产品，支持移动联通，收到货只支持移动，而且功能差很多，当时就申请退货，商家以外包装受损为由，不给退货，好不容易办个移动卡，用了两天开不开机，彻底坏了，联系售后，不理会，要求严惩这种无良商家，骗人钱财,待分配
53,商品支持七天无理由换货，结果却迟迟不发货,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355451546/,投诉,拼多多客户服务,发货,2021年10月3号，在拼多多 巴拉巴拉童装旗舰店购买了一套衣服，到货之后发现太小了，故此申请了换货服务，商品于10月7号发回（单号EMS 9866400140***），8号商家收到，收到货之后至今也没给我发出，期间多次联系客服催促无果,处理中
54,需要协调退款,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355401654/,投诉,阿里客服,退款,购买了一个童装裙子，孩子试穿的时候里衬不小心碰到了一点口红，现在因为裙子不合适申请了七天无理由退货，已和商家说明了，但是商家却以碰到口红不予退货拒收，既然是七天无理由，并且是孩子试穿的，难免碰到。如果衣服合适，我就要了，确实是不合适啊账号xi_lin_cool,处理中
55,拼多多梦菲儿童装服饰店造谣传播山东有疫情,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355074722/,投诉,拼多多客户服务,"道歉,作出处罚,封店",19日在梦菲儿童装服饰店下单两件衣服，承诺48小时内发货，聊天记录只说新疆地区停发，由于服务态度非常差，22号还没有给发货，未经本人允许直接代我填写售后单，平台客服仅是给无门槛优惠券，并未让商家对消费者道歉更没有对商家作出任何处罚,处理中
56,快手商家恶意在直播间曝光地址,2021-08-28,https://tousu.sina.com.cn/complaint/view/17354673177/,投诉,快手小客服,"赔偿,道歉,作出处罚,解释",快手商家（苗苗童装教搭配）电商在直播间恶意曝光我的电话地址姓名拉黑我踢我出直播间，导致直播间有人截图通过手机号加上我的微信骚扰我我要求赔偿道歉处罚,已回复
57,天使Baby童装童鞋店欺诈消费者，阿里客服拒不处理,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354943378/,投诉,阿里客服,"退款,赔偿,道歉",[cp]在淘宝买的34码鞋子，商家欺诈消费者，平台拒绝处理单号2082272079200510***，商家用笔把35码手动改成34码，鞋盒更是改了两次(39改35，35又改成34)。①联系商家拒不处理(不回复信息)，②在平台投诉商家无人核实直接驳回，③电话联系淘宝小二半个多小时，客服表示小二处理不了这个事情且自己没有领导，④要求投诉升级...,处理中
58,快手店【童诗芸童装店】虚假发货！欺骗消费者，联系不上客服！,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354886052/,投诉,快手小客服,"退款,赔偿",本人于8月购买童诗芸童装店衣物，9月2日物流显示于揭阳中心发出，而至今八天物流仍未更新已经涉及虚假发货且期间完全联系不上卖家，电话不接，线上联系消息未读。卖家利用平台规则自动确认收货。 第一，卖家违反诚实信用原则欺骗消费者，违反民法典消费者权益保护法 第二，卖家不履行合同，我方有权要求退款 所...,已完成
59,快手金牛电商，童诗芸童装店，虚假发货，不予退款,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354881358/,投诉,快手小客服,"退款,赔偿,道歉,作出处罚,改善服务,解释,退货,下架产品",第三次投诉，前两次都未解决，在快手上买了一件衣服，未发货少申请退款，商家不予理会，并且虚假发货，物流一直不更新，知道系统自动确认收货，联系官方客服依然不予理会，无奈在黑猫上投诉，快手科技于是打来了电话，说联系商家处理，商家说给补发，我同意了，结果补发的物流到华北后原路返回，还说是我拒收，呵呵，我...,已完成
60,快手金牛电商 童诗芸童装店 虚假发货 一直不退款,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354874713/,投诉,快手小客服,"退款,赔偿,道歉,作出处罚,改善服务,解释,退货,下架产品,修改宣传内容",之前就在黑猫上投诉过一次，结果他说给补发，但是补发的物流到了华北之后又退回去了，钱一直没退回来,已回复
61,宠爱无名(微信小程序快团团),2021-09-02,https://tousu.sina.com.cn/complaint/view/17354747819/,投诉,拼多多客户服务,"退款,赔偿,道歉,作出处罚",7月份买了一套童装，至今没有给我发货，团长说她发给了另一个人，给我一个微信号让我加，我加了三次都不给我通过，团长说那她也没办法，就是不给我退款。找了快团团平台的人工客服，结果给我的答复就是，她们无权干涉，让我自己联系团长，她们帮不了我。,处理中
62,未收到货 虚假发货。欺诈消费者,2021-08-07,https://tousu.sina.com.cn/complaint/view/17354350546/,投诉,拼多多客户服务,"退款,作出处罚",6.23在拼多多平台（吴大猪童装店Aaron爸定制）店铺购买的童装，3元/件，以为捡到便宜，购买后也一直没注意。现在也没收到，也不退款。虚假发货 欺诈消费者。,处理中
63,投诉深圳时代华娱,2021-08-19,https://tousu.sina.com.cn/complaint/view/17354473741/,投诉,深圳时代华娱,退款,以参加童装模特海选试镜为由，诱导家长签下不平等合同，交付了两年高额培训费。当天提出退费，商家去不同意要收取高额违约金，请求帮助,待分配
