序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,服务已停还继续收费,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354909703/,投诉,溜溜熊共享童车,退还多收款,十分钟的使用时间收费15元，到时即停电不可再用，可小孩未注意超时了，相距停车点二百多米远，要艰难推车过去，这个时间还要继续收费，感觉就是套路，很不合理，要求退多收款。,待分配
2,卖家平湖童车联盟、童车质量有问题,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354786724/,投诉,阿里客服,退款,童车买了一个月、后轮两个电机就坏了、商家同意维修、但运费需要自己承担、商品不是人为损坏是本身质量问题。淘宝小二介入让退回货物、花钱退回商品维修好后、商家没有经过我同意就邮寄回来逼我签收。淘宝小二驳回我的维权 说货物影响二次销售。商家质量有问题，淘宝小二不管。,处理中
3,未履行7天无理由退货,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355234735/,投诉,阿里客服,退货,购买的童车因为快递不收取，以及物流商家拒收为理由不处理7天无理由退货,处理中
4,京东中杰童车专营店,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355244940/,投诉,中通官方微博,"退款,下架产品",商品没有发货，中通快递自动揽收，申请退款不予理睬,已完成
5,永久童车旗舰店,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355305685/,投诉,拼多多客户服务,退货款运费由商家承担,之前跟商家友好协商，说不要了他也同意，让我快递拒收，最后又让我们承担运费,处理中
6,恢复我的支付分,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354823962/,投诉,微信支付,"恢复账号,恢复我开始的支付分",拼多多上购买了一款儿童车 使用的是先用后付 发现产品质量有问题就没有支付 客服说她会解决 结果导致超时未支付 扣了我的分 我现在要求恢复我的信用分,处理中
7,在拼多多买儿童车给我发个空的架子 车也开不了，漏发了很多东西。商家不退款，不补发,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354801968/,投诉,拼多多客户服务,退款,在拼多多买了儿童车 ，商家漏发了很多东西，商家自己也承认，车子都不能跑，商家不补发，也不退款，拖了我几个月不处理,处理中
8,差评给小小赵童车配件店,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355071443/,投诉,阿里客服,"道歉,作出处罚",本人2021年9月19日在淘宝店铺小小赵童车配件店购买的童车电池，商家发了韵达快递，9月20日发现韵达快递停留在苏州这边网点不动了，九月初有一单韵达快递也是同样卡在这个网点很多天没有动，所以马上联系快递公司确认是否这个网点还处在异常状态，同时也联系商家，希望商家也跟快递公司核实情况，存在异常的尽快安排发其...,处理中
9,在迪士尼乐园游玩，童车被盗,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355065993/,投诉,上海迪士尼度假区,"作出处罚,赔偿,解释,修改宣传内容,改善服务",9月21日，下午两点半到四点期间 在迪士尼乐园内就餐，由于迪士尼规定不能将童车带进餐厅，所以和所有游客一样将车停在餐厅门口。但就餐完毕出店后发现童车丢失，在找到工作人员寻求帮助后，被带到游客服务中心，接待处理的主管Steven态度傲慢，极力推脱责任，表示丢失是游客自己的责任，并拒绝查看监控录像，拒绝立刻帮...,处理中
10,铭城童车母婴店,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354631145/,投诉,阿里客服,"退款,赔偿,作出处罚",20207月15号买的，到货了以后车的两个灯就不亮，而且车身划得刮的都不是太好，当时我就怀疑这个车是不是有问题，开电没问题，也能跑，然后就体谅他们就说了下灯，没说别的，然后充第一次电的时候灯不亮，当时问了他们，让就充上了，充了两三次，然后当时孩子会走了，就不愿意坐车了，就放一边了，等到过年之前还是之后我...,处理中
