序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,上海桂隆建筑装饰工程有限公司欠我装修瓷砖货款7342元,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355064041/,投诉,桂隆快乐装修,退款,我在2020年6月29和上海桂隆建筑装饰工程有限公司签订了住宅装饰装修施工合同和住宅装饰装修主材代购协议。并在合同签订当日，水电管线隐蔽工程通过验收时，油漆工工进厂前，验收通过当日按合同支付对应比例的货款和装修款。代购主材有超出预算部分都分别和供应商在对应工程前结清。其中瓷砖部分实际货款低于预算金额，但...,待分配
2,房子转租出去了，不退钱,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355355036/,投诉,优居客装修家居,解释,房子转租出去了，不退钱，还找各种理由扣钱，我一千五的押金，现在要扣我一千多块钱，房子有人转出去了，没人给我说，到了签合同那天我才知道,处理中
3,卫生间漏水泡坏了门和踢脚线售后几个月了一直没修复,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354786027/,投诉,一起装修网,"快速处理,修复故障",卫生间漏水，泡坏了门和踢脚线。申请售后，已经几个月了，一直没有完成修复，卫生间的门被拆下来几个月，多次催促没人跟进。,已完成
4,重庆优居水木年华1支队，说返佣金，说话不算话,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354696921/,投诉,优居客装修家居,返还佣金,2011年找重庆优居水木年华1支队买的期房，说了的佣金要返我，结果等了一年，他们不承认有这回事,处理中
5,网单平台欺诈,2021-08-17,https://tousu.sina.com.cn/complaint/view/17354492580/,投诉,凤凰家装修宝,"快速处理,退款",一个月三千，十个尺保底，现在一个月一到两个，联系的人经常不回复，问就是已经反馈了。所谓的领导联系，没有处理办法，就是拖，意思是没有办法，只能这样，慢慢的混着。投诉无果，急需处理。直接耍无赖了。,已完成
6,石家庄三林装饰公司虚假承诺,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354941586/,投诉,土巴兔装修网客诉中心,送货,本人于2021年4月6日，通过土巴兔推送的页面找到石家庄三林装饰工程有限公司装修，当时店长王姐为了成单承诺可以赠送烟机灶具或者减免3000水电款，我们选择的是烟机灶具，本着信任原则没有签订协议，对方也没提醒必须写入合同或协议才生效，属于故意欺骗隐瞒。现在装修完毕打电话过去让人安装，公司不承认有这回事。为了...,已完成
7,土巴兔同意退款，但就是不退，一拖再拖,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355158883/,投诉,土巴兔装修网客诉中心,"快速处理,退款",我于9月15日在土巴兔平台购买了装修上门质检服务。我与其公司质检人员约定下午过来验收水电施工，其质检人员上门后未出示相关证件，并且验收过程不专业。防水工程还没有施工，平台的验收报告上却显示防水施工合格。我便联系平台工作人员要求停止服务并退款，经协商，平台同意扣除11项质检服务中一项的价格，其他费用予以...,已完成
8,土巴兔电话骚扰 三天两头打电话问装修 我从未注册过该网站的账号 非法获取我手机号,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355413342/,投诉,土巴兔装修网客诉中心,"快速处理,停止骚扰,依法追究责任,公平给出解释,加强对平台的管理,道歉,解释",土巴兔平台业务人员频繁骚扰我，我已经明确多次告知来电人员，我不需要装修需求 ，更没有浏览过你们网站信息，也没有登记过任何需求，更没有注册过账号，麻烦从把我电话从你们平台屏蔽掉 ，不要再给我打电话了,已回复
9,注册了土巴兔账号就短时间受到不同地区的电话骚扰,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355016463/,投诉,土巴兔装修网客诉中心,停止骚扰,下午四点多注册了土巴兔账号，到六点多，就来了三个地区的号码打过来，有这么巧的吗，而且回电过去都是直接显示用户正忙都是一模一样的,已完成
10,装拖延工期，不按合同履约,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355259087/,投诉,海蓝清风装修设计有限公司,改善服务,我从今年4月把房子交给海蓝清风装修公司，拖延工期3个月没有交工，变更材料不通知，不按照合同履约。请求协调,待分配
