序号,月报期数,产品分类（月报）,日期,召回数量,产品名称,标题,召回原因,危害源,危害情况,区域,链接,,,,,,,
,1,家用电器及电器附件,2020/1/2,5,取暖器,【四川】四川福天下节能科技有限公司召回部分“FTJN75×75－600－10 220V～51Hz”电激活变潜热节能取暖器,输入功率和电流不符合安全要求，有涉及人身安全的风险。,输入功率和电流,人身安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200107_88854.html,,,,,,,
,1,家用电器及电器附件,2020/1/2,4,取暖器,【四川】四川福天下节能科技有限公司召回部分“FTJN75×75－600－12 220V～50Hz”电激活变潜热节能取暖器,电源连接和外部软线不符合安全要求，有涉及人身安全的风险。  ,电源连接和外部软线,人身安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200107_88855.html,,,,,,,
,1,电子信息,2020/1/7,177150,电源适配器,爱普生（中国）有限公司召回部分Pro100标签打印机及Perfection V3X、V3XX平板扫描仪电源适配器,电源适配器的直流插头可能会出现发热、熔化或冒烟现象，少数极端的情况下，可能存在燃烧的风险。,直流插头过热,燃烧,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200107_88828.html,,,,,,,
,1,电子信息,2020/1/8,2142,数字监视器,【上海】飞利浦（中国）投资有限公司召回部分新安怡数字视频婴儿监视器,这款产品的父母端装置（显示器）在通电时，锂电池可能会出现过热现象，存在起燃的安全隐患。,电池过热,燃烧,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200109_88861.html,,,,,,,
,1,交通用具,2020/1/10,316,自行车头盔,【上海】禧玛诺（上海）贸易有限公司召回部分Lazer自行车头盔,由于品牌商的产品设计未参照中国国内标准GB24429-2009第5.2.5条头盔吸收碰撞能量性能的要求，因此，自行车在高速骑行且涉及事故时，部分受影响的头盔在极端情况下无法充分发挥抗冲击的保护作用，可能会引起人身伤害。,吸收碰撞能量性能,人身伤害,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200114_88927.html,,,,,,,
,1,儿童用品,2020/1/10,67,自行车架儿童座椅,【上海】迪脉(上海)企业管理有限公司召回部分自行车架儿童座椅,极端情况下，儿童座椅锁扣的连接处接片会有裂开的风险，导致搭扣脱落，存在安全隐患。,机械强度 ,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200114_88926.html,,,,,,,
,1,交通用具,2020/1/10,"1,988",自行车头盔,【上海】禧玛诺（上海）贸易有限公司召回部分Kabuto自行车头盔,由于品牌商的产品设计未参照中国国内标准GB24429-2009第5.2.5条头盔吸收碰撞能量性能的要求，因此，自行车在高速骑行且涉及事故时，部分受影响的头盔在极端情况下无法充分发挥抗冲击的保护作用，可能会引起人身伤害。,吸收碰撞能量性能,人身伤害,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200114_88928.html,,,,,,,
,1,其他,2020/1/15,43870,特鲁利维斯旅行杯,【上海】宜家（中国）投资有限公司召回部分特鲁利维斯旅行杯,由于在测试中发现邻苯二甲酸二丁酯的迁移量超过规定的限值，可能会对人体健康造成伤害。,邻苯二甲酸酯,损害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200116_88960.html,,,,,,,
,1,日用杂品,2020/1/16,6,灭火器,【北京】北京延庆洪波消防器材有限公司主动召回缺陷产品,该款产品因灭火剂(第一主要组分含量)项目存在不符合国家标准中保障人身、财产安全要求的情形，属于缺陷产品。 ,灭火剂(第一主要组分含量),,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200117_88987.html,,,,,,,
,1,其他,2020/1/16,2850,聚氯乙烯绝缘电线,【北京】北京昆仑山海线缆有限公司主动召回缺陷产品,款产品因护套平均厚度、护套最薄处厚度、外径、导体电阻、绝缘老化前抗张强度中间值、绝缘老化后抗张强度中间值、护套失重项目存在不符合国家标准中保障人身、财产安全要求的情形，属于缺陷产品。 ,平均厚度、护套最薄处厚度、外径、导体电阻、绝缘老化前抗张强度中间值、绝缘老化后抗张强度中间值、护套失重,,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200117_88988.html,,,,,,,
,1,其他,2020/1/16,440,重型橡套软电缆,【北京】北京鑫北方裕桥线缆有限公司主动召回缺陷产品,该款产品因护套平均厚度、绝缘老化前抗张强度中间值、绝缘老化后抗张强度中间值、护套老化前抗张强度中间值、曲挠试验项目存在不符合国家标准中保障人身安全要求的情形。属于缺陷产品。 ,平均厚度、绝缘老化前抗张强度中间值、绝缘老化后抗张强度中间值、护套老化前抗张强度中间值、曲挠试验,,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200117_88989.html,,,,,,,
