序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
1,家具及建筑装饰装修材料,Crawley II 老板椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,坠落,中国,2016/1/7,座椅的底板焊接处容易断裂，从而给消费者造成坠落危险。
2,儿童用品,磁性标靶,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,受伤,中国,2016/1/8,玩具飞镖上的容易脱落的小磁铁含有过高的磁通量。若儿童将磁铁或其他金属物体吞入口中，它们会互相吸引，导致肠道阻塞或穿孔。
3,儿童用品,磁性钓鱼玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,受伤,中国,2016/1/8,玩具飞镖上的容易脱落的小磁铁含有过高的磁通量。若儿童将磁铁或其他金属物体吞入口中，它们会互相吸引，导致肠道阻塞或穿孔。
4,儿童用品,磁性西洋双陆棋套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤,中国,2016/1/8,棋盘的托盘带有锐利边缘，可能导致撕裂和割伤。
5,儿童用品,带刺塑料球,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/8,玩具带有的小部件（发出短促尖厉声音的装置）容易脱离。幼童可能将其放入口中，导致哽噎。
6,儿童用品,毛绒玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎、窒息,中国,2016/1/8,通过打开维可牢搭扣，其中一个玩具小鸟的小型电子音乐组件容易被接触到。儿童可能将其放入口中，导致哽噎。塑料包装袋太薄。若儿童把玩包装袋，包装袋可能会附着在儿童嘴巴和鼻子上，导致儿童窒息。
7,儿童用品,塑料口哨,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,窒息,中国,2016/1/8,系着口哨的绳子是一个固定的绳圈，并且没有可分离的部件。这可能导致儿童被勒毙。
8,儿童用品,塑料洋娃娃,37个月~96个月,女,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/8,洋娃娃的粉色鞋子含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重4%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
9,儿童用品,塑料洋娃娃,37个月~96个月,女,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/8,洋娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重27.7%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
10,儿童用品,玩具弓箭套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/8,箭上的吸盘容易脱落。若儿童将其放入口中，吸盘可能会堵塞呼吸道。
11,儿童用品,玩具滑板车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,是,受伤,中国,2016/1/8,活动部件之间存在可触及的缺口，可能因折叠时手指被夹住而导致受伤。
12,儿童用品,玩具木琴,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/8,已接到1起事故报告。
13,儿童用品,洋娃娃,36个月及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/8,玩具带有的小部件容易从瓶子上脱离。幼童可能将其放入口中，导致哽噎
14,家用电器及电器附件,电源延长线,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/8,插座接线盒上的插孔缺少活动挡板以防接带电部件被接触。
15,家用电器及电器附件,烧水壶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,环保,中国,2016/1/8,电线的塑料材料含有占重高达3.64%的短链氯化石蜡（SCCPs）。目前禁止在市面上销售和使用含有SCCPs物质，因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对环境存在污染的危险。
16,家用电器及电器附件,延长线,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/1/8,开关抗热性不足。若开关过热，可能导致火灾。
17,家用电器及电器附件,直发器,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/8,与可触及的金属部件所接触的带电部件缺少加强绝缘，可能导致电击。
