序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
1,服装纺织产品,休闲豆袋椅套,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息、呛噎,美国,2018/1/2,该豆袋椅套的拉链可被儿童自行拉开，然后爬入椅套内，存在因豆袋椅泡沫珠导致窒息或呛噎的风险。
2,日用杂品,HP笔记本电脑和移动工作站用锂电池,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾,美国,2018/1/4,该锂电池可能过热，存在火灾以及燃烧的风险。
3,日用杂品,SureFit™骑乘式割草机桨叶轴筒及配件,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,美国,2018/1/4,割草机的桨叶轴筒可能会在割草时断裂，破碎的叶片可能会弹射而出，对周围的人造成冲击伤害或者财产损失。
4,信息技术产品,电池充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/5,电气绝缘不足，可接触部分可能会变得带电。
5,儿童用品,奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/5,奶嘴夹紧固件容易断裂，产生小部件。幼童可能会把其放入口中而导致呛噎。
6,儿童用品,带玩具的奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/5,虎头的耳朵可以拆散成许多小部件，使纤维填充材料易被接触。此外，奶嘴的紧固件太大了。 幼童可能会将小部件或填充材料放入口中，造成窒息，或将奶嘴夹的紧固件放入口中导致卡住气管，造成损伤。
7,儿童用品,沙滩球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物危害,气相爆炸危害,移动部件挤压,,化学,欧盟,2018/1/5,沙滩球的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重24%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
8,儿童用品,沙滩球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物危害,气相爆炸危害,移动部件挤压,,化学,欧盟,2018/1/5,沙滩球的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重24%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
9,儿童用品,塑料玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/5,拖鞋透明材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重0.45%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
10,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/5,洋娃娃头部含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重26.4%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
11,儿童用品,跳绳,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,化学,欧盟,2018/1/5,跳绳含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重高达39.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
12,儿童用品,塑料玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/5,玩具的提醒与其预期用途相矛盾。小马驹的形状和大小适合小孩子，但他们可能会把小马驹入口中而导致呛噎。
13,儿童用品,布艺娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/5,织物帽子上的小部件很容易被拆下来。幼童可能会将其放入口中而导致呛噎。
