序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,产品存在的一级危害因素,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
1,电子及信息技术产品,iPad,iphone,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,马女士是洛阳一家卫浴用具店的工作人员，她新买的不到一个月的ipad，放在吧台上时突然发生了爆炸。,
2,日用杂品,按摩椅,无,无,无,14～60岁,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,肢体卡伤,,一位女士在使用按摩椅时，头部和头发根部被夹在按摩椅机器当中。,
3,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,重庆刘先生向实况新闻-重庆时报记者爆料称，他的一位同事家里两岁多的儿子，因误食五颗巴克球导致肠穿孔，危及生命。,
4,儿童用品,玩具（磁力珠）,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,云南一8岁男孩吞下10多颗巴克球导致胃穿孔 ,
5,家用电器及电器附件,壁挂炉,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,其他,其他,一氧化碳,中毒,,壁挂炉在正常使用过程中发生了爆炸，导致用户一氧化碳中毒,
6,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,潍坊市民在网上刚买了一个月的二手小冰箱突然自燃烧毁。,
7,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,阳光房顶上的一块玻璃出现了一个大窟窿，碎玻璃落了一地。,
8,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,上海一小区建筑玻璃外层发生爆裂。,
9,家具及建筑装饰装修材料,玻璃窗,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,玻璃应力,财产损失,,"杭州钱江新城来福士广场T2塔楼51层的一处幕墙玻璃自爆，碎片从200多米高空坠落，砸中一辆路过的奔驰车，所幸车内司机没有受伤。",
10,家用电器及电器附件,插线板,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,烧伤,,华西医院烧伤外科病房收治了一名4岁大的女孩彤彤，因插线板短路引发了火灾，孩子双腿几乎被烧得焦黑。,
11,家用电器及电器附件,肠粉机,无,无,无,14～60岁,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,烧伤,,肠粉机在使用时突然从底部、四周喷火烧伤母子两人,
12,电子及信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,舟山嵊泗一民宅卧室突发大火，损失惨重，而火灾竟是由放置屋内的充电宝自燃所致。,
13,电子及信息技术产品,充电宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,李先生躺在床上玩游戏，手机没电了就连上充电宝边充边玩。睡着后充电宝燃烧爆炸，李先生后脑被炸伤。,
14,日用杂品,电池（充电电池）,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,宜昌7岁男孩在家用电线连充电电池亮灯泡，没想到充电电池及灯泡突然爆炸，男孩不仅面部、胸部被炸伤，双手10根手指更被炸的只剩下残缺不全的5根。,
15,日用杂品,电池（纽扣电池）,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,烟台一八月龄婴儿误吞纽扣电池53小时。,
