序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,爆炸危害,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
1,家用电器及电器附件,遥控器,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,电视遥控器凌晨发生爆炸，不仅后盖与遥控器分身，遥控器的主体也开裂成几部分，正面按键处也炸出了孔洞，客厅上方吊灯的一层灯罩平板也被震掉。,
2,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,武汉一居民家中空调柜机突然起火烧毁房屋。,
3,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南京一简易居民房私拉电线为电动车充电引发火灾。,
4,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,上海昭化路上的一处办公楼因空调起火发生火灾。,
5,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,重庆一市民家中抽油烟机正常工作中玻璃面板发生爆裂。,
6,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,长春一名20个月女童误吞8个磁力珠造成胃肠穿孔。,
7,文教体育用品,电动平衡车,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,移动状态撞击,财产损失,,放在客厅的平衡车突然发出异响，随即冒出白色浓烟。在这之后的15秒内，这辆平衡车突然浓烟滚滚，继而剧烈爆炸，爆炸几乎波及整个客厅。,
8,日用杂品,暖宝宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,低温环境,正确的使用方式,高/低温物质危害,低温物质危害,低温表面,烫伤,,市民路边买的暖宝宝用后皮肤被烫伤，贴过暖宝宝的皮肤泛红，有好几处已经破皮。,
9,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,徐州有一户居民，就因为给猫用电热毯取暖引发了火灾，导致祖孙三人被困。,
10,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,抽油烟机的钢化玻璃爆裂，破碎的玻璃撒落一地，控制面板也因为爆炸而变形。,
11,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,（2岁和9岁）西安接连发生两起儿童在家玩耍时，不慎将数颗玩具磁力珠（又名巴克球）吞下导致的意外事件，险些造成肠梗阻。,
12,文教体育用品,修正带,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,一个14岁的学生玩弄修正带时不慎误吞了修正带的盖帽，险些危及生命。,
13,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,海口市西海岸的欣·沐阳金色阳光温泉度假酒店一房间浴室玻璃门突然爆裂，飞溅的玻璃造成两位男童全身多处割伤。,
14,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,常州市民尹女士淋浴房玻璃突然破裂，万幸的是当时正好浴室无人，未发生伤人事件。,
15,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,贵阳松花南路上，一辆电瓶车在行驶中突然冒烟自燃。,
16,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,驾驶电动车在路上，电动车突然自燃起来。,
17,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,死亡,,电取暖器引起火灾，一名保安因为吸入过量的有毒气体死亡。,
18,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,淮安区都市花园小区一居民出门时忘关电热毯。四个多小时后，当她回家时，房子已经被大火烧的面目全非。,
19,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,财产损失,,深圳龙岗区横岗社区和兴巷一出租屋着火，经初步调查，起火原因系租客在取暖器上烘烤衣物导致。,
