	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	20210624	【澳大利亚】沃尔沃汽车召回	中国	不详	沃尔沃汽车	1	召回发布日期2021/6/20 召回发布国家或地区澳大利亚 制造商沃尔沃集团澳大利亚公司 车型UD pPNLT Quon卡车 召回数量527 缺陷及后果前轴和/或中间轴中的一些轴承杯在组装时没有使用止推垫圈。如果车辆在这些条件下操作，万向节可能会最终断裂。如果万向节断裂，传动轴可能会脱落，导致车辆无法操作或造成事故，车辆乘员和/或其他道路使用者受伤或死亡。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98579.html	死亡	4	物理危害	机械危害	潜在能量危害	未知	未知	未知	未知	前轴,万向节,中间轴	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	20210624	【澳大利亚】丰田汽车召回	中国	不详	C-HR（NGX10和NGX50）SUV 	1	召回发布日期2021/6/20 召回发布国家或地区澳大利亚 制造商丰田汽车公司 车型C-HR（NGX10和NGX50）SUV 召回数量7671 缺陷及后果燃料泵的内部组件可能会磨损，燃料泵的焊接区域可能会断裂，这可能导致发动机舱中的燃料泄漏。如果发生这种情况，车辆乘员可能会在驾驶时闻到燃料气味。发动机舱内的燃料泄漏可能导致发动机舱起火。车辆着火可能会增加车辆乘员、其他道路使用者或旁观者受伤或死亡的风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98577.html	烧伤,死亡	4	物理危害	高/低温物质危害,机械危害	高温物质危害,潜在能量危害	未知	未知	未知	未知	发动机,驾驶	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	20210624	【澳大利亚】起亚汽车召回	中国	不详	MQ4索兰托MPI、KA4 Carnival GDI 	1	召回发布日期2021/6/20 召回发布国家或地区澳大利亚 制造商起亚澳大利亚私人有限公司 车型MQ4索兰托MPI、KA4 Carnival GDI 召回数量767 缺陷及后果燃料供应管在制造期间可能已经损坏，这可能导致燃料泄漏。如果发生燃料泄漏，这可能会导致发动机舱起火。车辆起火可能会增加事故风险，对车辆乘客和其他道路使用者造成严重受伤或死亡。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98572.html	烧伤,死亡	4	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	发动机	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	20210624	【澳大利亚】吉普汽车召回	中国	不详	Cherokee (KL) 	1	召回发布日期2021/6/20 召回发布国家或地区澳大利亚 制造商FCA 澳大利亚私人有限公司 车型Cherokee (KL) 召回数量203 缺陷及后果变速器油冷却器 (TOC) 软管可能是用固化不当的橡胶制造的。这种橡胶可能会破裂，导致传动液泄漏。从TOC软管泄漏的传动液可能会接触点火源，导致车辆起火。车辆起火可能会增加车辆乘员和/或旁观者受伤或死亡以及财产损失的风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98570.html	烧伤,死亡	4	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	变速器	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
4	20210624	【欧盟】标致汽车召回	中国	不详	3008, 508 	1	召回发布日期2021/6/18 召回发布国家或地区欧盟 制造商标致 车型3008, 508 召回数量不详 缺陷及后果电池中可能发生短路。这可能会导致过热，增加起火风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/oum/202106/t20210624_98536.html	烧伤,烫伤,电击伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	是	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	20210625	【美国】JAYCO汽车召回	中国	不详	WHITE HAWK 	1	召回发布日期2021/6/15 召回发布国家或地区美国 制造商Jayco 公司 车型WHITE HAWK 召回数量43 缺陷及后果Jayco 公司 (Jayco) 正在召回部分 2021 年款 White Hawk 旅行拖车。金属电箱可能没有接地。未接地的金属电箱可能会导致触电，增加受伤的风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/usa/202106/t20210625_98625.html	电击伤	2	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	20210624	【美国】ROSSMONSTER汽车召回	中国	不详	RAM PROMASTER 	1	召回发布日期2021/6/13 召回发布国家或地区美国 制造商Rossmonster Vans有限责任公司 车型RAM PROMASTER 召回数量2 缺陷及后果Rossmonster Vans有限责任公司（Rossmonster）正在召回某些2018年款Ram Promaster汽车。炉灶的鞍形阀固定螺栓可能拧得过紧，这可能损坏O形密封圈，导致连续的气体泄漏。气体泄漏会增加火灾风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/usa/202106/t20210624_98562.html	烧伤	2	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	20210617	【德国】欧宝汽车召回	中国	不详	Movano B 	1	召回发布日期2021/6/11 召回发布国家或地区德国 制造商欧宝汽车公司 车型Movano B 召回数量5627 缺陷及后果由于凸轮轴盖和燃料供应软管之间的机械接触，可能会发生燃油泄漏，因此，存在火灾风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/deg/202106/t20210617_98454.html	烧伤	2	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	凸轮轴	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	20210624	【美国】HOST CAMPERS汽车召回	中国	不详	CASCADE, MAMMOTH, RAINIER, TAHOE 	1	召回发布日期2021/6/11 召回发布国家或地区美国 制造商HOST INDUSTRIES 车型CASCADE, MAMMOTH, RAINIER, TAHOE 召回数量21 缺陷及后果Host Industries (Host) 正在召回某些2019-2021年款Mammoth、Tahoe、Rainier和Cascade拖车，车上配备Dometic 3燃烧器烹饪炉。炉灶的鞍形阀固定螺栓可能拧得过紧，这可能损坏O形密封圈，导致连续的气体泄漏。气体泄漏会增加火灾风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/usa/202106/t20210624_98563.html	烧伤	2	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	20210624	【美国】EAST TO WEST汽车召回	中国	不详	ALTA 	1	召回发布日期2021/6/11 召回发布国家或地区美国 制造商森林河有限公司 车型ALTA 召回数量10 缺陷及后果森林河有限公司 (Forest River) 正在召回部分 2021 年款 East to West Alta 旅行拖车。LP/CO探测器没有安装在正确的位置。LP/CO探测器定位不当可能会影响对丙烷泄漏的检测，增加火灾的风险，或存在一氧化碳，增加受伤的风险。 	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gwzh/usa/202106/t20210624_98554.html	烧伤	2	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	有	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
