	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	伤害类别	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	20210626	郑州日产汽车有限公司召回部分帅客纯电动汽车	中国	河南	帅客纯电动汽车	1	 郑州日产汽车有限公司自即日起，召回2018年4月11日至2019年4月13日生产的部分帅客纯电动汽车，共计559辆。 本次召回范围内部分车辆，经过长期频繁快充后动力电池内部电芯性能下降，可能造成动力电池偶发失效，出现压差异常并引发内部短路，极端情况下可能发生动力电池热失控，存在安全隐患。 郑州日产汽车有限公司将免费为召回范围内车辆的动力电池进行检测，必要时更换故障模组等同时对电池管理系统BMS软件升级，完善充电策略，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，郑州日产汽车有限公司决定采取召回措施，消除安全隐患。 郑州日产汽车有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98635.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	20210626	湖南江南汽车制造有限公司召回部分众泰云100S电动汽车	中国	湖南	众泰云100S电动汽车	1	 湖南江南汽车制造有限公司决定自2021年7月1日起，召回2017年10月17日至2017年11月30日期间生产的部分众泰云100S电动汽车，共计200辆。 本次召回范围内车辆搭载的动力电池因BMS控制策略存在缺陷，可能导致电芯长期高压浮充，造成电芯隔膜阻塞严重，发生内短路风险升高。电芯劣化达到临界状态后车辆继续运行，可能导致电芯发生内短路而造成动力电池热失控，存在安全隐患。 湖南江南汽车制造有限公司将免费为召回范围内车辆升级BMS程序，对电池包电芯容量、压差、气密性、内部结构等方面进行检测，对异常电池包进行更换，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，湖南江南汽车制造有限公司决定采取召回措施，消除安全隐患。 湖南江南汽车制造有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98634.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	20210611	大众汽车（中国）销售有限公司、一汽-大众汽车有限公司召回部分进口宾利添越V8及进口奥迪S8汽车	中国	不详	进口宾利添越V8及进口奥迪S8汽车	1	大众汽车（中国）销售有限公司、一汽-大众汽车有限公司决定自2021年6月15日起召回以下车辆。 （一）大众汽车（中国）销售有限公司 召回2020年10月25日至2020年11月30日期间生产的部分进口2021年款宾利添越V8汽车，共计7台。  （二）一汽-大众汽车有限公司 召回2020年10月8日生产的部分进口2021年款奥迪S8系列汽车，共计1台。  本次召回范围内的车辆使用了供应商在特定时间段内生产的V8发动机，由于缸体铸造阶段的模压偏差，第6缸缸壁处可能存在裂隙，造成发动机运转时第6缸缸体破损。发动机损坏后，可能导致发动机熄火并失去驱动力同时泄漏的机油如果接触到下方的排气管，不排除起火的可能性，存在安全隐患。 大众汽车（中国）销售有限公司及一汽-大众汽车有限公司将通过授权经销商，免费为召回范围内的车辆更换发动机总成，以消除安全隐患。 应急处置措施车辆召回维修前，用户如果察觉到发动机出现异常噪音或振动，应立即联系就近的授权经销商对车辆进行检查和处理。 大众汽车（中国）销售有限公司、一汽-大众汽车有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210611_98356.html	烧伤	2	人身安全	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	发动机,发动机总成,排气管,熄火,总成	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	20210611	湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司召回部分猎豹CS9纯电动汽车	中国	安徽	猎豹CS9纯电动汽车	1	 湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司自2021年6月15日起召回以下车辆。 （一）湖南猎豹汽车股份有限公司 召回2018年8月19日至2018年11月29日期间生产的部分猎豹CS9纯电动汽车，共计1119辆。 （二）安徽猎豹汽车有限公司 召回2017年12月5日至2017年12月28日期间生产的部分猎豹CS9纯电动汽车，共计2998辆。 本次召回范围内车辆动力电池包存在包内汇流铜排连接松动、部分包内电压和温度传感器采集线连接点或电池加热片线束焊接点焊接不牢固、动力电池电芯自引发内短路等问题，在极端情况下可能导致车辆动力电池热失控，产生火灾，存在安全隐患。 湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司将免费对召回范围内车辆的动力电池包进行一致性检查及更换有问题的电池模组，改善汇流铜排螺栓固定方式，检查加热片焊接点并加固或更换问题零部件，检查动力电池包内电压、温度传感器焊接点及线束与箱体干涉情况并加固或更换问题零部件，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司决定采取召回措施，消除安全隐患。 湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210611_98354.html	烧伤,电击伤	2	人身安全	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	有	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
4	20210603	天津一汽丰田汽车有限公司、广汽丰田汽车有限公司、丰田汽车（中国）投资有限公司召回部分进口及国产汽车	中国	天津	进口及国产汽车	1	天津一汽丰田汽车有限公司、广汽丰田汽车有限公司、丰田汽车（中国）投资有限公司 （一） 天津一汽丰田汽车有限公司 自2021年7月19日起，召回2019年8月6日至2021年4月15日期间生产的部分卡罗拉汽车，共计191936辆  （二） 广汽丰田汽车有限公司 自2021年7月10日起，召回2018年10月13日至2021年4月9日期间生产的部分汉兰达汽车，共计25143辆  （三） 丰田汽车（中国）投资有限公司 自2021年7月19日起，召回2018年9月14日至2021年3月13日期间生产的部分进口雷克萨斯RX300汽车，共计10905辆。  本次召回范围内部分车辆，由于零件生产工厂在高压燃油泵内部构成件组装工序中的制造偏差等原因，导致部分构成件未充分压紧。在使用过程中高压燃油泵内部可能会发生异常磨损，受内部构成件松动的影响，高压燃油泵焊接处可能会产生疲劳裂纹，存在燃油渗出的可能，极端情况下会增大起火风险，存在安全隐患。 天津一汽丰田汽车有限公司、广汽丰田汽车有限公司、丰田汽车（中国）投资有限公司将为对象车辆中搭载了上述缺陷零件的车辆免费更换改良合格的高压燃油泵，以消除安全隐患。 应急处置措施召回维修前，在车辆使用过程中如果发现有燃油气味或燃油渗出，用户应停止使用车辆并联系经销商进行处置。建议在车辆安全隐患消除前尽量避免靠近点火源，并在召回活动开始后入店进行维修。 天津一汽丰田汽车有限公司、广汽丰田汽车有限公司、丰田汽车（中国）投资有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210603_98161.html	烧伤	2	人身安全	物理危害	高/低温物质危害	高温物质危害	未知	未知	未知	未知	燃油泵	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	20210528	梅赛德斯-奔驰（中国）汽车销售有限公司召回部分进口汽车	中国	不详	进口汽车	1	梅赛德斯-奔驰（中国）汽车销售有限公司计划自即日起，召回以下车辆  （一）召回部分生产日期在2018年4月4日至2019年10月18日期间的进口E级、AMG GT车辆，共计31辆。   本次召回范围内部分车辆由于生产偏差，起动机供电线束可能未按照规范安装。造成起动机供电线束可能会与起动机壳体接触，线束绝缘层可能因长时间磨损而导致线束发生短路，不能排除车辆因线束短路而无法启动或起火的风险，存在安全隐患。  梅赛德斯-奔驰（中国）汽车销售有限公司将通过授权经销商为受影响车辆免费检查起动机线束，规范其安装并更换受损线束，以消除安全隐患。  （二）召回部分生产日期在2020年6月23日至2020年9月15日期间的进口AMG GLB 35 4MATIC车辆，共计45辆。   本次召回范围内部分车辆由于生产偏差，尾门侧扰流板可能未按照规范安装。造成尾门侧扰流板在行驶过程中可能从车辆上分离，会增加其他道路使用者发生碰撞或受伤的风险，存在安全隐患。  梅赛德斯-奔驰（中国）汽车销售有限公司将通过授权经销商为召回范围内车辆免费检查尾门侧扰流板的安装情况，必要时予以更换，以消除安全隐患。  （三）召回部分生产日期在2018年9月27日至2020年3月18日期间的进口GLE SUV、GLS SUV车辆，共计4739辆。   本次召回范围内部分车辆的空调排水软管可能安装不正确，导致空调冷凝水可能进入驾驶员和乘员席的脚部空间，腐蚀和/或导致安装在该区域的电气部件短路。这可能导致不同的后果自动紧急呼叫功能（eCall）可能无法使用、车辆可能无法解锁和/或启动、发动机跛行回家模式可能在行驶过程中被激活，存在安全隐患。  梅赛德斯-奔驰（中国）汽车销售有限公司将通过授权经销商为召回范围内的车辆免费检查空调排水软管是否安装到位，并根据需要重新进行正确安装如果因此问题造成其他零件损坏则进行必要的更换，以消除安全隐患。  梅赛德斯-奔驰授权服务中心	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202105/t20210528_98029.html	烧伤,电击伤	2	人身安全	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	未知	未知	未知	未知	发动机,驾驶,扰流板,水软管	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	20210518	一汽红塔云南汽车制造有限公司召回部分解放牌纯电动厢式运输车	中国	河南	解放牌纯电动厢式运输车	1	  一汽红塔云南汽车制造有限公司决定自即日起，召回2018年7月1日至2018年12月29日生产的101辆解放牌CA5040XXYL3BEV型、53辆CA5030XXYBEV型纯电动厢式运输车，共计154辆。  本次召回范围内的部分车辆因动力电池箱体焊接强度不足，出现箱体内部立柱脱焊、模组支架断裂现象。可能导致电池模组连接铜排上的铜片断裂，正负极铜排同时与箱体接触时会造成短路，极端情况下可能引起电池包起火，存在安全隐患。  一汽红塔云南汽车制造有限公司将为召回范围内的车辆免费更换改进后的动力电池箱，并对动力电池进行检查、维修或更换，以消除安全隐患。  一汽红塔云南汽车制造有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202105/t20210518_97860.html	烧伤,电击伤	2	人身安全	物理危害	高/低温物质危害,电气危害,机械危害	高温物质危害,触电危害,潜在能量危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	有	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	20210430	梅赛德斯-奔驰（中国）汽车销售有限公司召回部分进口A级、B级、CLA、GLA车辆	中国	湖南	进口A级、B级、CLA、GLA车辆	1	梅赛德斯-奔驰（中国）汽车销售有限公司具体如下  （一）自2021年4月30日起，召回生产日期在2019年8月26日至2019年9月27日期间的部分进口A级和B级车辆，共计168辆。   由于零件供应商的生产偏差，本次召回范围内部分车辆的空调冷凝水管可能发生堵塞。造成空调的冷凝水可能进入驾驶员和乘客席以及中央通道，会腐蚀和/或导致安装在该区域的电气部件短路。这可能导致不同的后果SRS控制单元可能出现故障、车辆可能无法启动、发动机跛行回家模式可能在行驶过程中被激活，其他功能（如燃油泵、自动/手动紧急呼叫）也可能受影响，存在安全隐患。  梅赛德斯-奔驰（中国）汽车销售有限公司将通过授权经销商为召回范围内的车辆免费检查空调冷凝水排水管，如发现水管堵塞则更换带有合格泠凝水管的的空调壳体，以消除安全隐患。  应急处置措施车辆召回维修前，用户应避免使用空调。  （二）自2021年6月25日起，召回生产日期在2016年11月30日至2017年2月24日期间的部分进口A级、B级、CLA、GLA车辆，共计4898辆。   由于供应商的生产设备偏差，造成本次召回范围内部分车辆转向轴万向节上用于固定轴承的孔尺寸偏大，导致轴承和孔壁之间产生间隙，车辆长期使用后会加大间隙，造成车辆转向异响或转向不精确。如果较长时间忽略上述异常而继续使用车辆，轴承可能会与万向节分离，影响车辆的转向功能，增加车辆发生碰撞的风险，存在安全隐患。  梅赛德斯-奔驰（中国）汽车销售有限公司将为召回范围内车辆检查转向轴的生产信息，如果在受影响范围内则免费更换转向轴，以消除安全隐患。  应急处置措施车辆召回维修前用户应小心驾驶，如发现车辆转向时有异响（咔嗒声）或转向不精确，应及时联系梅赛德斯-奔驰授权经销商处理。  梅赛德斯-奔驰（中国）汽车销售有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202104/t20210430_97571.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	发动机,驾驶,燃油泵,万向节,转向		未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	20210430	中车时代电动汽车股份有限公司召回TEG6106BEV汽车	中国	不详	TEG6106BEV汽车	1	 中车时代电动汽车股份有限公司决定自2021年4月30日起，召回2018年6月1日至2018年6月29日期间生产的TEG6106BEV车型，共计15辆。  本次召回范围内的车辆由于动力电池电芯早期失效，BMS控制未达到预期效果，存在电芯过放或短路风险，可能引发电池热失控，存在安全隐患。中车时代电动汽车股份有限公司对召回范围内的车辆更换其他品牌电池和BMS，以消除安全隐患。  中车时代电动汽车股份有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202104/t20210430_97568.html	电击伤	2	人身安全	物理危害	电气危害	触电危害	未知	未知	未知	未知	未知	未知	未知	否	未知	未知	未知	未知	未知	未知	电池	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	20210427	现代汽车（中国）投资有限公司召回部分进口现代捷恩斯汽车	中国	不详	进口现代捷恩斯汽车	1	 现代汽车（中国）投资有限公司决定自2021年6月15日起，召回以下进口现代捷恩斯汽车，共计1703辆  2014年1月29日至2016年3月21日生产的现代捷恩斯3.0 GDI 2WD汽车，共计582辆2014年6月21日至2016年4月22日生产的现代捷恩斯3.0 GDI 4WD汽车，共计1069辆2014年2月6日至2014年12月29日生产的现代捷恩斯3.3 GDI 2WD汽车，共计11辆2014年9月19日至2015年8月18日生产的现代捷恩斯3.3 GDI 4WD汽车，共计41辆。  本次召回范围内部分车辆的制动系统液压电子控制单元（HECU）内部可能发生短路，极端情况下会导致发动机舱起火，存在安全隐患。  现代汽车（中国）投资有限公司将为召回范围内的车辆免费更换保险盒内相关保险丝，将大容量保险丝更换为较低容量保险丝。若HECU内部发生短路，较低容量的保险丝会及时熔断，可避免因短路导致车辆起火的风险，以消除安全隐患。车辆召回更换保险盒内保险丝后，如后续出现HECU内部短路导致保险熔断问题，无论车辆使用年限和行驶里程，现代汽车（中国）投资有限公司将为用户车辆免费更换HECU。出现该问题时，建议用户立即联系4S店或拨打进口现代汽车客户电话400-885-3388，就近进店检查维修以解决车辆问题。  应急处置方法车辆召回维修前，如果用户发现故障灯亮或ABS灯亮，建议将车辆停靠路边，拨打进口现代汽车客户电话400-885-3388请求救援。如果用户发现发动机舱冒烟、闻到糊味或发现车辆发动机舱起火时，应迅速撤离、使用灭火器灭火或拨打火警救援。  现代汽车（中国）投资有限公司	召回	交通工具及相关产品	空	https://dpac.samr.gov.cn/qczh/gnzhqc/202104/t20210427_97447.html	烧伤,电击伤	2	人身安全	物理危害	高/低温物质危害,电气危害	高温物质危害,触电危害	未知	未知	未知	未知	发动机,制动系统	未知	未知	否	未知	未知	未知	未知	未知	未知	未知	未知	空	空	空	空	否	空	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	是	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	是	未知	未知	未知	未知	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
