	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	2021/5/26	【美国】Bontrager Satellite City自行车脚踏板召回2021-05-26	中国	不详	自行车脚踏板	1	如果召回的脚踏板在组装过程中被零售商错误安装，它们可能会从自行车的曲柄臂上脱落，给骑行者带来摔倒和受伤的危险。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/mg_207/202106/t20210602_98147.html	砸伤	1	空	空	空	空	未知	未知	未知	脚踏板	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	2021/5/26	【美国】Room Essentials淋浴凳召回2021-05-26	中国	不详	淋浴凳	1	淋浴凳在使用时可能会变得不稳定或滑溜，导致凳子翻倒，造成跌落危险。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/mg_207/202106/t20210602_98146.html	空	0	空	空	空	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	否	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	2021/5/26	【美国】女童中量级羽绒服召回2021-05-26	中国	不详	儿童服装 	1	抽绳位于衣服底部区域的内衬里。抽绳可能会被操场滑梯、扶手、校车车门或其他活动物体绊住或夹住，对儿童造成缠绕危险。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/mg_207/202106/t20210602_98145.html	空	0	空	空	空	空	未知	未知	未知	车门	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	2021/5/26	【美国】JoyJM牌My Little Steamer®和My Little Steamer®Go Mini蒸汽...2021-05-26	中国	不详	蒸汽熨烫机	1	被召回的蒸汽熨烫机在使用过程中可能会排出、喷洒或泄漏热水，对消费者造成严重的烫伤危险。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/mg_207/202106/t20210602_98144.html	烫伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
4	2021/5/26	【美国】METROUS1、METROUS2和METROUS4紧凑型城市婴儿车召回2021-05-26	中国	不详	婴儿车	1	当儿童在婴儿车中时，如果用户按下按钮释放安全带，卡扣上的按钮可能会断裂并脱落，使安全带难以释放，对幼儿构成窒息危险。	标准院2021国外召回情况	交通工具及相关产品	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/mg_207/202106/t20210602_98143.html	窒息	3	物理危害	机械危害	潜在能量危害	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	未知	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	2021/5/26	【日本】发动机切割锯召回2021-05-26	不详	不详	切割锯	1	空	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/rb_212/202106/t20210604_98207.html	空	0	空	空	空	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	2021/5/26	【欧盟】Shun Long 婴儿音乐小铃铛 塑料玩具召回　2021-05-26	中国	不详	儿童玩具	1	玩具包含突出部分（塑料环，绿色和橙色钥匙）。这些突出的部分，放在口中时，可能会造成伤害。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202106/t20210602_98107.html	空	0	空	空	空	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	2021/5/26	【欧盟】VIOMI 智能水壶召回2021-05-26	中国	不详	智能水壶	1	水壶底座上的接触连接不符合防潮要求。如果液体溢出到支架上，则存在触电和电源短路的风险。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202106/t20210601_98069.html	电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	是	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	2021/5/27	【欧盟】床旁婴儿床召回2021-05-27	拉脱维亚	不详	婴儿床	1	床旁婴儿床的可调侧可能设置得太低，并且没有将婴儿床固定到大床上的机构。因此，婴儿可能会掉落，造成摔伤。	标准院2021国外召回情况	儿童用品	儿童家具	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202106/t20210607_98227.html	空	0	空	空	空	空	未知	未知	未知	空	空	无	否	无	无	无	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	2021/5/27	【欧盟】带滑梯和秋千的玩耍架召回2021-05-27	法国	不详	儿童秋千	1	该玩具具有部分封闭的开口和可触及的孔，这些开口和孔可能会对儿童造成伤害或儿童的手指可能被夹住。	标准院2021国外召回情况	空	空	http://dpac.samr.gov.cn/xfpzh/xfpgwzh/om_208/202106/t20210607_98226.html	空	0	物理危害	机械危害	形状和表面性能危害	空	未知	未知	未知	空	空	无	否	无	无	有	无	未知	未知	空	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
