	日期	事件标题	区域	消费品名称	涉及的消费品数量	伤害事件	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	[高低]电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	2021-08-25	通过微信在我不知情的情况下，扣费298元	空	magic手机	1	由于误操作，我不知道何时安装了这个magic手机助手软件，在我不知情的情况下，他们于5、7、8三个月，每月扣走了我298元，经与苹果公司客服联系，退还了我7、8二个月的钱，但是5月20日扣走我的298元，让我自己联系软件开发者，邮件联系多次根本无人回应，我要求退还被盗的298元	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354618356/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	2021-09-08	无缘无故扣我的钱，还没有提示，因为我手机失免密支付的	空	空	1	2019年六月通过支付宝直接扣我298，因为我的手机是免密支付，扣的时候，我连知都不知道。后来我有去申请投诉对此订单有异议，然后没有用。	空	空	https://tousu.sina.com.cn/complaint/view/17354826140/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	2021-09-16	一直每月都在扣我的钱	空	空	1	乐视视频每月都在扣我的g费用，从不提醒一下，已经在我不知情的情况下扣了8个人月了，试问如果不一直发现不了，是不是就一直扣下去，这种行为，如同盗窃，我没有看享受乐视服务。为什么还一直扣钱，我要得到相应的赔偿。	空	空	https://tousu.sina.com.cn/complaint/view/17354969926/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	2021-09-12	乐视手机客户端会员取消订阅服务还在继续扣费	空	空	1	本人2020年4月份孩子玩手机点击了链接就开通了会员，在本人不知道的情况下连续扣了18个月的会员 ，（在本人不知情的情况下并未使用和观看）近期发现扣款记录，取消订阅后还继续扣费，账户没显示会员，希望可以帮我解决一下问题	空	空	https://tousu.sina.com.cn/complaint/view/17354903729/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
4	2021-08-22	屏幕底部偏黄	空	空	1	新手机底部明显偏黄，服务中心检测说没有问题换个新手机回来，黄的更严重，照片都能拍出来的，质量问题特别严重又是叫我邮寄到服务中心检测，就一句有三包政策三包政策就是你们可以给消费者有问题的手机，反复邮寄检测，浪费时间的理由吗快递费用说登记后3-5个工作日内补给我，现在一个礼拜了还没有到账	空	空	https://tousu.sina.com.cn/complaint/view/17354568943/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	2021-08-20	骗子说他们是手机贷催收的	空	空	1	骗子说是手机贷催收的，说1200块处理结清，现在转了1200，那边客户总是在拖不处理，现在已经把我微信删除了	空	空	https://tousu.sina.com.cn/complaint/view/17354526880/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	2021-08-27	realme真我京东自营旗舰店未履行承诺发赠品	空	realme手机	1	7月27于京东平台，购入realme手机大师探索版一台，当时店铺学生下单有送赠品电动牙刷(介绍是赠品是签收后根据订单地址发货)。我于29号签收，5号找客服要运单号，告知我需要24小时核实学生信息。8号进线找客服告知要再次核实地址信息。15号进线告知正在备货15天内发货，20号进线告知之前信息没有登记。还欺骗我说之前不是...	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354646533/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	2021-08-31	手机优化大师在我不知情的情况下扣了我的钱。	空	手机优化大师	1	手机优化大师在我不知情的情况下扣了我的钱。	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354708506/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	2021-09-02	自动扣费	空	空	1	在我完全不知情的情况下 自动扣费 产生费用	空	空	https://tousu.sina.com.cn/complaint/view/17354739455/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	2021-08-30	手机存在严重质量问题	空	空	1	手机正常使用，突然出现故障屏幕失灵，尔后出现破裂，寄到售后，认定为人为，跟客服多次沟通，对方均拒绝，认为为人为，从他们表述可以看出对方，以牺牲消费者权益，来维护公司利益。不管是人为还是质量问题，一类化分为人为，划分为客户责任。	空	空	https://tousu.sina.com.cn/complaint/view/17354692317/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
