发微博时间,召回内容
Sat Oct 10 23:20:58 +0800 2020,"#我是普通人,我讨厌肖战# #抵制毒流量肖战# #肖战邪教头子#  谁都不是吃饱了撑的才抵制肖战，为这么个玩意儿劳心伤神根本就不值！但是，不抵制这个商品，受伤的人会越来越多，早晚有一天伤害会落到自己头上"
Mon May 13 22:44:22 +0800 2019,应对美对我国2000亿美元商品加增25%关税后，我国也相应的增加了美600亿美元出口商品的分级关税，互相伤害，受伤的永远是我们这些老百姓，特别是股民，因为金融市场敏感性最强，反应也最大，记得，不要幼稚的想为国接盘，你是来投资的不是来亏钱的，等市场稳定了在接盘不迟！ 
Wed Sep 30 07:58:11 +0800 2015,在日本，先吃后付不仅是极为失礼的错误行为，而且涉嫌违反日本《刑法》中的盗窃罪，因为商品所有权归卖方所有，先吃后付已经构成了对商品所有权的侵犯。更不要说殴打店员的行为，已经涉嫌暴行罪。该事件中男性店员的脸部和鼻子受伤，就构成了伤害罪。
Wed Aug 12 13:38:13 +0800 2015,也是因为人民币 大宗商品同样很受伤:也是因为人民币 大宗商品同样很受伤 据《华尔街日报》报道，在公布让人民币贬值的决定后，中国近期对大宗商品的胃口很可能会受到伤害。 绝大多数大宗 ...(发自@微博桌面 微博桌面首页） 
Thu Jun 25 00:03:27 +0800 2015,现在上个网购都要受到上千点伤害的攻击，看下面的商品评论都是什么，我给我男朋友买的，单身🐶到哪都受伤 无锡·阳光国际花园 
Sun Nov 30 02:58:17 +0800 2014,宝妈们等急了吧贝亲PIGEON儿童润唇膏6个月上的宝宝开始用 预防和改善儿童唇部肌肤干燥开裂等现象，保湿滋润。膏体柔滑，涂抹舒适。纯植物无添加，冬天必备哦 由于感冒流涕，反复的擦宝宝的鼻子和嘴唇，给宝宝的皮肤带来伤害，此款商品可以防止皮肤受伤，还有清新香味，可以缓解感冒鼻塞等症状。 
Sun Sep 14 07:59:58 +0800 2014,#我有话说#【俄罗斯11月起或对乌克兰进口商品征收额外税】 国与国争斗，最后都受伤，只不过是谁受伤害更大而已。 网页链接   
Thu Jul 24 11:46:37 +0800 2014,#日本代购##日本代购贝亲#😚最新款贝亲pigeon 润鼻嘴唇膏 清凉通鼻 感冒用 ❤️由于感冒流涕，反复的擦宝宝的鼻子和嘴唇，给宝宝的皮肤带来伤害 此款商品可以防止皮肤受伤，还有清新香味，可以缓解感冒鼻塞等症状。 ❤️纯天然食物原料成分，💭护宝宝幼嫩的嘴唇，还不担心宝宝舔食。推荐给妈妈们！ 
Wed Jan 15 22:49:07 +0800 2014,发钱了就再去搞点吃//@魔女Alucard: 。。。真是太谨慎了。。。//@imiris82: 由于公司在北海道新千岁机场内工厂的传送带零件发生1厘米左右的破损，导致塑料片可能混入部分商品之中。公司称，尽管误食也不会对身体造成伤害，但可能会使口腔内部受伤。//@微笑takara: 塑化剂。。。吃了都没事，霓虹金弱爆
Wed Jan 15 21:47:30 +0800 2014,有句刚句，良心还是伊拉良心 //@stella223:霓虹金弱爆 //@imiris82:由于公司在北海道新千岁机场内工厂的传送带零件发生1厘米左右的破损，导致塑料片可能混入部分商品之中。公司称，尽管误食也不会对身体造成伤害，但可能会使口腔内部受伤。//@微笑takara: 塑化剂。。。吃了都没事，霓虹金弱爆
Wed Jan 15 21:27:18 +0800 2014,由于公司在北海道新千岁机场内工厂的传送带零件发生1厘米左右的破损，导致塑料片可能混入部分商品之中。公司称，尽管误食也不会对身体造成伤害，但可能会使口腔内部受伤。//@微笑takara: 塑化剂。。。吃了都没事，霓虹金弱爆
Tue Oct 23 16:42:03 +0800 2012,当你的孩子被人伤害，你心里什么感受?或许很多人会认为我矫情过头，但付出的心血只有自己清楚！爱，不是伤害！爱是尊重和保护！每件东西对我来讲并非只是商品，哎，很受伤，很无奈！ 
Tue Sep 11 16:57:55 +0800 2012,消费先生很受伤~ //@嘉兴工商:经营者提供商品或者服务造成消费者人身伤害的，应当支付医疗费、治疗期间的护理费、误工费，造成残疾的，还应当支付残疾者生活自助具费、生活补助费、残疾赔偿金以及由其扶养的人所必需的生活费等费用；构成犯罪的，依法追究刑事责任。
Fri Jul 06 19:11:46 +0800 2012,节目的声誉靠平时一点一滴的积累。尤其是做大集节目，接触的都是商家和商品，最关键就是如实传递商品信息，实事求是地介绍商品。如果因为心软，听众就会受到伤害，节目的声誉也会受伤。所以在这件事情上，心要硬，脸要拉的下来，没什么可犹豫的。 
Sat Mar 31 10:08:21 +0800 2012,是爱情么 其实只是想在这个社会里找个大大的依靠 未婚的男孩并没有这种安全感 所以现在的已婚男士成为了紧俏商品 也让这些男人的虚荣心得到了大大的满足 可是最后受伤的还是自己 何必这样伤害自己呢 让自己强大 让自己快乐 让自己健康 自己的爱人会在身边出现 互相依赖 互相保护 呵护彼此 
Thu Jul 21 09:21:59 +0800 2011,/以后对这位领导的所有商品，全部另价特供！要不他会很受伤/@宁财神：求伤害！ //@我是林海:泥马有没有脑子 // @丁晓锋 :快来伤害我们吧……！！
Wed Apr 07 16:04:49 +0800 2010,我们再次受伤了，同时不禁怀疑，还有多少没有曝光的不合格商品，还在继续伤害我们的孩子？ //@歐愓朙:很多东西，用了很久后，才传出有问题。以至于我们怀疑其他东西是不是都有问题了
