发微博时间,召回内容
Thu Sep 16 20:30:03 +0800 2021,#每日车事# #保时捷# 【保时捷召回Boxster和Cayman 共计1375辆】据市场监督管理总局官网显示，保时捷（中国）汽车销售有限公司　　召回车型自2021年11月16日起，召回自2012年9月1日至2014年7月31日期间生产的部分进口2013-2015款Boxster和Cayman系列汽车，共计1375辆。       召回原因由于供应商制造原因，本次召回范围内部分车辆上可能安装了材料配比不符合要求的后轴托架侧梁，在长期使用过程中零件可能会产生裂纹，耐用性得不到保障。在最坏情况下，后轴托架侧梁支座断裂会引起车辆后桥下摆臂松脱，导致车辆的操控性能受到影响，从而增加发生碰撞的风险，存在安全隐患。　　解决办法保时捷（中国）汽车销售有限公司将通过授权经销商，为召回范围内的车辆免费更换合格的后轴托架侧梁，以消除安全隐患。保时捷召回Boxster和Cayman 共计1375辆
Thu Sep 16 10:21:29 +0800 2021,【#通用建议雪佛兰BoltEV车主远离其他车辆#】通用汽车公司建议一些雪佛兰 Bolt 车主不要将他们的电动车停在离其他车辆15米的范围内，以减少潜在的自燃殃及到附近的汽车的风险。该警告是在通用汽车召回超过14万辆自2016年以来生产的雪佛兰Bolt EV和Bolt EUV车型之后发出的，原因是“两个罕见的制造缺陷”导致电池自燃的风险。
Thu Sep 16 05:38:57 +0800 2021,线缆系统故障宝马全球召回130万辆汽车因线缆系统存在故障隐患 
Wed Sep 15 17:30:03 +0800 2021,#关注交通安全# 【召回部分进口大切诺基汽车】由于磁信号材料可能从发动机曲轴脉冲轮的主体上分离，附着在发动机曲轴脉冲轮上的磁性材料用于向曲轴位置传感器提供信号。如果此信号材料缺失，发动机将失去同步喷油器脉冲和凸轮正时的能力，会导致发动机熄火以及不能重新启动发动机，车辆行驶中失去动力可能导致发生无预警的碰撞，存在安全隐患。克莱斯勒(中国)汽车销售有限公司自即日起，召回部分配备3.0升柴油发动机的进口大切诺基汽车，共计7604辆。具体如下（一）2014年5月24日至2016年3月30日期间生产的部分3.0TD舒享导航版大切诺基汽车，共计7559辆。（二）2016年3月8日至2016年7月17日期间生产的部分3.0TD 75周年致敬版大切诺基汽车，共计45辆。网页链接
Wed Sep 15 08:37:40 +0800 2021,【存安全隐患近万辆汽车将被召回】存安全隐患近万辆汽车将被召回 
Tue Sep 14 21:54:03 +0800 2021,保时捷（中国）自2021年11月16日起，召回自2012年9月1日至2014年7月31日期间生产的部分进口2013-2015款Boxster和Cayman系列汽车，共计1375辆。 此次召回范围内部分车辆后轴托架侧梁存在碰撞安全隐患。 
Tue Sep 14 19:47:16 +0800 2021,【Bolt EV 召回】通用汽车联合LG化学共同召回了2017年至2022年间生产的所有雪佛兰Bolt EV和Bolt EUV两款车型，召回原因是车辆存在起火隐患。 
Tue Sep 14 13:44:56 +0800 2021,克莱斯勒（中国）召回部分进口吉普牧马人电动汽车克莱斯勒（中国）汽车销售有限公司（以下简称克莱斯勒）向市场监管总局备案了召回计划。决定自2021年9月6日起，召回部分2021年款2.0T 4xe吉普牧马人电动汽车，共计1160辆。　　具体包括2021年1月21日至2021年5月6日期间生产的部分2.0T 4xe Rubicon 四门版2021年款牧马人电动汽车，共计41辆。2021年1月20日至2021年6月2日期间生产的部分2.0T 4xe Sahara四门版2021年款牧马人电动汽车，共计1119辆。　　本次召回范围内车辆，由于高压充电接口的电子锁止装置的手动释放拉索长度不足以及电子锁止装置中存在的残余电量导致锁销回弹，使得充电接口锁止不到位。从而导致在高压充电时，用户在解锁锁止装置之前能够从车辆上拔下充电插头，可能造成充电插头和车辆充电插口在充电过程中的意外断开，不符合国家相关标准的要求，存在安全隐患。　　克莱斯勒将为召回范围内车辆更新逆变器模块（PIM）软件之后检查充电器插头是否能锁止到位，如果不能则更换手动释放拉索，以消除安全隐患。新的逆变器模块（PIM）软件增加了内部短路释放残余电量的功能，避免出现锁销回弹新的车辆充电接口锁止装置手动释放拉索已经加长到满足锁止要求的长度。　　克莱斯勒
Tue Sep 14 13:44:25 +0800 2021,存在燃油泄漏隐患 宝马召回超14万辆进口车宝马（中国）汽车贸易有限公司（以下简称宝马）向市场监管总局备案了召回计划。决定召回2011年9月7日至2016年4月30日期间生产的部分进口宝马116i、118i、120i、125i、218i、220i、320i、325i、328i、330i、340i、420i、428i、430i、435i、440i、M135i、M2、M235i、M3、M4以及ActiveHybrid 3车辆，共计142754辆。因配件供应原因，3系车辆的召回活动于2021年9月6日开始实施，其他型号车辆的召回活动将于2021年10月29日开始实施。　　本次召回范围内车辆因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。　　宝马将对召回范围内的车辆使用专用工具（泄漏探测仪）进行燃油箱压力损失测试，并免费更换未通过测试的燃油箱，以消除安全隐患。在得到召回检修前，建议车主加注燃油时不要超过油量表的3/4，以免增加油箱负荷诱发损坏。如果在车内闻到燃油气味或在车外观察到燃油泄漏，应尽快联系宝马授权经销商进行维修。　　本次召回活动是在市场监管总局启动缺陷调查情况下开展的。受调查影响，宝马决定采取召回措施，以消除安全隐患。　　宝马及宝马授权经销商
Tue Sep 14 12:47:03 +0800 2021,#CarCar车TV# 克莱斯勒(中国)汽车销售有限公司决定自即日起，召回部分配备3.0升柴油发动机的进口大切诺基汽车，共计7604辆。召回批次      该召回计划显示，本次召回的车型为2014年5月24日至2016年3月30日期间生产的部分3.0TD舒享导航版大切诺基汽车，共计7559辆2016年3月8日至2016年7月17日期间生产的部分3.0TD 75周年致敬版大切诺基汽车，共计45辆。召回原因　　本次召回范围内车辆，磁信号材料可能从发动机曲轴脉冲轮的主体上分离，附着在发动机曲轴脉冲轮上的磁性材料用于向曲轴位置传感器提供信号。如果此信号材料缺失，发动机将失去同步喷油器脉冲和凸轮正时的能力，会导致发动机熄火以及不能重新启动发动机，车辆行驶中失去动力可能导致发生无预警的碰撞，存在安全隐患。#JEEP大切诺基#
Tue Sep 14 09:24:05 +0800 2021,#新闻看点# 近日，我们获悉克莱斯勒(中国)汽车销售有限公司... 存熄火隐患，部分进口大切诺基被召回 
Mon Sep 13 19:30:03 +0800 2021,#汽车情报局#【Jeep召回部分大切诺基车型 车辆行驶中存在失去动力隐患】克莱斯勒(中国)汽车销售有限公司决定自即日起，召回部分配备3.0升柴油发动机的进口大切诺基汽车，共计7604辆。原文传送门网页链接
Mon Sep 13 17:12:41 +0800 2021,美国汽车大厂通用汽车（GM）前阵子宣布，由于高压电池组存在起火风险，决定召回旗下雪佛兰（Chevrolet）“Bolt”电动汽车，目前它与合作伙伴韩国LG关注、解决电池起火问题，因为这件事情威胁到两家公司的战略计划。通用汽车认为，Bolt电池相关火灾来源是来自LG化学（LG Chem）子公司的电池供应商LG  通用汽车、LG急解决Bolt电池起火问题，但双方关系可能已恶化
Sat Sep 11 08:21:00 +0800 2021,【因电池缺陷致供应短缺 雪佛兰Bolt停产时间延长】从海外媒体获悉，因电池缺陷导致供应短缺，通用汽车将再度延长其位于密歇根的Bolt电动车工厂的停工时间，生产暂停将至少持续到9月24日。另外，通用汽车也补充说明，在召回补救措施能够解决火灾风险之前，它不会恢复Bolt车型的生产或销售。（via.网通社）
Thu Sep 09 17:45:03 +0800 2021,#关注交通安全# 【宝马召回部分进口汽车】因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。宝马（中国）汽车贸易有限公司召回2011年9月7日至2016年4月30日期间生产的部分进口宝马116i、118i、120i、125i、218i、220i、320i、325i、328i、330i、340i、420i、428i、430i、435i、440i、M135i、M2、M235i、M3、M4以及ActiveHybrid 3车辆，共计142754辆。因配件供应原因，3系车辆的召回活动将于2021年9月6日开始实施，其它型号车辆的召回活动将于2021年10月29日开始实施。网页链接
Thu Sep 09 16:30:03 +0800 2021,#关注交通安全# 【召回部分进口TOYOTA SUPRA汽车】由于发动机控制电脑的控制程序设计不当，在启动发动机后的瞬间如进行了某种特定的操作（例如快速两次按下点火开关），可能会导致发动机曲轴反向旋转。受此影响，造成为车辆制动助力装置提供负压的真空泵内的润滑油无法排出，被压缩后可能对真空泵内部零件造成损伤。在最坏的情况下会导致制动踏板变硬、制动距离变长，增加车辆发生碰撞的风险，存在安全隐患。丰田汽车（中国）投资有限公司自即日起，召回2021年3月1日至2021年6月21日期间生产的部分进口TOYOTA SUPRA汽车，共计124辆。网页链接
Thu Sep 09 16:00:03 +0800 2021,#关注交通安全# 【召回部分进口吉普牧马人电动汽车】由于高压充电接口的电子锁止装置的手动释放拉索长度不足以及电子锁止装置中存在的残余电量导致锁销回弹，使得充电接口锁止不到位。从而导致在高压充电时，用户在解锁锁止装置之前能够从车辆上拔下充电插头，可能造成充电插头和车辆充电插口在充电过程中的意外断开，不符合国家相关标准的要求，存在安全隐患。克莱斯勒（中国）汽车销售有限公司自2021年9月6日起，召回部分2021年款2.0T 4xe吉普牧马人电动汽车，共计1160辆。具体如下（一）2021年1月21日至2021年5月6日期间生产的部分2.0T 4xe Rubicon 四门版2021年款牧马人电动汽车，共计41辆。（二）2021年1月20日至2021年6月2日期间生产的部分2.0T 4xe Sahara 四门版2021年款牧马人电动汽车，共计1119辆。网页链接
Thu Sep 09 15:41:55 +0800 2021,【#宝马中国召回14万辆进口车#，存在漏油风险】国家市场监督管理网站9月6日消息，宝马(中国)汽车贸易公司备案了召回计划，决定召回2011年9月7日至2016年4月30日期间生产的部分进口宝马汽车，共计142754辆，涉及116i、118i、120i、125i等22个车型。本次召回范围内车辆因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。  老板联播的微博视频
Thu Sep 09 15:30:03 +0800 2021,#关注交通安全# 【召回部分进口和国产奥迪汽车】一汽-大众汽车有限公司召回以下车辆（一）由于供应商制造过程中的偏差，导致机电式制动助力器的电机组件（电机转子和电机轴之间）存在焊接缺陷。在车辆紧急制动的极端情况下，可能造成制动助力功能减弱以及ABS功能和ESC功能失效，存在安全隐患。自2021年9月25日起，召回生产日期在2020年11月3日至2021年3月26日期间的部分进口和国产e-tron车辆，共计74辆。（二）因供应商制造缺陷，致使驾驶员安全气囊的含非叠氮化物气体发生器（NADI型）密封不足，可能有湿气侵入的风险，进而导致车辆发生碰撞事故时安全气囊展开缓慢，降低了安全气囊的保护能力，存在安全隐患。自2021年9月25日起，召回生产日期在1997年5月15日至2001年6月1日期间的部分进口A4、A6、A8、TT车辆，共计1157辆。（三）由于供应商制造过程中的偏差，仪表板上副驾驶前气囊盖板的弱化线未完全弱化。在车辆发生碰撞事故时可能导致副驾驶前气囊不能完全展开，极端情况下可能会导致气囊带异物弹出，存在安全隐患。2021年9月6日起，扩大召回生产日期在2019年11月21日至2020年1月17日期间的部分进口A6 Avant、A7车辆，共计4辆。网页链接
Wed Sep 08 19:36:05 +0800 2021,教授快讯 近日，丰田汽车主要召回2021年3月1至6月21日期间生产的部分进口TOYOTA SUPRA车型，总计124辆。 主要原因在于，部分车型的发动机控制系统程序设计不合理，在启动发动机后进行某种特定操作，很可能会导致发动机曲轴反向旋转。为此，会造成车辆制动助力装置提供负压的真空泵内的润滑油无法排出，有对真空泵内的零部件造成损伤的风险。为此，丰田汽车将对召回范围内车辆的发动机控制电脑程序进行免费升级，以消除安全隐患。
Wed Sep 08 11:45:10 +0800 2021,存在燃油泄漏风险 宝马召回14万余辆汽车@QQ浏览器 存在燃油泄漏风险 宝马召回14万余辆汽车 
Wed Sep 08 10:52:13 +0800 2021,【紧急召回涉及宝马、克莱斯勒、丰田、奥迪...】9月6日国家市场监督管理总局官网发布汽车召回信息因安全隐患宝马、克莱斯勒、丰田、奥迪召回十几万辆进口车↓↓↓紧急召回涉及宝马、克莱斯勒、丰田、奥迪... 
Wed Sep 08 10:49:14 +0800 2021,#召回计划#【因供应商制造缺陷  一汽-大众汽车召回1157辆进口和国产奥迪汽车】　一汽-大众汽车有限公司计划召回以下车辆 　　（一）自2021年9月25日起，召回生产日期在2020年11月3日至2021年3月26日期间的部分进口和国产e-tron车辆，共计74辆。 　　本次召回范围内的车辆由于供应商制造过程中的偏差，导致机电式制动助力器的电机组件（电机转子和电机轴之间）存在焊接缺陷。在车辆紧急制动的极端情况下，可能造成制动助力功能减弱以及ABS功能和ESC功能失效，存在安全隐患。 　　一汽-大众汽车有限公司将委托奥迪授权经销商，为召回范围内车辆免费更换质量合格的机电式制动助力器，以消除安全隐患。 　　（二）自2021年9月25日起，召回生产日期在1997年5月15日至2001年6月1日期间的部分进口A4、A6、A8、TT车辆，共计1157辆。 　　本次召回范围内的车辆因供应商制造缺陷，致使驾驶员安全气囊的含非叠氮化物气体发生器（NADI型）密封不足，可能有湿气侵入的风险，进而导致车辆发生碰撞事故时安全气囊展开缓慢，降低了安全气囊的保护能力，存在安全隐患。
Wed Sep 08 10:40:49 +0800 2021,#召回计划#【克莱斯勒（中国）汽车销售有限公司召回部分进口吉普牧马人电动汽车】克莱斯勒（中国）汽车销售有限公司决定自2021年9月6日起，召回部分2021年款2.0T 4xe吉普牧马人电动汽车，共计1160辆。本次召回范围内车辆，由于高压充电接口的电子锁止装置的手动释放拉索长度不足以及电子锁止装置中存在的残余电量导致锁销回弹，使得充电接口锁止不到位。从而导致在高压充电时，用户在解锁锁止装置之前能够从车辆上拔下充电插头，可能造成充电插头和车辆充电插口在充电过程中的意外断开，不符合国家相关标准的要求，存在安全隐患。
Wed Sep 08 09:39:21 +0800 2021,#召回信息# 【丰田汽车（中国）投资有限公司召回部分进口TOYOTA SUPRA汽车】丰田汽车（中国）投资有限公司决定自即日起，召回2021年3月1日至2021年6月21日期间生产的部分进口TOYOTA SUPRA汽车，共计124辆。本次召回范围内车辆由于发动机控制电脑的控制程序设计不当，在启动发动机后的瞬间如进行了某种特定的操作（例如快速两次按下点火开关），可能会导致发动机曲轴反向旋转。受此影响，造成为车辆制动助力装置提供负压的真空泵内的润滑油无法排出，被压缩后可能对真空泵内部零件造成损伤。在最坏的情况下会导致制动踏板变硬、制动距离变长，增加车辆发生碰撞的风险，存在安全隐患。丰田汽车（中国）投资有限公司将免费对召回范围内车辆的发动机控制电脑程序进行升级，以消除安全隐患。应急处置措施车辆召回升级软件前，用户不要在发动机启动后立即实施发动机熄火的操作。丰田汽车（中国）投资有限公司将以挂号信等形式通知相关#丰田#
Wed Sep 08 08:30:27 +0800 2021,【湖北车主注意了这些汽车集体召回，涉及宝马、丰田、奥迪等】国家市场监督管理总局官网显示宝马（中国）、克莱斯勒（中国）丰田汽车（中国）、一汽-大众宣布召回部分进口汽车和国产汽车来看看有没有你家的车宝马（中国）汽车贸易有限公司召回部分进口汽车宝马（中国）汽车贸易有限公司计划召回以下车辆（一）自2021年9月25日起，召回生产日期在2020年11月3日至2021年3月26日期间的部分进口和国产e-tron车辆，共计74辆。（二）自2021年9月25日起，召回生产日期在1997年5月15日至2001年6月1日期间的部分进口A4、A6、A8、TT车辆，共计1157辆。（三）2021年9月6日起，扩大召回生产日期在2019年11月21日至2020年1月17日期间的部分进口A6 Avant、A7车辆，共计4辆。湖北车主注意了这些汽车集体召回，涉及宝马、丰田、奥迪等
