召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20210626,,郑州日产汽车有限公司,帅客纯电动汽车, 日前，郑州日产汽车有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。自即日起，召回2018年4月11日至2019年4月13日生产的部分帅客纯电动汽车，共计559辆。 本次召回范围内部分车辆，经过长期频繁快充后动力电池内部电芯性能下降，可能造成动力电池偶发失效，出现压差异常并引发内部短路，极端情况下可能发生动力电池热失控，存在安全隐患。 郑州日产汽车有限公司将免费为召回范围内车辆的动力电池进行检测，必要时更换故障模组等；同时对电池管理系统BMS软件升级，完善充电策略，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，郑州日产汽车有限公司决定采取召回措施，消除安全隐患。 郑州日产汽车有限公司将以挂号信、电话、短信等方式通知有关用户此次召回事宜，用户可拨打郑州日产客户服务热线：400-6999-766进行咨询。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,郑州日产汽车有限公司召回部分帅客纯电动汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98635.html
20210626,,特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司,进口和国产Model 3、国产Model Y电动汽车,日前，特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划，决定自即日起召回以下车辆。 一、特斯拉汽车（北京）有限公司 召回2019年1月12日至2019年11月27日期间生产的部分进口Model 3电动汽车，共计35665辆。  二、特斯拉（上海）有限公司 召回2019年12月19日至2021年6月7日期间生产的部分国产Model 3电动汽车，共计211256辆；2021年1月1日至2021年6月7日期间生产的部分国产Model Y电动汽车，共计38599辆。  本次召回范围内的车辆由于主动巡航控制系统问题，易造成驾驶员在以下情形误激活主动巡航功能：当车辆处于D挡，驾驶员再次拨动右侧控制杆试图切换挡位时；在车辆急转弯，驾驶员误触碰并拨动右侧控制杆时等。主动巡航控制被误激活后，如果车辆设置的巡航速度不是当前车速，且当前车速低于设定速度时，车辆会加速到设定速度，出现车辆速度突增情形，会影响驾驶员的预期并导致车辆操控误判，极端情况下可能导致车辆发生碰撞，存在安全隐患。 特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司将通过汽车远程升级（OTA）技术为召回范围内的车辆免费升级主动巡航控制软件，用户无需到店即可完成软件升级；对于无法通过汽车远程升级（OTA）技术实施召回的车辆，特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司将通过特斯拉服务中心联系相关用户，为车辆免费升级主动巡航控制软件，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司决定采取召回措施，消除安全隐患。 特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司将以有效方式通知相关用户。用户可通过手机和固定电话拨打特斯拉客户服务热线：400-910-0707进行咨询。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,特斯拉汽车（北京）有限公司、特斯拉（上海）有限公司召回部分进口和国产Model 3、国产Model Y电动汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98628.html
20210626,,湖南江南汽车制造有限公司,众泰云100S电动汽车, 日前，湖南江南汽车制造有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。决定自2021年7月1日起，召回2017年10月17日至2017年11月30日期间生产的部分众泰云100S电动汽车，共计200辆。 本次召回范围内车辆搭载的动力电池因BMS控制策略存在缺陷，可能导致电芯长期高压浮充，造成电芯隔膜阻塞严重，发生内短路风险升高。电芯劣化达到临界状态后车辆继续运行，可能导致电芯发生内短路而造成动力电池热失控，存在安全隐患。 湖南江南汽车制造有限公司将免费为召回范围内车辆升级BMS程序，对电池包电芯容量、压差、气密性、内部结构等方面进行检测，对异常电池包进行更换，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，湖南江南汽车制造有限公司决定采取召回措施，消除安全隐患。 湖南江南汽车制造有限公司将以挂号信、电话等方式通知用户，安排免费检查、维修动力电池事宜。用户可致电服务热线：400-887-5858，了解此次召回的详细信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,湖南江南汽车制造有限公司召回部分众泰云100S电动汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98634.html
20210626,,陕西延长石油集团橡胶有限公司,德安通牌轮胎, 日前，陕西延长石油集团橡胶有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。自即日起召回2015年9月27日至2018年1月20日期间生产的部分德安通牌LT235/75R15 OWL TRAVIA A/T轮胎，生产批次号为DOT：4015—0318，涉及数量为1634条。 本次召回范围内的轮胎由于制造工艺问题，造成带束层粘合强度不足。可能会引起胎面或内衬层脱层，导致车辆控制性能下降，增加车辆发生碰撞风险，存在安全隐患。 陕西延长石油集团橡胶有限公司将主动通过销售过该产品的经销商发布召回通知，为召回范围内的轮胎免费更换为合格的新轮胎，以消除安全隐患。 陕西延长石油集团橡胶有限公司将在官网（www.ycrubber.co）上发布召回计划，用户也可通过客户服务热线：029—38001998了解详细信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,陕西延长石油集团橡胶有限公司召回部分德安通牌轮胎,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210626_98636.html
20210611,,大众汽车（中国）销售有限公司、一汽-大众汽车有限公司,进口宾利添越V8及进口奥迪S8汽车,日前，大众汽车（中国）销售有限公司、一汽-大众汽车有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划，决定自2021年6月15日起召回以下车辆。 （一）大众汽车（中国）销售有限公司 召回2020年10月25日至2020年11月30日期间生产的部分进口2021年款宾利添越V8汽车，共计7台。  （二）一汽-大众汽车有限公司 召回2020年10月8日生产的部分进口2021年款奥迪S8系列汽车，共计1台。  本次召回范围内的车辆使用了供应商在特定时间段内生产的V8发动机，由于缸体铸造阶段的模压偏差，第6缸缸壁处可能存在裂隙，造成发动机运转时第6缸缸体破损。发动机损坏后，可能导致发动机熄火并失去驱动力；同时泄漏的机油如果接触到下方的排气管，不排除起火的可能性，存在安全隐患。 大众汽车（中国）销售有限公司及一汽-大众汽车有限公司将通过授权经销商，免费为召回范围内的车辆更换发动机总成，以消除安全隐患。 应急处置措施：车辆召回维修前，用户如果察觉到发动机出现异常噪音或振动，应立即联系就近的授权经销商对车辆进行检查和处理。 大众汽车（中国）销售有限公司、一汽-大众汽车有限公司将通过挂号信等方式通知相关车主。宾利品牌用户可通过大众汽车（中国）销售有限公司客户服务热线：400-119-8880、奥迪品牌用户可通过一汽-大众汽车有限公司奥迪品牌客户服务热线：400-817-1666，了解此次召回的详细信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,大众汽车（中国）销售有限公司、一汽-大众汽车有限公司召回部分进口宾利添越V8及进口奥迪S8汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210611_98356.html
20210611,,保时捷（中国）汽车销售有限公司,进口Panamera和Taycan系列汽车, 日前，保时捷（中国）汽车销售有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。将自2021年7月5日起，召回2021年2月2日至2021年5月11日期间生产的部分进口2021款Panamera和Taycan系列汽车，共计1571辆。 由于供应商制造原因，本次召回范围内的部分车辆可能安装了不符合锻造要求的前桥右下拖臂，其耐用性得不到保证。在极端情况下前桥右下拖臂可能会出现开裂，导致车辆的操控性能受到影响，从而增加车辆发生碰撞的风险，存在安全隐患。 保时捷（中国）汽车销售有限公司将为召回范围内的车辆免费更换合格的前桥右下拖臂，以消除安全隐患。 应急处置措施：在车辆行驶时，用户如果注意到车辆底盘出现异响或抖动的情况应停止驾驶，并联系就近的保时捷中心处理。召回开始实施后，用户应及时联系就近的保时捷中心免费更换合格的前桥右下拖臂。 保时捷（中国）汽车销售有限公司将以挂号信等形式通知相关车主。用户可登录保时捷（中国）汽车销售有限公司官方网站或拨打免费客户服务中心热线：400-820-5911及授权保时捷中心电话，了解本次召回的详细信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,保时捷（中国）汽车销售有限公司召回部分进口Panamera和Taycan系列汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210611_98355.html
20210611,,湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司,猎豹CS9纯电动汽车, 日前，湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划，自2021年6月15日起召回以下车辆。 （一）湖南猎豹汽车股份有限公司 召回2018年8月19日至2018年11月29日期间生产的部分猎豹CS9纯电动汽车，共计1119辆。 （二）安徽猎豹汽车有限公司 召回2017年12月5日至2017年12月28日期间生产的部分猎豹CS9纯电动汽车，共计2998辆。 本次召回范围内车辆动力电池包存在包内汇流铜排连接松动、部分包内电压和温度传感器采集线连接点或电池加热片线束焊接点焊接不牢固、动力电池电芯自引发内短路等问题，在极端情况下可能导致车辆动力电池热失控，产生火灾，存在安全隐患。 湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司将免费对召回范围内车辆的动力电池包进行一致性检查及更换有问题的电池模组，改善汇流铜排螺栓固定方式，检查加热片焊接点并加固或更换问题零部件，检查动力电池包内电压、温度传感器焊接点及线束与箱体干涉情况并加固或更换问题零部件，以消除安全隐患。 本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司决定采取召回措施，消除安全隐患。 湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司将通过挂号信、电话或短信等方式通知相关用户。用户可拨打客户服务热线：0746-8661313了解详情。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,湖南猎豹汽车股份有限公司、安徽猎豹汽车有限公司召回部分猎豹CS9纯电动汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210611_98354.html
20210609,,日产（中国）投资有限公司,进口英菲尼迪QX30汽车, 日前，日产（中国）投资有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。自2021年7月30日起，召回2016年12月20日至2017年2月15日生产的部分进口英菲尼迪QX30汽车，共计484辆。  本次召回范围内部分车辆由于供应商的生产设备偏差，造成转向轴万向节上用于固定轴承的孔尺寸偏大，导致轴承和孔壁之间产生间隙，车辆长期使用后会加大间隙，造成车辆转向异响或转向不精确。如果较长时间忽略上述异常而继续使用车辆，极端情况下十字轴可能从节叉中脱出，引起转向轴功能失效，导致车辆无法正常转向，增加车辆发生碰撞的风险，存在安全隐患。  日产（中国）投资有限公司将通过东风英菲尼迪汽车有限公司，为召回范围内车辆免费更换合格的转向轴，以消除安全隐患。  应急处置措施：车辆召回维修前用户应小心驾驶，如发现车辆转向时有异响（咔嗒声）或转向不精确，应及时联系英菲尼迪授权经销商处理。  日产（中国）投资有限公司将通过东风英菲尼迪汽车有限公司，以挂号信等形式通知相关车主召回事宜。用户可登录英菲尼迪中国官方网站（www.infiniti.com.cn）或者拨打英菲尼迪客户服务中心热线：400-890-9090，获取详细信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。  版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,日产（中国）投资有限公司召回部分进口英菲尼迪QX30汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210609_98324.html
20210609,,丰田汽车（中国）投资有限公司,进口雷克萨斯CT混合动力汽车, 日前，丰田汽车（中国）投资有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。决定自2021年7月31日起，召回2021年2月9日至2021年4月7日期间生产的部分进口雷克萨斯CT200h油电混合动力汽车，共计948辆。  本次召回范围内车辆，由于混合动力系统逆变器的电力转换模块控制基板的抗电磁噪声干扰性能不足，电源控制电路可能会将高压电路电压变化时所产生的电磁噪声误判为系统异常，并短暂停止工作。此期间电源电压降低，发动机警告灯点亮，车辆可能会出现瞬间的行驶动力损失，极端情况下可能增大与后方车辆发生碰撞的风险，存在安全隐患。  丰田汽车（中国）投资有限公司将为召回范围内车辆检查逆变器，并为搭载了问题零件的车辆免费更换改良合格的逆变器，以消除安全隐患。  应急处置措施：召回维修前，车辆在使用过程中如果出现发动机警告灯点亮的情况，用户应尽快联系就近的经销商进行检查维修。  丰田汽车（中国）投资有限公司将以挂号信等形式通知相关用户。用户可致电服务热线：800-810-2772（座机）或400-810-2772（手机），获取此次召回的相关信息。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。  版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,丰田汽车（中国）投资有限公司召回部分进口雷克萨斯CT混合动力汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210609_98322.html
20210603,,特斯拉汽车（北京）有限公司,进口Model 3电动汽车, 日前，特斯拉汽车（北京）有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划，决定自即日起召回以下车辆。 （一）2019年1月12日至2019年11月20日期间生产的部分进口Model 3电动汽车，共计311辆。 本次召回范围内的部分车辆在装配过程中，可能未将前排安全带顶部D形环固定在B柱上的螺钉紧固至标准扭矩。当车辆发生碰撞时，极端情况下如果螺钉脱落，安全带将无法按照设计预期发挥作用，会增加乘员在碰撞事故中受伤的风险，存在安全隐患。 特斯拉汽车（北京）有限公司将为召回范围内车辆进行紧固扭矩的免费检查，如发现不符合标准紧固扭矩的情形，会对将安全带顶部D形环固定到B柱的两个螺钉进行维修，确保其达到标准的紧固扭矩；如果在检查过程中发现B柱安装孔螺纹或者D形环出现了损伤，将会对安装孔螺纹进行维修或者对D形环维修、更换，以消除安全隐患。 （二）2019年2月2日至2019年11月20日期间生产的部分进口Model 3电动汽车，共计423辆。 本次召回范围内的部分车辆可能未按标准扭矩紧固制动卡钳螺栓，随着时间的推移螺栓可能会松动。极端情况下如果固定螺栓变得足够松动或从转向节中脱出，以致卡钳与轮辋内表面接触，则车轮可能无法自由转动，并可能导致轮胎失压，会增加车辆发生碰撞的风险，存在安全隐患。 特斯拉汽车（北京）有限公司将为召回范围内车辆进行制动卡钳螺栓紧固扭矩的免费检查，如发现不符合标准紧固扭矩的情形，将重新紧固螺栓至标准扭矩；如果在检查过程中发现车辆由于螺栓松动或者丢失造成了转向节或轮辋的损伤，特斯拉将提供免费维修，以消除安全隐患。 应急处置措施：车辆召回维修前，车主应谨慎驾驶车辆，并在召回开始后尽快联系服务中心进行检修。 特斯拉汽车（北京）有限公司将以挂号信、邮件等形式通知相关用户。特斯拉服务中心也将主动联系相关车主，安排召回维修事宜。用户可通过手机和固定电话拨打特斯拉客户服务热线：400-910-0707进行咨询。此外，也可登录网站dpac.samr.gov.cn、www.recall.org.cn，关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,特斯拉汽车（北京）有限公司召回部分进口Model 3电动汽车,https://dpac.samr.gov.cn/qczh/gnzhqc/202106/t20210603_98165.html
