召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20210624,韩国,保时捷汽车,,"召回发布日期：2021/6/23 召回发布国家或地区：韩国 制造商：韩国保时捷汽车股份有限公司 车型：Cayenne, Cayenne Coupe 召回数量：424 缺陷及后果：召回原因为车辆后桥纵臂连接螺母因铸造工艺错误而出现刚度不足，行驶中问题螺母断裂时可能导致车辆丧失安全性。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202106/t20210624_98601.html
20210624,韩国,保时捷汽车,,"召回发布日期：2021/6/21 召回发布国家或地区：韩国 制造商：韩国保时捷汽车股份有限公司 车型：718 Boxster, 718 Boxster S, 718 Boxster GTS, 718 Cayman, 718 Cayman S, 718 Cayman GTS 召回数量：2443 缺陷及后果：召回原因为催化剂转换器上游氧气传感器的要素可能使得湿气混入，造成氧气传感器受损，无法正常工作，发动机报警灯亮。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202106/t20210624_98569.html
20210624,韩国,特斯拉汽车,,召回发布日期：2021/6/21 召回发布国家或地区：韩国 制造商：特斯拉韩国有限公司 车型：Model 3 召回数量：516 缺陷及后果：召回原因为装配问题使得制动卡钳固定夹具的扭矩低于规格。随着时间推移，固定夹具可能出现松动，极少情况下卡钳与转向节脱离，接触轮辋内侧。在这种情况下，车轮变形且无法自由转动，可能损坏坏轮胎，进而降低空气压力，从而导致制动力下降，出现碰撞风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【韩国】特斯拉汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202106/t20210624_98568.html
20210624,澳大利亚,沃尔沃汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：沃尔沃集团澳大利亚公司 车型：UD pPNLT Quon卡车 召回数量：527 缺陷及后果：前轴和/或中间轴中的一些轴承杯在组装时没有使用止推垫圈。如果车辆在这些条件下操作，万向节可能会最终断裂。如果万向节断裂，传动轴可能会脱落，导致车辆无法操作或造成事故，车辆乘员和/或其他道路使用者受伤或死亡。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】沃尔沃汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98579.html
20210624,澳大利亚,沃尔沃汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：沃尔沃汽车澳大利亚公司 车型：XC90 Excellence 召回数量：11 缺陷及后果：如果后座控制显示屏上有液体或液滴，系统可能会将其视为持续触摸。如果在选择前排乘客座椅控制装置时发生这种情况，前排乘客座椅可能会前后移动，直到到达其最终位置。这可能导致车辆乘员受伤。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】沃尔沃汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98578.html
20210624,澳大利亚,丰田汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：丰田汽车公司 车型：C-HR（NGX10和NGX50）SUV 召回数量：7671 缺陷及后果：燃料泵的内部组件可能会磨损，燃料泵的焊接区域可能会断裂，这可能导致发动机舱中的燃料泄漏。如果发生这种情况，车辆乘员可能会在驾驶时闻到燃料气味。发动机舱内的燃料泄漏可能导致发动机舱起火。车辆着火可能会增加车辆乘员、其他道路使用者或旁观者受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】丰田汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98577.html
20210624,澳大利亚,铃木汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：铃木汽车有限公司 车型：吉姆尼A6G415 召回数量：231 缺陷及后果：驾驶员和乘客侧车门上的线束可能因反复打开或关闭车门而损坏或切断。如果线束被切断或损坏，这可能会导致帘式和侧面安全气囊无法正确展开。如果发生事故，这可能会增加车辆乘员严重受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】铃木汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98576.html
20210624,澳大利亚,铃木汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：铃木汽车有限公司 车型：吉姆尼A6G415 召回数量：40 缺陷及后果：由于不正确的制造工艺，燃料泵内的组件可能会膨胀，导致燃料泵无法正常工作。如果燃料泵出现故障，发动机可能会在驾驶时熄火。这增加了发生事故导致车辆乘员和/或其他道路使用者严重受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】铃木汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98575.html
20210624,澳大利亚,铃木汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：铃木澳大利亚私人有限公司 车型：吉姆尼A6G415 召回数量：2805 缺陷及后果：驾驶员和乘客侧车门上的线束可能因反复打开或关闭车门而损坏或切断。如果线束被切断或损坏，这可能会导致帘式和侧面安全气囊无法正确展开。如果发生事故，这可能会增加车辆乘员严重受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】铃木汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98574.html
20210624,澳大利亚,铃木汽车,,召回发布日期：2021/6/20 召回发布国家或地区：澳大利亚 制造商：铃木澳大利亚私人有限公司 车型：吉姆尼A6G415 召回数量：166 缺陷及后果：由于不正确的制造工艺，燃料泵内的组件可能会膨胀，导致燃料泵无法正常工作。如果燃料泵停止工作，这可能会造成驾驶时发动机熄火。这增加了发生事故导致车辆乘员和/或其他道路使用者严重受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】铃木汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202106/t20210624_98573.html
