召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20210706,北京,北京绿色安全农产品物流信息中心有限公司,唯本生活牌加厚保鲜袋,北京绿色安全农产品物流信息中心有限公司按照《消费品召回管理暂行规定》的要求，向北京市市场监督管理局报告了召回计划，主动召回2020年7月20日制造的唯本生活牌加厚保鲜袋（规格型号：150只/件、大号、35cm*25cm、厚度0.008mm），涉及数量为7800件。 本次召回范围内的加厚保鲜袋，由于使用了不合格的原材料，导致邻苯二甲酸二(2-乙基)已酯（DEHP）项目不符合GB 9685-2016标准要求，可能会危害人体健康。对于召回范围内的加厚保鲜袋，北京绿色安全农产品物流信息中心有限公司将积极落实企业主体责任，通过免费退货等措施开展缺陷产品召回工作，并将加大原材料检验审核力度，提升产品质量安全水平，消除安全隐患。 北京绿色安全农产品物流信息中心有限公司将自即日起在销售门店发布召回公告，同时结合电话通知等方式提示持有该批次产品的消费者采取立即停止使用的应急措施，并联系经销商进行免费退货。用户可通过客户服务热线（18601957698）进一步了解具体情况，也可登录北京市市场监督管理局网站（scjgj.beijing.gov.cn）了解相关信息。 （转自北京市市场监督管理局网站）  此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【北京】北京绿色安全农产品物流信息中心有限公司主动召回唯本生活牌加厚保鲜袋,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202107/t20210706_98676.html
20210706,安徽,淮南市恒美密胺制品有限公司,密胺碗,日前，淮南市恒美密胺制品有限公司按照《消费品召回管理暂行规定》的要求，向安徽省市场监督管理局、淮南市市场监督管理局备案了召回计划，自即日起，召回2021年3月11日生产的规格为5006（5寸）密胺小碗，涉及产品共计300只。 本次召回范围内的密胺小碗，其产品标签未标明“不可微波炉使用”“适宜使用温度环境”等相关安全警示语，会使消费者在不能清楚全面了解产品的情况下，造成错误使用，易发生不可预见的伤害，对消费者存在安全隐患。淮南市恒美密胺制品有限公司将积极落实企业主体责任，无条件为客户退换货，以消除安全隐患。 淮南市恒美密胺制品有限公司将自即日起在安徽省缺陷产品召回管理技术中心网站发布召回信息，提示持有受影响产品的消费者停止使用该产品并联系该公司进行免费更换。消费者可通过公司电话（13685548528）了解该召回产品的具体信息。也可登录安徽省缺陷产品召回管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】淮南市恒美密胺制品有限公司召回部分密胺碗,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202107/t20210706_98677.html
20210706,安徽,安徽吉奥塑业有限公司,200ml航空杯,日前，安徽吉奥塑业有限公司按照《消费品召回管理暂行规定》的要求，主动向安徽省市场监督管理局、滁州市市场监管局报告了召回计划，将自即日起，召回2020年12月20日至2020年12月22日期间制造的200ml航空杯，涉及数量为50000包。 本次召回范围内的航空杯，由于在生产过程中工艺设置不合理，导致负重性能不达标，可能存在烫伤使用者的安全隐患。对于召回范围内的航空杯，安徽吉奥塑业有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并免费为客户退换符合要求的航空杯，以消除安全隐患。 安徽吉奥塑业有限公司将自即日起发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系安徽吉奥塑业有限公司或其经销商进行免费更换。消费者可拨打客户服务热线（13013018368）进一步了解具体情况。也可登录安徽省缺陷产品召回管理技术中心网站（www.ahdpract.com）了解更多信息或提交相关缺陷线索。 （转自安徽省缺陷产品召回管理技术中心网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【安徽】安徽吉奥塑业有限公司召回部分200ml航空杯,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202107/t20210706_98678.html
20210629,重庆,重庆迪丰电器有限公司,室内加热器,"日前，重庆迪丰电器有限公司按照《消费品召回管理暂行规定》的要求，向重庆市市场监督管理局备案召回计划，将自即日起，召回2019年10月生产的室内加热器（型号：NSB-9）以及室内加热器（型号：NSB-12），涉及数量分别为260台、52台。 室内加热器（型号：NSB-9）存在对触及带电部件的防护、输入功率和电流、非正常工作、电源连接和外部软线、接地措施项目不符合相关国家标准；室内加热器（型号：NSB-12）输入功率、电源连接和外部软线、接地措施项目不符合相关国家标准，以上缺陷容易造成触电及着火危险。对于召回范围内的室内加热器，重庆迪丰电器有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，将采用“退货或换货”的方式予以处理。 重庆迪丰电器有限公司提示购买了上述产品的消费者停止使用，并电话（书面）通知经销商进行退货或换货。用户可拨打公司客户服务热线（023-65225226）进行咨询。此外也可拨打重庆缺陷产品管理中心电话（023-89136307）反映召回活动实施过程中的问题或提交缺陷线索。 （转自重庆市市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心
网站（dpac.samr.gov.cn）
、中国产品安全与召回信息网（
www.recall.org.cn
）
，关注微信公众号（
SAMRDPAC
），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【重庆】重庆迪丰电器有限公司召回室内加热器,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98661.html
20210629,重庆,重庆迪丰电器有限公司,台扇,"日前，重庆迪丰电器有限公司按照《消费品召回管理暂行规定》的要求，向重庆市市场监督管理局备案召回计划，将自即日起，召回2020年4月生产的台扇（型号：FT-30），涉及数量为32台。 台扇（型号：FT-30）存在电源连接和外部软线项目不符合相关国家标准，该缺陷容易造成触电及着火危险。对于召回范围内的台扇，重庆迪丰电器有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，将采用“修理”的方式予以处理。 重庆迪丰电器有限公司提示购买了上述产品的消费者停止使用，并电话（书面）通知经销商进行修理。用户可拨打公司客户服务热线（023-65225226）进行咨询。此外也可拨打重庆缺陷产品管理中心电话（023-89136307）反映召回活动实施过程中的问题或提交缺陷线索。 （转自重庆市市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心
网站（dpac.samr.gov.cn）
、中国产品安全与召回信息网（
www.recall.org.cn
）
，关注微信公众号（
SAMRDPAC
），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【重庆】重庆迪丰电器有限公司召回台扇,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98660.html
20210629,四川,新都区龙桥镇三好制衣厂,针织休闲长裤,日前，新都区龙桥镇三好制衣厂向四川省市场监督管理局备案了召回计划，决定自2021年6月30日起至2021年7月30日止，召回2018年9月1日至2018年10月1日期间生产的部分针织休闲长裤，品牌：五车，型号：135-155，召回产品数量共计100条。 本次召回范围内的针织休闲长裤，腰部绳带未固着，平推至最大尺寸超出140mm，不符合附件要求的标准。绳带过长有可能被外物体夹住，导致儿童缠住跌倒。 新都区龙桥镇三好制衣厂敬请消费者将绳带抽出，并通过电话13908226237联系该公司负责人康华锋进行退货。消费者也可登录四川省市场监督管理局官网或拨打四川省缺陷产品召回管理中心电话（028-86607688）了解相关信息和提交相关缺陷线索。 （转自四川省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【四川】新都区龙桥镇三好制衣厂召回部分针织休闲长裤,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98672.html
20210629,四川,成都名仕华南贸易有限公司,系带双层彩棉两面穿爬爬服,日前，成都名仕华南贸易有限公司向四川省市场监督管理局备案了召回计划，决定自2021年7月1日起至2021年10月1日止，召回2018年6月1日至2019年12月1日期间生产的部分系带双层彩棉两面穿爬爬服，品牌：爱尔宝乐，型号：80码、73码、66码、59码，召回产品数量共计240件。 本次召回范围内的部分系带双层彩棉两面穿爬爬服，品牌：爱尔宝乐，型号：80码、73码、66码、59码，由于该产品门襟尺寸超过14cm，不符合标准要求，有可能被外物体夹住，导致幼童被缠住。 成都名仕华南贸易有限公司敬请消费者立即停止使用该型号的产品，并通过电话13688002566联系该公司负责人胡彩华进行退货。消费者也可登录四川省市场监督管理局官网或拨打四川省缺陷产品召回管理中心电话（028-86607688）了解相关信息和提交相关缺陷线索。 （转自四川省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【四川】成都名仕华南贸易有限公司召回部分系带双层彩棉两面穿爬爬服,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98673.html
20210629,四川,四川象老大服饰有限公司,男童外套,日前，四川象老大服饰有限公司向四川省市场监督管理局备案了召回计划，决定自2021年7月2日起至2021年8月2日止，召回2021年1月1日至2021年2月28日期间生产的部分男童外套，品牌：象老大，型号：110#-160#，召回产品数量共计300件。 本次召回范围内的部分男童外套，特殊拉片长度超过40毫米，不符合附件要求的标准。特殊拉片过长有可能被外部物体夹住，导致小孩运动中缠住跌倒。 四川象老大服饰有限公司敬请消费者将特殊拉片（绳子）去掉，并通过电话15608033328联系该公司负责人刘丛荣进行整改修理。消费者也可登录四川省市场监督管理局官网或拨打四川省缺陷产品召回管理中心电话（028-86607688）了解相关信息和提交相关缺陷线索。 （转自四川省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【四川】四川象老大服饰有限公司召回部分男童外套,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98671.html
20210629,福建,漳州建晟家具有限公司,学习椅, 日前，漳州建晟家具有限公司按照《消费品召回管理暂行规定》的要求，向福建省市场监督管理局报告了召回计划，将自即日起，召回2021年1月3日制造的规格型号为HYY-C09A的学习椅，涉及数量为423张。 本次召回范围内的学习椅由于产品不符合标准GB 28007-2011的要求，椅背升降套组件间隙尺寸实测为8-10mm。使用过程中易出现儿童手指夹伤的危险，存在一定的安全隐患。对于召回范围内的学习椅，漳州建晟家具有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，并为消费者免费更换新型椅背升降套组件，以消除安全隐患。 漳州建晟家具有限公司将自2021年6月25日起在网站（www.js-educorp.com）发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系漳州建晟家具有限公司或者其经销商进行免费更换新型椅背升降套组件。用户可通过网站公告查看持有的产品是否为在受影响范围内，或通过客户服务热线（0596-2186688）进一步了解具体情况。用户也可登录福建省市场监督管理局网站（scjgj.fujian.gov.cn）了解更多信息。 （转自福建省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【福建】漳州建晟家具有限公司召回部分学习椅,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98669.html
20210629,福建,福州海韵防护用品有限公司,日常防护型口罩（非医用）, 日前，福州海韵防护用品有限公司按照《消费品召回管理暂行规定》的要求，向福建省市场监督管理局报告了召回计划，将自即日日起，召回2020年4月28日至2020年5月15日期间制造的日常防护型口罩（非医用），型号为17.5cm*9.5cm（±5%)，涉及数量为1200包(10只/包)。 本次召回范围内的日常防护型口罩（非医用），由于产品非油性颗粒过滤效率不符合GB/T 32610-2016标准要求。可能导致口罩过滤细菌、病毒，阻隔飞沫等侵入的能力受影响，防护效果达不到预期要求，存在一定安全隐患。对于召回范围内的日常防护型口罩（非医用），福州海韵防护用品有限公司将积极落实企业主体责任，开展缺陷产品召回、安全技术改进工作，提升产品安全水平，为消费者提供免费退换货服务，以消除安全隐患。 福州海韵防护用品有限公司将自2021年6月25日起在门店发布召回计划，提示持有受影响产品的消费者停止使用该产品并联系福州海韵防护用品有限公司或其经销商进行免费退换货。用户可拨打电话0591-26178985了解持有的产品是否在受影响范围内，并了解具体情况。用户也可登录福建省市场监督管理局网站（zjj.fujian.gov.cn）了解更多信息。 （转自福建省市场监督管理局网站） 此外，用户可登录国家市场监督管理总局缺陷产品管理中心网站（dpac.samr.gov.cn）、中国产品安全与召回信息网（www.recall.org.cn），关注微信公众号（SAMRDPAC），了解更多信息，反映缺陷线索。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【福建】福州海韵防护用品有限公司召回部分日常防护型口罩（非医用）,https://dpac.samr.gov.cn/xfpzh/xfpgnzh/202106/t20210629_98670.html
