序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,通过微信在我不知情的情况下，扣费298元,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354618356/,投诉,magic手机,退款,由于误操作，我不知道何时安装了这个magic手机助手软件，在我不知情的情况下，他们于5、7、8三个月，每月扣走了我298元，经与苹果公司客服联系，退还了我7、8二个月的钱，但是5月20日扣走我的298元，让我自己联系软件开发者，邮件联系多次根本无人回应，我要求退还被盗的298元,待分配
2,无缘无故扣我的钱，还没有提示，因为我手机失免密支付的,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354826140/,投诉,手机定位,"退款,赔偿",2019年六月通过支付宝直接扣我298，因为我的手机是免密支付，扣的时候，我连知都不知道。后来我有去申请投诉对此订单有异议，然后没有用。,待分配
3,一直每月都在扣我的钱,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354969926/,投诉,乐视手机,退款,乐视视频每月都在扣我的g费用，从不提醒一下，已经在我不知情的情况下扣了8个人月了，试问如果不一直发现不了，是不是就一直扣下去，这种行为，如同盗窃，我没有看享受乐视服务。为什么还一直扣钱，我要得到相应的赔偿。,处理中
4,乐视手机客户端会员取消订阅服务还在继续扣费,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354903729/,投诉,乐视手机,还每月扣除,本人2020年4月份孩子玩手机点击了链接就开通了会员，在本人不知道的情况下连续扣了18个月的会员 ，（在本人不知情的情况下并未使用和观看）近期发现扣款记录，取消订阅后还继续扣费，账户没显示会员，希望可以帮我解决一下问题,处理中
5,屏幕底部偏黄,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568943/,投诉,realme手机,赔礼道歉，换新！,新手机底部明显偏黄，服务中心检测说没有问题！换个新手机回来，黄的更严重，照片都能拍出来的，质量问题特别严重！又是叫我邮寄到服务中心检测，就一句有三包政策！三包政策就是你们可以给消费者有问题的手机，反复邮寄检测，浪费时间的理由吗？快递费用说登记后3-5个工作日内补给我，现在一个礼拜了还没有到账！,已完成
6,骗子说他们是手机贷催收的,2021-08-20,https://tousu.sina.com.cn/complaint/view/17354526880/,投诉,手机贷,提供结清证明,骗子说是手机贷催收的，说1200块处理结清，现在转了1200，那边客户总是在拖不处理，现在已经把我微信删除了,处理中
7,realme真我京东自营旗舰店未履行承诺发赠品,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354646533/,投诉,realme手机,"作出处罚,发货",7月27于京东平台，购入realme手机大师探索版一台，当时店铺学生下单有送赠品电动牙刷(介绍是赠品是签收后根据订单地址发货)。我于29号签收，5号找客服要运单号，告知我需要24小时核实学生信息。8号进线找客服告知要再次核实地址信息。15号进线告知正在备货15天内发货，20号进线告知之前信息没有登记。还欺骗我说之前不是...,已回复
8,手机优化大师在我不知情的情况下扣了我的钱。,2021-08-31,https://tousu.sina.com.cn/complaint/view/17354708506/,投诉,手机优化大师,退款,手机优化大师在我不知情的情况下扣了我的钱。,处理中
9,自动扣费,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739455/,投诉,手机优化大师,退款,在我完全不知情的情况下 自动扣费 产生费用,处理中
10,手机存在严重质量问题,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354692317/,投诉,realme手机,"退款,赔偿,退货,换货",手机正常使用，突然出现故障屏幕失灵，尔后出现破裂，寄到售后，认定为人为，跟客服多次沟通，对方均拒绝，认为为人为，从他们表述可以看出对方，以牺牲消费者权益，来维护公司利益。不管是人为还是质量问题，一类化分为人为，划分为客户责任。,已回复
11,我要求平台退款,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781132/,投诉,手机优化大师,退款,手机优化大师未经过我本人同意，私自在我绑定的银行卡里扣了两次268元,处理中
12,手机优化大师,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354781741/,投诉,手机优化大师,退款,没有下载过这个软件，恶意捆绑下载，恶意扣费,处理中
13,手机优化大师这个软件存在欺诈行为，进行扣费,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354784055/,投诉,手机优化大师,"退款,赔偿",因为家人都使用了苹果手机，我的父亲年龄也比较大，不小心误点了手机优化大师免费试用，但是试用试用期后他们默认进行会员续费，但是偏偏给默认的续费是金钱数额最大的一个选项，9月4日下午两点半在我毫不知情的轻快下对我进行了会员续期扣费，我这才发现，希望平台给处理这笔交易，我的意愿是给我取消这个交易，进行退...,处理中
14,手机优化大师，在我不知道的时候扣除了我268元钱，我要求退款,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354831861/,投诉,手机优化大师,退款,你们不能这样做人，如果不赶紧退款，我会一直投诉你们,处理中
15,下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354642401/,投诉,手机清理大师,退款,下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。,待分配
16,不明扣费,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354583160/,投诉,Magic手机助手,"退款,作出处罚,下架产品",我父亲不会下载任何软件的人，在5.23号被莫名扣了298，在8.23二次扣费时他才反应过来，需要你们给出一个合理解释,处理中
17,手机优化大师-相册优化管家，恶意收费,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354952515/,投诉,手机优化大师,"退款,下架产品",下载后并没有特意去订阅，莫名其妙收到扣款通知,处理中
18,我要退款,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354955929/,投诉,手机优化大师,退款,不知道客服咋联系 在网上查的有这个软件 所以下了这个希望有用,处理中
19,扣款订单详情是手机优化大师软件,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354856150/,投诉,手机优化大师,极速退款,这款手机优化大师软件扣款实际和他详情描述不符，都是乱扣用户费用，我们要求他退款，快点退款，不然我天天投诉,处理中
20,骗子公司,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354883009/,投诉,手机优化大师,退款,优化大师有欺诈乱收费、完全是不知道的情况下扣费呀、大骗子公司、严查无良心商家,处理中
21,未下载手机优化大师却自动扣费,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354902000/,投诉,手机优化大师,退款,本人使用苹果手机未安装手机优化大师，昨夜忽然显示购买手机优化大师季度会员并自动扣费268元，十分困惑并气愤，希望商家可以原款退回。,处理中
22,下载之前写着三天试用再收费 实则订阅了就收费 也没有大字体明说怎么回事,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354977145/,投诉,查找手机定位app,退款,三天试用订阅就收费 也没有具体说明 哄骗消费者,已完成
23,手机中框裂了其他地方完好无损不给保修,2021-08-14,https://tousu.sina.com.cn/complaint/view/17354442187/,投诉,realme手机,保修,手机其他地方完好无损一点损伤没有中框裂了在保不给我保修,已回复
24,淘宝真我手机官方旗舰店真我大师探索版疑似翻新机,2021-08-14,https://tousu.sina.com.cn/complaint/view/17354441439/,投诉,realme手机,退一赔三,手机于2021年8月11日发现2020年2月13日的视频。手机于2021年7月28日收到并激活，但手机的激活日期正好为8月11日，疑似翻新机。联系了真我官方客服专员，他们并没有合理的解释，一再强调是账号同步问题，本人于7月28日第一次注册真我账号，手机号用了四五年，且前两年（包括2020年）用的都是华为，不可能存在账号同步的问...,已回复
25,realme售后无法完成其所承诺的服务,2021-08-13,https://tousu.sina.com.cn/complaint/view/17354427596/,投诉,realme手机,给出合理解释,本人于今年1.8日在京东REALME真我官方旗舰店购买一部realme x7pro，经官网查询得知真我手机可在当地oppo售后中心进行售后或保养，于是在今年8.12日前往本地oppo售后中心进行免费贴膜（真我官网承诺一年可以免费进行4次手机贴膜），但是当到达oppo售后中心后，却被工作人员告知无法进行免费贴膜，只能付费，我认为这构成...,已完成
26,我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581865/,投诉,realme手机,"道歉,维修,寄回",本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日16:29其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...,已回复
27,手机清理大师乱扣费，扣了348在我不清楚的情况下扣的，又没有道德,2021-08-24,https://tousu.sina.com.cn/complaint/view/17354595710/,投诉,手机清理大师,退款,手机清理大师乱扣费，还是在我不清楚的情况下扣的，请给退款，谢谢,待分配
28,系统更新问题,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568749/,投诉,realme手机,3天内系统更新,x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。,已完成
29,真我GT neo手机质量差内屏黑屏,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354644778/,投诉,realme手机,换机 维修,手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。,已回复
30,magic助手在未通知本人的情况下自动扣费,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739493/,投诉,Magic手机助手,"退款,赔偿,作出处罚",本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。,处理中
31,莫名其妙自动被扣269元,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806393/,投诉,手机优化大师,退款,在完全不知情的情况下扣费，app已经删除要求退费，而且上面显示试用期3天，我并没有用超过3天。,处理中
32,人脸识别显示前置摄像头被占用，,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354804414/,投诉,realme手机,解决无法人脸识别问题,人脸识别前置摄像头显示被占用，无法用前置摄像头拍照录像，打开前置摄像头就会黑屏闪退等,已回复
33,手机优化大师恶意扣费268元,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354842527/,投诉,手机优化大师,极速退款,手机优化大师app使用前没有明确告知会扣费，扣费之前也沒有提醒,处理中
34,非本人操作下单的 莫名其妙又扣款,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354890714/,投诉,手机优化大师,退款,要求退款 怎么才能退钱 给个说法 给个建议,处理中
35,从未订阅也没安装过次软件 就被不知情订阅并扣费,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354887204/,投诉,手机优化大师,"退款,作出处罚",手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。,处理中
36,"我在看抖音时出现手机优化大师界面就下载了，并未购买订阅,被自动扣款268元。",2021-09-16,https://tousu.sina.com.cn/complaint/view/17354975799/,投诉,手机优化大师,退款,在未经我同意就强行从微信自动扣款，我要求给我全额退款。,处理中
37,在本人不知情的情况下Cleaner手机管家自动扣费388元，,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354986735/,投诉,Cleaner手机管家,退款,本人下载Cleaner手机管家，并未使用。在本人不知情的情况下软件自动从本人的花呗自动扣费388元,待分配
38,在我不知情的情况下他自动续费,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354877385/,投诉,手机优化大师,"退款,撤销处罚",在我不知情的情况下自动续费 没法申请退款,处理中
39,realme x手机升降摄像头无故闪退黑屏,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354985816/,投诉,realme手机,帮我把摄像头弄好,realme x手机正常使用，每天正常用手机前置摄像头解锁，今晚上用的时候提示手机摄像头被占用，然后闪退，重启也不可以，人脸解锁提示摄像头被占用。希望realme能免费帮我处理了，,处理中
40,手机优化大师-相册优化管家乱收费,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354941862/,投诉,手机优化大师,退款,当时免费试用三天之后未经同意，于9月11号直接扣费268元,处理中
41,从未订阅也没安装过次软件 就被不知情订阅并扣费,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354887204/,投诉,手机优化大师,"退款,作出处罚",手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。,处理中
42,在我不知情的情况下他自动续费,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354877385/,投诉,手机优化大师,"退款,撤销处罚",在我不知情的情况下自动续费 没法申请退款,处理中
43,真我官网不给退碎屏险,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354921398/,投诉,realme手机,退款碎屏险,手机买来因为有质量问题拿去售后说给退，但是实体店不退，无奈只能换货，换来的新手机我给别人用了，想退碎屏险。但是官网不给退。请求退碎屏险。但是也没有告诉我说碎屏险不能退或者是怎样，我是直接找到的客服，客服买之前我咨询也没告诉我不能退，售后也没告诉我不能退，霸王条款。耍无赖。,已回复
44,"我在看抖音时出现手机优化大师界面就下载了，并未购买订阅,被自动扣款268元。",2021-09-16,https://tousu.sina.com.cn/complaint/view/17354975799/,投诉,手机优化大师,退款,在未经我同意就强行从微信自动扣款，我要求给我全额退款。,处理中
45,在本人不知情的情况下Cleaner手机管家自动扣费388元，,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354986735/,投诉,Cleaner手机管家,退款,本人下载Cleaner手机管家，并未使用。在本人不知情的情况下软件自动从本人的花呗自动扣费388元,待分配
46,realme x手机升降摄像头无故闪退黑屏,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354985816/,投诉,realme手机,帮我把摄像头弄好,realme x手机正常使用，每天正常用手机前置摄像头解锁，今晚上用的时候提示手机摄像头被占用，然后闪退，重启也不可以，人脸解锁提示摄像头被占用。希望realme能免费帮我处理了，,处理中
47,手机优化大师软件没在手机本人同意下强迫扣款268元人民币现在要求退还,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354689448/,投诉,手机优化大师,退款,我在抖音上面看到手机优化大师广告，我并下载了手机优化大师APP之后也没操作什么，它却在2021年8月30号3点左右自动扣款我268元钱现在我要求他退款于我,处理中
48,淘宝店铺realme官方旗舰店欺诈,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354575089/,投诉,realme手机,立即发货，赔偿损失,本人8月7日在淘宝realme 官方旗舰店下单一款realme GT 大师探索版手机，至今未发货，多次催促，客服以交通管制为由拒绝发货，本人求证顺丰快递，顺丰方表示可以正常到货，我发送截图给客服，客服表示再次对接能发货了，保证这两天安排发货，今天再次询问发货情况，换了个客服又转口说不能发了，又说管制，明摆着店大欺客...,已回复
49,下载了个优化大师都没订阅 莫名其妙的扣款,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354697278/,投诉,手机优化大师,退款,前几天还充电宝 说什么有机有风险 要下载优化大师 上面显示实用三天 自己都没有点什么订阅 今天莫名其妙的扣款,处理中
50,优化大师,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354686067/,投诉,手机优化大师,"退款,道歉",该优化大师软件在我不知情的情况下自动扣款，需退款,处理中
51,组了活动价格的云手机使用未达效果不给退款,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354779772/,投诉,多多云手机,退款,打开多多云手机app组机，为了达到游戏效果租了个服务一个月68，使用后游戏启动不了，与客服要求退款 一口拒绝然后说事先有测试提示 测试后付款是不给退款 我问客服测试体验在哪里，他给我说的还是需要下单租几天而且不是我定的这款租机款项肯定体验不到，现在租的玩不了游戏，客服要么不给回答，要么就是换新客服重新走...,待分配
52,手机定位他迹软件欺骗用后,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354930446/,投诉,手机定位他迹,退款,手机定位他迹软件，页面显示购买会员可以输入他人手机查看他人的定位，用户须知最后一项打勾也是只有一行字，不点开根本无法知道需和对方加好友，对方通过，才可以查定位，当你购买了对员才发现，存在欺骗，希望退款,待分配
53,手机系统升级导致手机出现质量问题,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354895539/,投诉,realme手机,因为官方系统原因导致,我在升级完最近系统的不到一天时间，手机realmex的前置摄像头不能打开一直呗占用,已回复
54,手机优化大师app在我不知情的情况下自动扣费！！,2021-08-18,https://tousu.sina.com.cn/complaint/view/17354504607/,投诉,手机优化大师,退款,手机优化大师app在我不知情的情况下自动扣费268元，并开通续费模式，申请退款！,处理中
55,magic助手在未通知本人的情况下自动扣费,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739493/,投诉,Magic手机助手,"退款,赔偿,作出处罚",本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。,处理中
56,真我GT neo手机质量差内屏黑屏,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354644778/,投诉,realme手机,换机 维修,手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。,已回复
57,我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581865/,投诉,realme手机,"道歉,维修,寄回",本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日16:29其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...,已回复
58,系统更新问题,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568749/,投诉,realme手机,3天内系统更新,x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。,已完成
59,手机清理大师乱扣费，扣了348在我不清楚的情况下扣的，又没有道德,2021-08-24,https://tousu.sina.com.cn/complaint/view/17354595710/,投诉,手机清理大师,退款,手机清理大师乱扣费，还是在我不清楚的情况下扣的，请给退款，谢谢,待分配
60,系统不维护欺骗消费者,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354697783/,投诉,realme手机,3天内系统更新,系统不进行升级维护，说好的上周更新到今天还是没有更新包，,已完成
61,激活时间比购买时间早，怀疑是二手机。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354655103/,投诉,realme手机,"道歉,换货",购买时是7月15号，然后我购买后一个月查询激活时间是6月3号。,已回复
62,下载软件突然扣费,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806623/,投诉,手机优化大师,退款,弹出了广告，下载软件后莫名其妙扣费，我都没有自己开会员,处理中
63,莫名其妙自动被扣269元,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806393/,投诉,手机优化大师,退款,在完全不知情的情况下扣费，app已经删除要求退费，而且上面显示试用期3天，我并没有用超过3天。,处理中
64,人脸识别显示前置摄像头被占用，,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354804414/,投诉,realme手机,解决无法人脸识别问题,人脸识别前置摄像头显示被占用，无法用前置摄像头拍照录像，打开前置摄像头就会黑屏闪退等,已回复
65,手机优化大师恶意扣费268元,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354842527/,投诉,手机优化大师,极速退款,手机优化大师app使用前没有明确告知会扣费，扣费之前也沒有提醒,处理中
66,非本人操作下单的 莫名其妙又扣款,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354890714/,投诉,手机优化大师,退款,要求退款 怎么才能退钱 给个说法 给个建议,处理中
67,从未订阅也没安装过次软件 就被不知情订阅并扣费,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354887204/,投诉,手机优化大师,"退款,作出处罚",手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。,处理中
68,在我不知情的情况下他自动续费,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354877385/,投诉,手机优化大师,"退款,撤销处罚",在我不知情的情况下自动续费 没法申请退款,处理中
69,手机优化大师,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354971554/,投诉,手机优化大师,退款,可以我不小心点到自动扣费，关键是我用不到，希望给我退款,处理中
70,"我在看抖音时出现手机优化大师界面就下载了，并未购买订阅,被自动扣款268元。",2021-09-16,https://tousu.sina.com.cn/complaint/view/17354975799/,投诉,手机优化大师,退款,在未经我同意就强行从微信自动扣款，我要求给我全额退款。,处理中
71,昨天系统更新，导致前置摄像头无法使用,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354983486/,投诉,realme手机,15天内解锁,realmeX手机昨天我系统更新成ui2.0以后，导致我前置摄像头无法使用。没更新前一直能够好好使用,处理中
72,手机优化大师app在我不知情的情况下自动扣费！！,2021-08-18,https://tousu.sina.com.cn/complaint/view/17354504607/,投诉,手机优化大师,退款,手机优化大师app在我不知情的情况下自动扣费268元，并开通续费模式，申请退款！,处理中
73,虚假宣传，付费以后无法使用，一直联系不上客服,2021-08-15,https://tousu.sina.com.cn/complaint/view/17354463886/,投诉,手机定位他迹,退款,虚假宣传，付费以后无法使用，一直联系不上客服,待分配
74,手机质量问题，要求退货退款。,2021-08-15,https://tousu.sina.com.cn/complaint/view/17354462025/,投诉,realme手机,手机质量问题,在realme天猫旗舰店买的手机，不到两个星期时间，音量键失灵偶尔按了没反应。在天猫客服投诉，一直说七天以后不能退款。明明就是手机质量问题不让退款，简直就是霸王条款。,已回复
75,X50Pro两个月不更新系统，反馈bug也不修复 抛弃消费者,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354688851/,投诉,realme手机,"退款,赔偿,道歉",请问Realme 还打算卖手机吗？Realme X50 Pro都2个月不更新系统了！一大堆BUG叫用户怎么用？难道你们只管GT？Realme X50 Pro做为你们最贵的旗舰就当垃圾扔了？那谁还敢买Realme的产品？想买Realme的，去x50pro社区看看去年4000块钱的旗舰已经被抛弃了，系统不更新，充电28w，耗电贼快，只需要一年，过气旗舰不如狗，大家...,已回复
76,欢太商城虚假引导导致不佳购物体验，退款无保障并且缓慢,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354621190/,投诉,realme手机,欢太商城立即退款,一开始京东没抢到，所以跑去欢太商城抢了一台（RM210818166912825***），欢太商城和京东渠道都在内宣传标着8月25日开售，所以发货肯定是25日往后。然后后来京东我抢到了一台（因为京东福利比欢太上的好，送耳机还有分期），没退欢太商城上的款，想着京东付尾款前退了。没想到24日下午就发货了，这一发货，直接导致我无法...,已完成
77,618期间在淘宝realme官方旗舰店购买了8台手机，补偿的8个耳机迟迟不发货,2021-08-21,https://tousu.sina.com.cn/complaint/view/17354554648/,投诉,realme手机,"道歉,改善服务,解释,发货,补发赠品",618期间在淘宝realme官方旗舰店购买了8台手机，没有过几天就已经在没有涨价的情况，开始赠送他们店铺在售的价值99元一个的耳机，做为消费者，在短短几天内就被商家割了韭菜很不满意，随后联系了店铺，要求补偿的8个耳机，因为是两个订单，所以单独联系了两个客服，一个客服让我28号去登记，另一个客服当时就登记好了。对...,已完成
78,手机恢复大师,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354762564/,投诉,手机恢复大师,退款,下载软件 手机恢复大师 去恢复微信聊天记录 下载后 支付78元 APP没有提示我需要用到 电脑 也没有提示到 手机说话有备份功能,待分配
79,下载手机定位他迹软件付款之后，联系不到客服，定位好友发短信收不到信息，定位不了他,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354760138/,投诉,手机定位他迹,退款,下载手机定位他迹软件付款之后，联系不到客服，定位好友发短信收不到信息，定位不了他人位子，所以说是假的骗人的软件需要退款,待分配
