标题,投诉对象,投诉要求,投诉内容,投诉时间,投诉链接,投诉进度
购买的笔完全无法使用,晨光文具官方微博,赔偿,在实体店购买的笔打开就写不出来，也没有时间去实体店更换，麻烦这种情况能不能多抓严一点，没用了的笔就不要拿出来售卖！不是每个人都有时间试笔的，希望尽快受理,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354784369/,处理中
晨光官方旗舰店,晨光文具官方微博,发货,2021.8.24日购买文具，卖家承诺48小时发货，从25号开始每日反复催促四次发货，客服皆以已经催促仓库发出为由应对，多次协商无果，至今仍未发货。表示强烈不满，要求理赔并发货,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354676552/,处理中
天猫晨光官方旗舰店拒绝开发票，打印纸破损不处理,晨光文具官方微博,"解释,赔偿",2021年7月24日在天猫晨光官方旗舰店购买了A4打印纸，发过来包装全部是烂的，联系晨光客服，客服开始答应补发，但一直不处理，后来又说没法补发。 另外，已申请开发票，至今过去了快一个月，晨光迟迟不开发票，联系客服无果不回应，淘宝天猫客服小蜜也拒绝处理。,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354575908/,处理中
不退款 服务不到位,湖南宏图文具有限公司,退款,2020年11月8号签合同 我们拿到机器自己做了三批不合格 到后面叫他们公司安排老实来调理或者我们把机器邮寄过去叫他们给我们调理都要我们出费用 这就不合理了 我们要求退款只退2000多 现在退是直接退不了,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354732692/,待分配
宁波市鄞州优迪文具有限公司人事，财务部等，恶意包容公司员工,宁波市鄞州优迪文具有限公司,"退款,赔偿,道歉,作出处罚,改善服务",宁波市鄞州优迪文具有限公司，工作人员李作栋，恶意拖欠货款，拖欠欠款多年。其公司财务部也恶意包庇这个李作栋，包过人事联系都不帮，联系其公司投诉，其公司工作人员都是敷衍的态度,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581120/,已完成
纵擎办公专营店售后不负责，态度恶劣，拉黑客户,天猫,"赔偿,道歉,作出处罚,改善服务",在纵擎办公专营店买的杜邦纸文具盒收到货后文具盒被多处严重压坏，且杜邦纸材质无法恢复，联系卖家，卖家不负责，且态度恶劣，讽刺我，最后把我拉黑,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354731429/,处理中
京东次日达无法实现,京东客服,"赔偿,改善服务,修改宣传内容",本人于8.29下午四点过下单一批文具以备开学使用，由于平台承诺18点前下单均能次日送达(部分商品23点下单也能次日达)，于是在平台下单了一批文具，下单文具皆有货，文具分成三批发货，两批从成都发，一批从贵阳发。 29日早上发现三批订单中有一批成都发出文具打包后迟迟未有物流消息，于是找了客服询问原因，客服表示会在...,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354728583/,已完成
拉人活动,高途课堂,发货,7月18日我拉了几个人获得了文具一套，现在还没有收到货,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354804857/,已回复
快递损坏,中通官方微博,赔偿,8月6号在惠州鑫新文具店购买了一批美术用具，其中有个价值18元的画板，被快递损坏。由于本人一直未使用这批美术用具，所以在8月23号的时候，拆开快递才发现，联系文具店老板，老板说他在发货前检查过快递，所以可以确定是快递途中损坏，损坏程度影响了使用。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354652935/,已回复
提米文具,拼多多客户服务,"退款,道歉,作出处罚,改善服务",在他家买了一个笔，然后到了之后全是漏油的，然后我拍完照片就给扔了，然后他们不给我退说必须把它找回来然后给那个快递袋拍一张照片，我就又去找回来了，拍完照片他们让我给他们邮回去，因为笔里面全是漏水的，在加上邮到他们那里吗也需要一些时间，我想要直接吧钱给我退回来，就提出吧笔给销毁，然后客服也同意了，我...,2021-07-19,https://tousu.sina.com.cn/complaint/view/17354094141/,处理中
精诚文具礼品批发,阿里客服,"退款,道歉",卖家包装不严 商品缺斤短两。我分两次购买40了 每次20个 第一次到货13个 第二次到货10个,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354883212/,处理中
抖音官方客服不处理退款，,抖音短视频,"退款,赔偿",在抖音商城直播间任哥婴幼文具直播间买的八单文具用品，收到货漏发少发质量差，期间找商家处理，不理人，直接把我拉黑了，店铺什么都没有了，现在要求其余六件拒收强制退款，抖音官方客服不介入，就让我等，一打电话就说有其他客服联系，联系之后就会说只能商家同意才行，难道抖音官方客服就是个传话的，我现在觉得上当...,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354795206/,已回复
未成年人未经同意擅自充值大量游戏币,迷你世界-MiniWorld,退款,未成年人没有经过家长的同意就在游戏中充值大量游戏币因为现在开学了所以想把这些钱都退回来给他买文具,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354745442/,已回复
仕用文化用品专营店买的笔质量有问题不处理，找不到官方人工客服的帮助,拼多多客户服务,"赔偿,道歉,作出处罚,改善服务,解释",拼多多买的三个笔和五个笔芯，今天拆开第二支笔不能用写不出来字，找商家客服说时间太久不处理，找官方客服找不到人工客服，只有机器人一直在用快捷方式回答我不懂我的诉求。买的多就是想用的久一些，才第三个月就出现质量问题，严重怀疑是盗版晨光文具，要求严查！晨光文具实体店的笔芯不可能只能卖三个月吧，我高中买...,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354960026/,处理中
京东物流次日达就是骗消费者的,京东客服,"赔偿,道歉,解释",8.30号在京东商城购买的文具，加入购物车前反复确认商品送达日期为9.1号，然后付款，结果到了9.1号一查才发现商品要9.4号才能送到，当晚致电客服说是没有下发分包引起的操作失误，随后会给答复解决处理，9.2号，没有等到答复，当晚继续致电客服，结果客服说是由于订单金额过小，没办法处理，只能等订单完成送一张运费券...,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354751275/,已完成
智汇星文具用品店漏发商品,拼多多客户服务,"赔偿,发货",本人于8月19日购买文具网红便利贴一个底芯加三个替芯，但在8月24日收到商品时，发现只有一个替芯，希望商家予以赔偿，并且补发其他两个替芯，另外他们家的物流很慢，两天不催就不更新，希望以最快的速度补发，本人急用,2021-08-24,https://tousu.sina.com.cn/complaint/view/17354607703/,处理中
淘宝卖家“上海远航办公文具设备”,阿里客服,"赔偿,道歉,作出处罚,改善服务",我今天上午的时候，在这里下了一个改正带的单子，下午的时候呢，我自己感觉发货有点儿慢，不想要了就退了 ，也不太了解他的发货时间到底是多少 ，然后退款原因呢，我就写的是发货慢 ，这并不代表他没有按时间发货，我也没有这个意思 ，那我让商家退款 ，人呢，又拒不退款，服务也差，但我也的确是不会，不懂得到底在哪里...,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354683039/,处理中
无良商家得力文具旗舰店,京东客服,"退款,赔偿",9月2号下单，页面显示9月4号送达，因开学急用，期间多次催促，商家最后承认没货，没货还继续上架卖，现在还在卖，这种行为属于欺骗消费者，京东客服也不处理，明显包庇,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354813102/,已回复
拼多多店铺校门口的文具店,中国邮政官微,"快速配送,解释,道歉",快递本来还需要一天就到了，但是不知道为什么送到其他城市，客服一直推脱，已经持续四天都没有给出解决方法,2021-08-04,https://tousu.sina.com.cn/complaint/view/17354306842/,已完成
资金限制6个月了，没有处理,拼多多客户服务,限制资金,两个拼多多店铺，2月份的单货早就发了，因为物流显示问题，拼多多一直没有处理，显示虚假发货，总共我们卖书包和文具盒才几十的单，客户几个月了该处理的早就处理了，现在要退店一直显示资金限制,2021-08-01,https://tousu.sina.com.cn/complaint/view/17354272445/,处理中
满帆办公文具企业店,淘特官博,发货,于7.7日在该店铺购买了笔记本，商家在快递丢件的情况下，不主动联系客户，直到即将收货，我发现之后，店家要求我退款重拍，我不接受该诉求，商家也没有给我解决的方案。,2021-07-19,https://tousu.sina.com.cn/complaint/view/17354082277/,处理中
骗子商家，虚假发货，不给退款,拼多多客户服务,"退款,赔偿,道歉,作出处罚",品牌能量文具用品店 争议发生时间 2021-07-26 消费金额17.80元 投诉问题类型 购买或使用商品时人身、财产安全受损害 投诉内容26号20点13分，我与该商家产 生矛盾，起初我选择退货退款， 并当面点出该店能量文具用品店 与另一家店天瑜文具用品是同一 个老板，但是两家店发来的商品 质量完全不一样，结果商家反咬 一口说我...,2021-08-01,https://tousu.sina.com.cn/complaint/view/17354267409/,处理中
